cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
covonly,Canada,stefan_soil,stefan,10.0,catboost_lo,0.5,30.048666666666666,-9.783666666666667,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,catboost_lo,0.75,29.627666666666666,-8.973666666666666,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,catboost_lo,1.0,29.230999999999998,-8.164,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,mlp,0.0,30.959,-11.403,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,mlp,0.25,30.650333333333336,-10.704666666666666,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,mlp,0.5,30.358,-10.005666666666668,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,mlp,0.75,30.081666666666667,-9.307,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,mlp,1.0,29.822666666666667,-8.608333333333334,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,ridge,0.0,30.959,-11.403,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,ridge,0.25,30.484333333333336,-10.417666666666667,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,ridge,0.5,30.039666666666665,-9.431666666666667,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,ridge,0.75,29.626,-8.446,370,1,3
covonly,Canada,stefan_soil,stefan,10.0,ridge,1.0,29.245,-7.460333333333334,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,catboost_lo,0.0,30.959,-11.403,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,catboost_lo,0.25,30.651,-11.084666666666669,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,catboost_lo,0.5,30.350333333333335,-10.766,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,catboost_lo,0.75,30.057666666666666,-10.447333333333333,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,catboost_lo,1.0,29.772333333333336,-10.128666666666668,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,mlp,0.0,30.959,-11.403,370,1,3
covonly,Canada,stefan_soil,tddlin,10.0,mlp,0.25,30.893666666666665,-11.287666666666667,370,1,3
