proto,target,family,anchor,pseudo,resid,r,lam,rmse,bias,sd,n,nseed,name
half,Canada,anchored,stefan,none,ridge,0.0,1.0,44.70000000000001,-31.115,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=1)
half,Canada,anchored,stefan,stefan,catboost,0.5,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,catboost,0.5,0.25,31.40433333333333,-8.690666666666667,0.08953956295031311,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,catboost,0.5,0.5,31.523,-8.875333333333332,0.18001111076819598,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,catboost,0.5,0.75,31.645,-9.059666666666667,0.27200551464997824,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,catboost,0.5,1.0,31.77,-9.244,0.3649945205068176,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,catboost,1.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,catboost,1.0,0.25,31.368666666666666,-8.6,0.10027129865187233,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,catboost,1.0,0.5,31.44966666666667,-8.693,0.2013959615616283,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,catboost,1.0,0.75,31.53333333333333,-8.786666666666667,0.3040465973059632,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,catboost,1.0,1.0,31.618666666666666,-8.88,0.4060373546034077,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=1)
half,Canada,anchored,stefan,stefan,catboost,2.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,catboost,2.0,0.25,31.233333333333334,-8.410333333333334,0.041789153297634066,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,catboost,2.0,0.5,31.179333333333332,-8.314333333333334,0.0837874294469837,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,catboost,2.0,0.75,31.127666666666666,-8.218333333333334,0.12464482874685691,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=2)
