cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,catboost_lo,0.75,22.389,8.293,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,catboost_lo,1.0,23.355,10.56,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,catboost_lo,0.0,20.963,1.492,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,catboost_lo,0.25,21.355,4.125,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,catboost_lo,0.5,22.104,6.757,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,catboost_lo,0.75,23.174,9.389,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,catboost_lo,1.0,24.524,12.021,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,mlp,0.0,20.963,1.492,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,mlp,0.25,21.165,2.747,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,mlp,0.5,21.548,4.002,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,mlp,0.75,22.103,5.257,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,mlp,1.0,22.817,6.512,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,mlp,0.0,20.963,1.492,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,mlp,0.25,20.934,2.836,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,mlp,0.5,21.208,4.179,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,mlp,0.75,21.773,5.522,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,mlp,1.0,22.606,6.865,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,mlp,0.0,20.963,1.492,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,mlp,0.25,21.354,4.655,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,mlp,0.5,22.264,7.818,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,mlp,0.75,23.633,10.981,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,mlp,1.0,25.386,14.143,2958
noinfo,Canada,0,0,ku_cal,none,0.0,ridge,0.0,33.057,22.797,749
noinfo,Canada,0,0,ku_cal,none,0.0,ridge,0.25,29.283,12.879,749
noinfo,Canada,0,0,ku_cal,none,0.0,ridge,0.5,33.347,2.961,749
noinfo,Canada,0,0,ku_cal,none,0.0,ridge,0.75,43.085,-6.958,749
noinfo,Canada,0,0,ku_cal,none,0.0,ridge,1.0,55.592,-16.876,749
noinfo,Canada,0,1,ku_cal,none,0.0,ridge,0.0,33.057,22.797,749
noinfo,Canada,0,1,ku_cal,none,0.0,ridge,0.25,29.283,12.879,749
noinfo,Canada,0,1,ku_cal,none,0.0,ridge,0.5,33.347,2.961,749
noinfo,Canada,0,1,ku_cal,none,0.0,ridge,0.75,43.085,-6.958,749
noinfo,Canada,0,1,ku_cal,none,0.0,ridge,1.0,55.592,-16.876,749
noinfo,Canada,0,2,ku_cal,none,0.0,ridge,0.0,33.057,22.797,749
noinfo,Canada,0,2,ku_cal,none,0.0,ridge,0.25,29.283,12.879,749
noinfo,Canada,0,2,ku_cal,none,0.0,ridge,0.5,33.347,2.961,749
noinfo,Canada,0,2,ku_cal,none,0.0,ridge,0.75,43.085,-6.958,749
noinfo,Canada,0,2,ku_cal,none,0.0,ridge,1.0,55.592,-16.876,749
noinfo,Canada,0,0,ku_cal,none,0.0,catboost_lo,0.0,33.057,22.797,749
noinfo,Canada,0,0,ku_cal,none,0.0,catboost_lo,0.25,31.206,20.176,749
noinfo,Canada,0,0,ku_cal,none,0.0,catboost_lo,0.5,29.494,17.555,749
noinfo,Canada,0,0,ku_cal,none,0.0,catboost_lo,0.75,27.947,14.933,749
noinfo,Canada,0,0,ku_cal,none,0.0,catboost_lo,1.0,26.593,12.312,749
noinfo,Canada,0,1,ku_cal,none,0.0,catboost_lo,0.0,33.057,22.797,749
noinfo,Canada,0,1,ku_cal,none,0.0,catboost_lo,0.25,31.603,20.744,749
noinfo,Canada,0,1,ku_cal,none,0.0,catboost_lo,0.5,30.247,18.692,749
noinfo,Canada,0,1,ku_cal,none,0.0,catboost_lo,0.75,29.002,16.639,749
noinfo,Canada,0,1,ku_cal,none,0.0,catboost_lo,1.0,27.885,14.586,749
noinfo,Canada,0,2,ku_cal,none,0.0,catboost_lo,0.0,33.057,22.797,749
noinfo,Canada,0,2,ku_cal,none,0.0,catboost_lo,0.25,31.328,20.305,749
noinfo,Canada,0,2,ku_cal,none,0.0,catboost_lo,0.5,29.741,17.813,749
noinfo,Canada,0,2,ku_cal,none,0.0,catboost_lo,0.75,28.319,15.321,749
noinfo,Canada,0,2,ku_cal,none,0.0,catboost_lo,1.0,27.089,12.83,749
noinfo,Canada,0,0,ku_cal,none,0.0,mlp,0.0,33.057,22.797,749
noinfo,Canada,0,0,ku_cal,none,0.0,mlp,0.25,30.76,18.853,749
noinfo,Canada,0,0,ku_cal,none,0.0,mlp,0.5,29.73,14.909,749
noinfo,Canada,0,0,ku_cal,none,0.0,mlp,0.75,30.098,10.966,749
noinfo,Canada,0,0,ku_cal,none,0.0,mlp,1.0,31.815,7.022,749
noinfo,Canada,0,1,ku_cal,none,0.0,mlp,0.0,33.057,22.797,749
noinfo,Canada,0,1,ku_cal,none,0.0,mlp,0.25,30.627,18.817,749
noinfo,Canada,0,1,ku_cal,none,0.0,mlp,0.5,28.924,14.838,749
noinfo,Canada,0,1,ku_cal,none,0.0,mlp,0.75,28.081,10.858,749
noinfo,Canada,0,1,ku_cal,none,0.0,mlp,1.0,28.176,6.878,749
