part,cv,region,model,featset,lam,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi
A_loro,LORO,Lena,ridge,shift14,0.25,0.0,3037.0,21.705,13.125,-3.9,-0.0588,21.094,-0.029,,,,,
A_loro,LORO,Lena,ridge,shift14,0.5,0.0,3037.0,25.678,15.981,-13.378,-0.4819,21.094,-0.2173,,,,,
A_loro,LORO,Lena,ridge,shift14,0.75,0.0,3037.0,32.198,23.355,-22.856,-1.33,21.094,-0.5264,,,,,
A_loro,LORO,Lena,ridge,shift14,1.0,0.0,3037.0,40.039,32.407,-32.334,-2.603,21.094,-0.8981,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.25,0.0,3037.0,21.36,15.103,4.693,-0.0254,21.094,-0.0126,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.5,0.0,3037.0,21.065,14.619,3.808,0.0028,21.094,0.0014,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.75,0.0,3037.0,20.838,14.21,2.924,0.0241,21.094,0.0121,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,1.0,0.0,3037.0,20.682,13.867,2.039,0.0387,21.094,0.0195,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.0,1.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.25,1.0,3037.0,21.346,15.082,4.693,-0.0241,21.094,-0.012,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.5,1.0,3037.0,21.045,14.599,3.809,0.0046,21.094,0.0023,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.75,1.0,3037.0,20.822,14.211,2.925,0.0256,21.094,0.0129,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,1.0,1.0,3037.0,20.679,13.903,2.04,0.0389,21.094,0.0196,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.0,2.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.25,2.0,3037.0,21.362,14.993,4.295,-0.0256,21.094,-0.0127,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.5,2.0,3037.0,21.099,14.455,3.012,-0.0005,21.094,-0.0002,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,0.75,2.0,3037.0,20.936,14.006,1.73,0.0149,21.094,0.0075,,,,,
A_loro,LORO,Lena,catboost_lo,shift14,1.0,2.0,3037.0,20.876,13.64,0.447,0.0206,21.094,0.0103,,,,,
A_loro,LORO,Lena,catboost,shift14,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shift14,0.25,0.0,3037.0,22.241,16.907,8.531,-0.1117,21.094,-0.0544,,,,,
A_loro,LORO,Lena,catboost,shift14,0.5,0.0,3037.0,23.2,18.507,11.484,-0.2097,21.094,-0.0999,,,,,
A_loro,LORO,Lena,catboost,shift14,0.75,0.0,3037.0,24.55,20.326,14.437,-0.3545,21.094,-0.1638,,,,,
A_loro,LORO,Lena,catboost,shift14,1.0,0.0,3037.0,26.228,22.342,17.389,-0.5461,21.094,-0.2434,,,,,
A_loro,LORO,Lena,catboost,shift14,0.0,1.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shift14,0.25,1.0,3037.0,22.695,17.571,9.682,-0.1576,21.094,-0.0759,,,,,
A_loro,LORO,Lena,catboost,shift14,0.5,1.0,3037.0,24.437,20.042,13.787,-0.3421,21.094,-0.1585,,,,,
A_loro,LORO,Lena,catboost,shift14,0.75,1.0,3037.0,26.798,22.911,17.892,-0.614,21.094,-0.2704,,,,,
A_loro,LORO,Lena,catboost,shift14,1.0,1.0,3037.0,29.63,26.084,21.997,-0.9732,21.094,-0.4047,,,,,
A_loro,LORO,Lena,catboost,shift14,0.0,2.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shift14,0.25,2.0,3037.0,22.607,17.339,9.051,-0.1486,21.094,-0.0717,,,,,
A_loro,LORO,Lena,catboost,shift14,0.5,2.0,3037.0,24.026,19.444,12.524,-0.2973,21.094,-0.139,,,,,
A_loro,LORO,Lena,catboost,shift14,0.75,2.0,3037.0,25.89,21.814,15.997,-0.5064,21.094,-0.2274,,,,,
A_loro,LORO,Lena,catboost,shift14,1.0,2.0,3037.0,28.111,24.404,19.469,-0.776,21.094,-0.3327,,,,,
A_loro,LORO,Lena,ridge,shared25,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,ridge,shared25,0.25,0.0,3037.0,21.675,14.781,2.121,-0.0559,21.094,-0.0276,,,,,
A_loro,LORO,Lena,ridge,shared25,0.5,0.0,3037.0,22.823,14.939,-1.337,-0.1707,21.094,-0.082,,,,,
A_loro,LORO,Lena,ridge,shared25,0.75,0.0,3037.0,25.0,16.177,-4.794,-0.4047,21.094,-0.1852,,,,,
A_loro,LORO,Lena,ridge,shared25,1.0,0.0,3037.0,27.969,18.405,-8.251,-0.758,21.094,-0.3259,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.25,0.0,3037.0,23.12,18.118,10.265,-0.2014,21.094,-0.0961,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.5,0.0,3037.0,25.432,21.204,14.953,-0.4537,21.094,-0.2057,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.75,0.0,3037.0,28.436,24.701,19.641,-0.8173,21.094,-0.3481,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,1.0,0.0,3037.0,31.937,28.502,24.329,-1.2923,21.094,-0.5141,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.0,1.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.25,1.0,3037.0,22.877,17.637,9.265,-0.1762,21.094,-0.0845,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.5,1.0,3037.0,24.663,20.064,12.952,-0.3671,21.094,-0.1692,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.75,1.0,3037.0,26.955,22.758,16.64,-0.6329,21.094,-0.2779,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,1.0,1.0,3037.0,29.635,25.673,20.327,-0.9738,21.094,-0.4049,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.0,2.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.25,2.0,3037.0,22.374,17.122,9.009,-0.1251,21.094,-0.0607,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.5,2.0,3037.0,23.65,19.045,12.44,-0.257,21.094,-0.1212,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,0.75,2.0,3037.0,25.455,21.257,15.872,-0.4562,21.094,-0.2067,,,,,
A_loro,LORO,Lena,catboost_lo,shared25,1.0,2.0,3037.0,27.686,23.722,19.303,-0.7227,21.094,-0.3125,,,,,
A_loro,LORO,Lena,catboost,shared25,0.0,0.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shared25,0.25,0.0,3037.0,24.03,19.547,12.705,-0.2978,21.094,-0.1392,,,,,
A_loro,LORO,Lena,catboost,shared25,0.5,0.0,3037.0,28.179,24.558,19.832,-0.7847,21.094,-0.3359,,,,,
A_loro,LORO,Lena,catboost,shared25,0.75,0.0,3037.0,33.493,30.241,26.959,-1.5212,21.094,-0.5878,,,,,
A_loro,LORO,Lena,catboost,shared25,1.0,0.0,3037.0,39.504,36.396,34.086,-2.5072,21.094,-0.8728,,,,,
A_loro,LORO,Lena,catboost,shared25,0.0,1.0,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,
A_loro,LORO,Lena,catboost,shared25,0.25,1.0,3037.0,24.562,20.249,13.713,-0.3559,21.094,-0.1644,,,,,
A_loro,LORO,Lena,catboost,shared25,0.5,1.0,3037.0,29.642,26.177,21.849,-0.9747,21.094,-0.4052,,,,,
