source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
PERMOS,COR_0200,46.4285,9.822,56.0,-0.02075,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,40.0,-0.43346,2011.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.37799,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,42.0,-0.15929,2013.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,52.0,0.22521,2022.0,2672.3,CH 14
PERMOS,MAT_0205,45.9823,7.6761,20.0,-3.28053,2016.0,3343.956,CH 09
PERMOS,ATT_0108,46.0968,7.2731,2.0,-0.24283,2015.0,2661.0,CH 01
PERMOS,COR_0200,46.4285,9.822,44.0,0.34038,2007.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,40.0,-0.11484,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,50.0,-0.11008,2018.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,48.0,-0.05242,2015.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.38996,2016.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,46.0,-0.03947,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,52.0,0.21354,2021.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,62.0,-0.14827,2017.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,46.0,-0.07481,2010.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,50.0,0.00118,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.02606,2015.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,25.0,-0.05893,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,25.0,-0.17459,2014.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,-0.06798,2022.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,25.0,-0.184,2016.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,57.0,-0.01244,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,46.0,-0.07991,2018.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,58.0,0.02631,2009.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,25.0,-0.0519,2003.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,54.0,0.18009,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,60.0,0.02695,2004.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,50.0,-0.10493,2016.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,-0.06697,2021.0,2672.3,CH 14
PERMOS,ATT_0108,46.0968,7.2731,2.0,-0.30762,2018.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.81791,2012.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,15.0,-0.86601,2011.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,12.5,-0.61048,2019.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-0.8184,2017.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,3.0,-0.5484,2014.0,2661.0,CH 01
PERMOS,COR_0200,46.4285,9.822,20.0,-0.58515,2004.0,2672.3,CH 14
PERMOS,ATT_0108,46.0968,7.2731,6.0,-0.45661,2020.0,2661.0,CH 01
PERMOS,COR_0200,46.4285,9.822,60.0,0.0433,2005.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,40.0,-0.46689,2020.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,52.0,0.03103,2003.0,2672.3,CH 14
