target,model,phys,r,seed,rmse_cm,mae_cm,bias_cm,skill,delta_rmse_vs_base
Lena,mlp,kudryavtsev,2.0,1,31.389,29.168,27.604,-1.1855255917648235,
Lena,mlp,kudryavtsev,2.0,2,32.266,30.06,28.619,-1.246644267105506,
Lena,mlp,kudryavtsev,5.0,0,32.185,29.99,28.507,-1.2409946669053764,
Lena,mlp,kudryavtsev,5.0,1,32.101,29.904,28.397,-1.2351385333752725,
Lena,mlp,kudryavtsev,5.0,2,32.01,29.804,28.358,-1.2288282891990794,
Lena,mlp,kudryavtsev,10.0,0,32.457,30.302,28.878,-1.2599409738090883,
Lena,mlp,kudryavtsev,10.0,1,32.389,30.165,28.653,-1.2551853707575145,
Lena,mlp,kudryavtsev,10.0,2,31.998,29.837,28.443,-1.2279571268323664,
Lena,mlp,placebo,0.0,0,38410.628,4638.65,-4616.091,-2673.457928699563,
Lena,mlp,placebo,0.0,1,39672.292,4797.268,4793.951,-2761.3051363269274,
Lena,mlp,placebo,0.0,2,31728.042,3832.519,3825.552,-2208.1623600336193,
Lena,mlp,placebo,0.25,0,18.131,15.387,10.963,-0.2624145255902264,
Lena,mlp,placebo,0.25,1,18.234,15.548,11.423,-0.2695701914202544,
Lena,mlp,placebo,0.25,2,18.349,15.673,11.458,-0.2775756066551518,
Lena,mlp,placebo,0.5,0,18.252,15.554,11.175,-0.2708430701324005,
Lena,mlp,placebo,0.5,1,18.2,15.528,11.329,-0.26725615342451814,
Lena,mlp,placebo,0.5,2,18.111,15.417,11.016,-0.26103077858668455,
Lena,mlp,placebo,1.0,0,18.152,15.458,11.082,-0.263884219824954,
Lena,mlp,placebo,1.0,1,18.255,15.588,11.348,-0.2710697214842721,
Lena,mlp,placebo,1.0,2,18.231,15.54,11.133,-0.26937213453576825,
Lena,mlp,placebo,2.0,0,18.068,15.342,10.963,-0.2580675686173115,
Lena,mlp,placebo,2.0,1,18.206,15.505,11.239,-0.2676164479381078,
Lena,mlp,placebo,2.0,2,18.207,15.515,11.2,-0.2677172661701457,
Lena,mlp,placebo,5.0,0,18.252,15.546,11.221,-0.2708404622235181,
Lena,mlp,placebo,5.0,1,18.089,15.359,10.991,-0.2595150219539093,
Lena,mlp,placebo,5.0,2,18.185,15.476,11.143,-0.26617434773936144,
Lena,mlp,placebo,10.0,0,18.187,15.487,11.125,-0.2663518023668132,
Lena,mlp,placebo,10.0,1,18.195,15.507,11.218,-0.26688204170402585,
Lena,mlp,placebo,10.0,2,18.227,15.535,11.224,-0.2690807818062524,
Lena,mlp,stefan,0.25,SUMMARY,17.215666666666667,,,,36586.438333333346
Lena,mlp,stefan,0.5,SUMMARY,17.158333333333335,,,,36586.49566666668
Lena,mlp,stefan,1.0,SUMMARY,16.930666666666667,,,,36586.72333333334
Lena,mlp,stefan,2.0,SUMMARY,16.754333333333335,,,,36586.89966666668
Lena,mlp,stefan,5.0,SUMMARY,16.676,,,,36586.97800000001
Lena,mlp,stefan,10.0,SUMMARY,16.56233333333333,,,,36587.091666666674
