borehole_id,depth,magt,n_months,n_years,n_obs,amp,sampling,lat,lon,elev,site
64,46.0,-7.259333333333333,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,47.3,-7.44,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,47.4,-7.52,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,48.0,-7.31125,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,49.4,-7.57,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,50.0,-7.359916666666667,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,51.3,-7.53,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,51.4,-7.61,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,52.0,-7.410333333333334,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,53.3,-7.58,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,53.4,-7.66,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,54.0,-7.457249999999999,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,54.4,-7.68,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
65,0.01,-2.3196120082677183,12,4,35,11.006088841727976,seasonal,68.4789,-155.738093,,Ivotuk
65,0.03,-1.30296736717427,12,4,35,9.7279631767591,seasonal,68.4789,-155.738093,,Ivotuk
65,0.08,-1.5577305798182577,12,4,35,8.49654193548387,seasonal,68.4789,-155.738093,,Ivotuk
65,0.1,-1.0607954185500057,12,4,35,7.009605089605734,seasonal,68.4789,-155.738093,,Ivotuk
65,0.12,-2.080359436986576,12,2,13,9.687612903225807,seasonal,68.4789,-155.738093,,Ivotuk
65,0.16,-1.7663173406317363,12,4,35,5.9577581560083,seasonal,68.4789,-155.738093,,Ivotuk
65,0.2,-5.993154507836327,12,2,13,20.575338709677418,seasonal,68.4789,-155.738093,,Ivotuk
65,0.24,-1.9873553849921892,12,4,35,5.036786397849462,seasonal,68.4789,-155.738093,,Ivotuk
65,0.26,-1.7491367656557968,12,4,35,4.134093476702509,seasonal,68.4789,-155.738093,,Ivotuk
65,0.27,-0.007978911485117656,12,2,13,0.022133333333333335,seasonal,68.4789,-155.738093,,Ivotuk
65,0.31,-2.088525764417997,12,4,35,4.527296487455198,seasonal,68.4789,-155.738093,,Ivotuk
65,0.41,-1.8552177347127399,12,4,35,3.3481320788530464,seasonal,68.4789,-155.738093,,Ivotuk
65,0.46,-2.191327489274648,12,4,35,3.6614007168458786,seasonal,68.4789,-155.738093,,Ivotuk
65,0.62,-2.073519040138516,12,4,35,3.182113888888889,seasonal,68.4789,-155.738093,,Ivotuk
65,0.83,-2.2659889016145915,12,4,35,3.149077777777778,seasonal,68.4789,-155.738093,,Ivotuk
74,0.01,-3.2181438874745454,12,4,40,9.877398521505377,seasonal,68.481002,-155.739549,,Ivotuk
74,0.02,-2.355831731097457,12,3,28,5.617728494623656,seasonal,68.481002,-155.739549,,Ivotuk
74,0.03,-0.9843467165898617,12,2,12,9.236998387096776,seasonal,68.481002,-155.739549,,Ivotuk
74,0.04,-0.8364176824116742,12,2,12,9.798147062211982,seasonal,68.481002,-155.739549,,Ivotuk
74,0.07,-2.8338709144051886,12,3,28,13.024287634408603,seasonal,68.481002,-155.739549,,Ivotuk
74,0.08,-1.6882493252519284,12,6,53,7.575128841247579,seasonal,68.481002,-155.739549,,Ivotuk
74,0.09,-2.8774988777507047,12,4,40,12.68842069892473,seasonal,68.481002,-155.739549,,Ivotuk
74,0.1,-2.76282662550925,12,4,25,14.015307723903026,seasonal,68.481002,-155.739549,,Ivotuk
74,0.12,-1.6367207270865336,12,2,12,6.861322580645161,seasonal,68.481002,-155.739549,,Ivotuk
74,0.15,-1.6762378989588669,12,3,28,11.272513440860214,seasonal,68.481002,-155.739549,,Ivotuk
74,0.16,-2.612035900820135,12,5,52,5.861388225806451,seasonal,68.481002,-155.739549,,Ivotuk
74,0.17,-0.7414460728439544,12,6,53,8.634964408602151,seasonal,68.481002,-155.739549,,Ivotuk
74,0.18,-2.489636742618194,12,3,28,4.879967741935484,seasonal,68.481002,-155.739549,,Ivotuk
74,0.2,-2.0013139298515106,12,2,12,5.550895161290322,seasonal,68.481002,-155.739549,,Ivotuk
74,0.22,-1.5841536055640895,12,3,28,9.113193548387096,seasonal,68.481002,-155.739549,,Ivotuk
74,0.24,-1.8973734291522473,12,4,40,6.548929233870968,seasonal,68.481002,-155.739549,,Ivotuk
74,0.25,9.723009523809525,3,1,3,,sparse,68.481002,-155.739549,,Ivotuk
74,0.26,-2.0597490962621605,12,2,12,4.9058383333333335,seasonal,68.481002,-155.739549,,Ivotuk
74,0.27,-2.206728549027138,12,2,12,4.862820967741936,seasonal,68.481002,-155.739549,,Ivotuk
74,0.33,-2.6564377624167945,12,3,28,3.888693548387097,seasonal,68.481002,-155.739549,,Ivotuk
74,0.38,-2.2034210488137904,12,3,28,6.276067204301075,seasonal,68.481002,-155.739549,,Ivotuk
74,0.39,-2.5843476137065875,12,4,40,3.925177688172043,seasonal,68.481002,-155.739549,,Ivotuk
74,0.4,-1.8823074958691608,12,5,43,6.0224571812596,seasonal,68.481002,-155.739549,,Ivotuk
74,0.41,-2.2464429621095747,12,2,12,4.225317150537634,seasonal,68.481002,-155.739549,,Ivotuk
74,0.43,-2.31696103046595,12,2,12,4.1681558602150535,seasonal,68.481002,-155.739549,,Ivotuk
74,0.53,-2.4619847499573306,12,3,28,4.962120967741935,seasonal,68.481002,-155.739549,,Ivotuk
74,0.54,-2.765032208994709,12,3,28,3.5518361111111107,seasonal,68.481002,-155.739549,,Ivotuk
74,0.55,-2.3006442437419445,12,5,43,4.839712192780338,seasonal,68.481002,-155.739549,,Ivotuk
74,0.58,-2.436155137608807,12,2,12,3.472663602150538,seasonal,68.481002,-155.739549,,Ivotuk
74,0.6,-2.67899119726651,12,4,40,3.5261458333333335,seasonal,68.481002,-155.739549,,Ivotuk
74,0.62,-2.3719337519201225,12,2,12,3.4342958602150535,seasonal,68.481002,-155.739549,,Ivotuk
74,0.74,-2.6167507765830345,12,3,28,4.098432795698924,seasonal,68.481002,-155.739549,,Ivotuk
74,0.75,0.23811349206349205,3,1,3,,sparse,68.481002,-155.739549,,Ivotuk
74,0.76,-2.5247837372249298,12,4,40,4.146186962365591,seasonal,68.481002,-155.739549,,Ivotuk
74,0.79,-2.5360297843061956,12,2,12,3.0803016666666667,seasonal,68.481002,-155.739549,,Ivotuk
87,0.0,-7.140473295521683,12,2,12,16.472193548387096,seasonal,70.161528,-148.46557,,Dead Horse
87,0.01,-4.522748184694613,12,8,59,13.13095322580645,seasonal,70.161528,-148.46557,,Dead Horse
87,0.02,-4.720069693375673,12,5,35,12.678204857248794,seasonal,70.161528,-148.46557,,Dead Horse
87,0.03,-5.1078376734731705,12,4,24,12.908183298903543,seasonal,70.161528,-148.46557,,Dead Horse
87,0.06,-3.3403927291346647,12,2,12,10.720435483870968,seasonal,70.161528,-148.46557,,Dead Horse
87,0.08,-4.243871264800908,12,8,62,11.284350330851943,seasonal,70.161528,-148.46557,,Dead Horse
87,0.09,-4.3237792578173275,12,2,12,10.307870967741936,seasonal,70.161528,-148.46557,,Dead Horse
87,0.1,-5.190499961192918,12,4,24,11.422561973621484,seasonal,70.161528,-148.46557,,Dead Horse
87,0.13,-3.5792638696876597,12,2,12,9.831403225806453,seasonal,70.161528,-148.46557,,Dead Horse
87,0.15,-5.080977687187365,12,2,12,11.492363523573202,seasonal,70.161528,-148.46557,,Dead Horse
87,0.16,-4.205001359576802,12,8,59,9.50606612903226,seasonal,70.161528,-148.46557,,Dead Horse
87,0.18,-5.317138590570946,12,4,24,10.591732977117433,seasonal,70.161528,-148.46557,,Dead Horse
87,0.21,-3.7063819124423962,12,2,12,9.406419354838711,seasonal,70.161528,-148.46557,,Dead Horse
87,0.23,-4.4713272513694555,12,8,62,9.176850915563358,seasonal,70.161528,-148.46557,,Dead Horse
87,0.24,-4.481164148436535,12,2,12,9.094548387096774,seasonal,70.161528,-148.46557,,Dead Horse
87,0.25,-5.358747918763353,12,4,24,9.96107218999947,seasonal,70.161528,-148.46557,,Dead Horse
87,0.29,-3.8163942716333845,12,2,12,8.958193548387097,seasonal,70.161528,-148.46557,,Dead Horse
87,0.3,-5.262426474063571,12,2,12,10.131240694789081,seasonal,70.161528,-148.46557,,Dead Horse
87,0.31,-4.346375892049671,12,7,50,8.530170101553166,seasonal,70.161528,-148.46557,,Dead Horse
87,0.32,-4.534758716475096,12,2,12,8.674016129032259,seasonal,70.161528,-148.46557,,Dead Horse
87,0.33,-5.410581123904574,12,4,24,9.512101254480289,seasonal,70.161528,-148.46557,,Dead Horse
87,0.36,-3.9032277073732717,12,2,12,8.538677419354839,seasonal,70.161528,-148.46557,,Dead Horse
87,0.38,-5.30288633364843,12,2,12,9.608263027295285,seasonal,70.161528,-148.46557,,Dead Horse
87,0.39,-4.459729824803284,12,8,59,8.112242748428653,seasonal,70.161528,-148.46557,,Dead Horse
87,0.41,-5.440481449111594,12,4,24,9.138700716845877,seasonal,70.161528,-148.46557,,Dead Horse
87,0.46,-4.6637782960049785,12,8,62,8.017549974398362,seasonal,70.161528,-148.46557,,Dead Horse
87,0.48,-5.471433096407825,12,4,24,8.787486559139785,seasonal,70.161528,-148.46557,,Dead Horse
87,0.52,-4.094619719662059,12,2,12,7.563967741935484,seasonal,70.161528,-148.46557,,Dead Horse
87,0.53,-5.338765124660285,12,2,12,8.792972350230414,seasonal,70.161528,-148.46557,,Dead Horse
87,0.55,-4.705446418860462,12,2,12,7.3804354838709685,seasonal,70.161528,-148.46557,,Dead Horse
87,0.62,-4.609773681741107,12,7,50,6.771623456790123,seasonal,70.161528,-148.46557,,Dead Horse
87,0.64,-5.531619806840052,12,4,24,7.859825268817204,seasonal,70.161528,-148.46557,,Dead Horse
87,0.67,-4.219526414490527,12,2,12,6.59948817204301,seasonal,70.161528,-148.46557,,Dead Horse
87,0.69,-5.3997271406908505,12,2,12,8.078193548387096,seasonal,70.161528,-148.46557,,Dead Horse
87,0.7,-4.755651010381906,12,2,12,6.477387634408602,seasonal,70.161528,-148.46557,,Dead Horse
87,0.77,-4.731230936453604,12,7,50,5.99696332962551,seasonal,70.161528,-148.46557,,Dead Horse
87,0.79,-5.586003143741429,12,4,24,7.277471102150536,seasonal,70.161528,-148.46557,,Dead Horse
87,0.82,-4.3318063620071685,12,2,12,6.035783333333334,seasonal,70.161528,-148.46557,,Dead Horse
87,0.84,-5.401043074756784,12,2,12,7.291192396313364,seasonal,70.161528,-148.46557,,Dead Horse
87,0.85,-4.787615764429613,12,2,12,6.014922580645162,seasonal,70.161528,-148.46557,,Dead Horse
87,0.92,-4.779706065439045,12,7,50,5.619918817204302,seasonal,70.161528,-148.46557,,Dead Horse
87,0.94,-5.587425731522679,12,4,24,6.916451612903226,seasonal,70.161528,-148.46557,,Dead Horse
87,0.99,-5.398018408562764,12,2,12,6.855161290322581,seasonal,70.161528,-148.46557,,Dead Horse
88,0.02,-3.440386561059908,12,4,24,11.250825,seasonal,70.161703,-148.465055,,Dead Horse
88,0.04,-2.12282277265745,12,2,15,9.284887096774193,seasonal,70.161703,-148.465055,,Dead Horse
88,0.05,-4.1859061577678895,12,2,12,10.634849462365592,seasonal,70.161703,-148.465055,,Dead Horse
88,0.07,-1.639832181259601,12,2,12,13.786612903225805,seasonal,70.161703,-148.465055,,Dead Horse
