proto,target,seed,lam,family,anchor,pseudo,resid,r,rmse_cm,bias_cm,n,ci_lo,ci_hi,error
half,Lena,2,0.75,anchored,stefan,cci,ridge,5.0,14.883,-1.775,1518,11.647157322661307,27.461472333101035,
half,Lena,2,1.0,anchored,stefan,cci,ridge,5.0,15.756,-4.821,1518,11.806742517534296,29.47875064775777,
half,Lena,0,0.0,anchored,stefan,stefan_cci,ridge,2.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan_cci,ridge,2.0,15.721,6.225,1518,13.331502140557204,26.557513219378382,
half,Lena,0,0.5,anchored,stefan,stefan_cci,ridge,2.0,15.38,5.087,1518,13.011411705180658,27.118007575812143,
half,Lena,0,0.75,anchored,stefan,stefan_cci,ridge,2.0,15.141,3.949,1518,12.784084711034698,27.715640983306127,
half,Lena,0,1.0,anchored,stefan,stefan_cci,ridge,2.0,15.007,2.811,1518,12.577557973580241,28.436269277972755,
half,Lena,1,0.0,anchored,stefan,stefan_cci,ridge,2.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan_cci,ridge,2.0,15.721,6.226,1518,13.448191013370444,27.095275036561873,
half,Lena,1,0.5,anchored,stefan,stefan_cci,ridge,2.0,15.379,5.09,1518,13.152643682889897,27.517188240573848,
half,Lena,1,0.75,anchored,stefan,stefan_cci,ridge,2.0,15.139,3.953,1518,12.87216379104853,28.07619051029009,
half,Lena,1,1.0,anchored,stefan,stefan_cci,ridge,2.0,15.005,2.817,1518,12.552103675836392,28.882462776530097,
half,Lena,2,0.0,anchored,stefan,stefan_cci,ridge,2.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan_cci,ridge,2.0,15.735,6.254,1518,13.505388231080353,24.272301298339748,
half,Lena,2,0.5,anchored,stefan,stefan_cci,ridge,2.0,15.404,5.146,1518,13.238407922772518,24.615589245841054,
half,Lena,2,0.75,anchored,stefan,stefan_cci,ridge,2.0,15.171,4.037,1518,13.029602587130734,25.03319145082788,
half,Lena,2,1.0,anchored,stefan,stefan_cci,ridge,2.0,15.041,2.929,1518,12.771005927689515,25.561072846567694,
half,Lena,0,0.0,anchored,stefan,stefan,catboost,0.5,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan,catboost,0.5,16.172,7.456,1518,13.691574956418602,26.101674364393443,
half,Lena,0,0.5,anchored,stefan,stefan,catboost,0.5,16.192,7.55,1518,13.729621397021926,26.106646947183304,
half,Lena,0,0.75,anchored,stefan,stefan,catboost,0.5,16.218,7.643,1518,13.774728361063419,26.115355763083873,
half,Lena,0,1.0,anchored,stefan,stefan,catboost,0.5,16.248,7.736,1518,13.826862805275018,26.12779704767961,
half,Lena,1,0.0,anchored,stefan,stefan,catboost,0.5,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan,catboost,0.5,16.192,7.468,1518,13.751004959623764,26.788319471052827,
half,Lena,1,0.5,anchored,stefan,stefan,catboost,0.5,16.23,7.573,1518,13.760560728519787,26.748481500001034,
half,Lena,1,0.75,anchored,stefan,stefan,catboost,0.5,16.272,7.678,1518,13.775129104255761,26.654117541587745,
half,Lena,1,1.0,anchored,stefan,stefan,catboost,0.5,16.319,7.782,1518,13.79469420561749,26.5640827498089,
half,Lena,2,0.0,anchored,stefan,stefan,catboost,0.5,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan,catboost,0.5,16.2,7.483,1518,13.844062629991193,23.919274449509384,
half,Lena,2,0.5,anchored,stefan,stefan,catboost,0.5,16.248,7.603,1518,13.87089163410125,23.89028139054661,
half,Lena,2,0.75,anchored,stefan,stefan,catboost,0.5,16.301,7.722,1518,13.90385372320576,23.865074312950522,
half,Lena,2,1.0,anchored,stefan,stefan,catboost,0.5,16.357,7.842,1518,13.943648180870337,23.867224604742223,
half,Lena,0,0.0,anchored,stefan,stefan,catboost,10.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan,catboost,10.0,16.163,7.502,1518,13.70754441724246,26.03174991375853,
half,Lena,0,0.5,anchored,stefan,stefan,catboost,10.0,16.186,7.641,1518,13.781989587263874,25.966935828778457,
half,Lena,0,0.75,anchored,stefan,stefan,catboost,10.0,16.226,7.78,1518,13.883540668675947,25.90267724559669,
half,Lena,0,1.0,anchored,stefan,stefan,catboost,10.0,16.282,7.918,1518,14.011887229447908,25.787848172689593,
half,Lena,1,0.0,anchored,stefan,stefan,catboost,10.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan,catboost,10.0,16.15,7.448,1518,13.766278147371327,26.73337199122405,
half,Lena,1,0.5,anchored,stefan,stefan,catboost,10.0,16.154,7.533,1518,13.807334403302978,26.552923959108824,
half,Lena,1,0.75,anchored,stefan,stefan,catboost,10.0,16.17,7.618,1518,13.86945230459318,26.366169099195343,
half,Lena,1,1.0,anchored,stefan,stefan,catboost,10.0,16.199,7.702,1518,13.952350545519081,26.1875028399942,
half,Lena,2,0.0,anchored,stefan,stefan,catboost,10.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan,catboost,10.0,16.158,7.474,1518,13.84115194460281,23.848679872842194,
half,Lena,2,0.5,anchored,stefan,stefan,catboost,10.0,16.171,7.586,1518,13.878908094795683,23.749138482184218,
half,Lena,2,0.75,anchored,stefan,stefan,catboost,10.0,16.197,7.697,1518,13.936484619567484,23.653463909708496,
half,Lena,2,1.0,anchored,stefan,stefan,catboost,10.0,16.234,7.808,1518,14.013637500871232,23.56170339612182,
half,Lena,0,0.0,anchored,stefan,cci,catboost,5.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,cci,catboost,5.0,14.839,3.559,1518,12.370405169115616,26.88812043900101,
half,Lena,0,0.5,anchored,stefan,cci,catboost,5.0,14.466,-0.245,1518,11.744347517808691,28.168819986549853,
half,Lena,0,0.75,anchored,stefan,cci,catboost,5.0,15.107,-4.05,1518,11.630324685591077,30.223415069486173,
half,Lena,0,1.0,anchored,stefan,cci,catboost,5.0,16.646,-7.854,1518,12.805790755778576,32.69799965514895,
half,Lena,1,0.0,anchored,stefan,cci,catboost,5.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,cci,catboost,5.0,14.852,3.564,1518,12.528408521916967,27.409478835130734,
half,Lena,1,0.5,anchored,stefan,cci,catboost,5.0,14.49,-0.235,1518,11.765906674159735,28.98660468035,
half,Lena,1,0.75,anchored,stefan,cci,catboost,5.0,15.14,-4.034,1518,11.51342457876601,31.071485717727327,
half,Lena,1,1.0,anchored,stefan,cci,catboost,5.0,16.683,-7.833,1518,12.317253988410371,33.569667692240785,
half,Lena,2,0.0,anchored,stefan,cci,catboost,5.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,cci,catboost,5.0,14.866,3.603,1518,12.633074746180913,24.76958844203816,
half,Lena,2,0.5,anchored,stefan,cci,catboost,5.0,14.502,-0.158,1518,11.865415442090129,26.13344296072919,
half,Lena,2,0.75,anchored,stefan,cci,catboost,5.0,15.133,-3.919,1518,11.720691035714063,28.10634641756837,
half,Lena,2,1.0,anchored,stefan,cci,catboost,5.0,16.647,-7.679,1518,12.689504467860049,30.570609643493196,
half,Lena,0,0.0,anchored,stefan,stefan_cci,catboost,2.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan_cci,catboost,2.0,15.376,5.609,1518,12.982988820603794,26.385434455749763,
half,Lena,0,0.5,anchored,stefan,stefan_cci,catboost,2.0,14.785,3.855,1518,12.403239306730487,26.609060396566374,
half,Lena,0,0.75,anchored,stefan,stefan_cci,catboost,2.0,14.408,2.101,1518,11.993098197750891,26.99576674327027,
half,Lena,0,1.0,anchored,stefan,stefan_cci,catboost,2.0,14.261,0.347,1518,11.599069624407624,27.54429260608039,
half,Lena,1,0.0,anchored,stefan,stefan_cci,catboost,2.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan_cci,catboost,2.0,15.372,5.585,1518,13.099525341711724,26.82453315147976,
half,Lena,1,0.5,anchored,stefan,stefan_cci,catboost,2.0,14.781,3.806,1518,12.544561424005916,27.07743247156214,
half,Lena,1,0.75,anchored,stefan,stefan_cci,catboost,2.0,14.407,2.028,1518,12.003254304358855,27.617708396527114,
half,Lena,1,1.0,anchored,stefan,stefan_cci,catboost,2.0,14.268,0.25,1518,11.580152434981773,28.292402010015174,
half,Lena,2,0.0,anchored,stefan,stefan_cci,catboost,2.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan_cci,catboost,2.0,15.412,5.688,1518,13.189591427649312,24.150398951562384,
half,Lena,2,0.5,anchored,stefan,stefan_cci,catboost,2.0,14.849,4.012,1518,12.702919289143953,24.321309242619304,
half,Lena,2,0.75,anchored,stefan,stefan_cci,catboost,2.0,14.49,2.337,1518,12.309870971885944,24.643026847480776,
half,Lena,2,1.0,anchored,stefan,stefan_cci,catboost,2.0,14.35,0.662,1518,11.827693430928914,25.110841177292624,
half,Lena,0,0.0,anchored,stefan,stefan,mlp,0.5,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan,mlp,0.5,16.197,7.483,1518,13.70365555923915,26.080283261795774,
half,Lena,0,0.5,anchored,stefan,stefan,mlp,0.5,16.24,7.603,1518,13.749177317205557,26.094399086943746,
half,Lena,0,0.75,anchored,stefan,stefan,mlp,0.5,16.286,7.723,1518,13.797188481623557,26.109484440513977,
half,Lena,0,1.0,anchored,stefan,stefan,mlp,0.5,16.336,7.844,1518,13.847663220360255,26.12553768417266,
half,Lena,1,0.0,anchored,stefan,stefan,mlp,0.5,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan,mlp,0.5,16.149,7.384,1518,13.756278471443888,26.801185214241315,
half,Lena,1,0.5,anchored,stefan,stefan,mlp,0.5,16.142,7.405,1518,13.768625436858855,26.791439898949385,
half,Lena,1,0.75,anchored,stefan,stefan,mlp,0.5,16.137,7.426,1518,13.783506319741765,26.780166899207842,
half,Lena,1,1.0,anchored,stefan,stefan,mlp,0.5,16.135,7.447,1518,13.800912922535403,26.731396008809174,
half,Lena,2,0.0,anchored,stefan,stefan,mlp,0.5,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan,mlp,0.5,16.194,7.447,1518,13.864755426788477,23.991339055685845,
half,Lena,2,0.5,anchored,stefan,stefan,mlp,0.5,16.235,7.531,1518,13.910722816066343,24.043756242506195,
half,Lena,2,0.75,anchored,stefan,stefan,mlp,0.5,16.28,7.616,1518,13.96084440851474,24.10871944652106,
half,Lena,2,1.0,anchored,stefan,stefan,mlp,0.5,16.329,7.7,1518,14.01175594352775,24.186126925046253,
half,Lena,0,0.0,anchored,stefan,stefan,mlp,10.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan,mlp,10.0,16.15,7.328,1518,13.63976485702229,26.117354792999855,
half,Lena,0,0.5,anchored,stefan,stefan,mlp,10.0,16.143,7.294,1518,13.61931593554291,26.154458297137257,
half,Lena,0,0.75,anchored,stefan,stefan,mlp,10.0,16.136,7.259,1518,13.599303210320741,26.194401211762255,
half,Lena,0,1.0,anchored,stefan,stefan,mlp,10.0,16.131,7.224,1518,13.57972860631228,26.23568982580514,
half,Lena,1,0.0,anchored,stefan,stefan,mlp,10.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan,mlp,10.0,16.167,7.399,1518,13.75994493900262,26.791379528785363,
