part,cv,model,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,delta_rmse,ci_lo,ci_hi,metric,p1_stefan,p2_edaphic,p3_ttop,p4_kudryavtsev,p5_lambda,value,spearman,expert,var,var_label,unit,bin,bin_lo,bin_hi,w_p1_stefan,w_p2_edaphic,w_p3_ttop,w_p4_kudryavtsev,w_p5_lambda,dom_p1_stefan,dom_p2_edaphic,dom_p3_ttop,dom_p4_kudryavtsev,dom_p5_lambda
B_loro,LORO,mix_mlp,2.0,742.0,42.753,32.863,23.936,-0.9172,30.877,-0.3846,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp_seedmean,-1.0,742.0,35.605,28.775,22.914,-0.3297,30.877,-0.1531,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,742.0,,,,,,,,,Canada,,,,oracle_best_share,0.8908355795148248,0.004043126684636119,0.0,0.09838274932614555,0.006738544474393531,,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,742.0,,,,,,,,,Canada,,,,gate_top1_acc,,,,,,0.8908355795148248,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,3817.0,,,,,,,,,Alaska,,,,train_best_share,0.808226355776788,0.024102698454283467,0.0,0.14173434634529736,0.025936599423631124,,,,,,,,,,,,,,,,,,,
B_loro,LORO,stefan,0.0,13606.0,17.571,13.468,-10.845,-0.0219,17.382,-0.0109,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,uniform,0.0,13606.0,29.026,23.171,20.201,-1.7886,17.382,-0.6699,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,oracle,0.0,13606.0,9.715,6.923,-1.72,0.6876,17.382,0.4411,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_logit,0.0,13606.0,36.481,27.157,22.697,-3.405,17.382,-1.0988,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp,0.0,13606.0,34.112,24.729,16.437,-2.8515,17.382,-0.9625,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp,1.0,13606.0,37.849,27.677,19.75,-3.7415,17.382,-1.1775,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp,2.0,13606.0,37.8,27.551,21.072,-3.7291,17.382,-1.1747,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp_seedmean,-1.0,13606.0,36.05,26.206,19.087,-3.3013,17.382,-1.074,,,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,13606.0,,,,,,,,,Alaska,,,,oracle_best_share,0.5477730413053065,0.15537262972218138,0.0,0.25047773041305305,0.04637659855945906,,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,13606.0,,,,,,,,,Alaska,,,,gate_top1_acc,,,,,,0.23577833308834337,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,14386.0,,,,,,,,,Lena,,,,train_best_share,0.638398442930627,0.13798137077714445,0.0,0.1775337133324065,0.04608647295982205,,,,,,,,,,,,,,,,,,,
B_loro,LORO,stefan,0.0,3037.0,21.663,15.52,5.344,-0.0547,21.094,-0.027,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,uniform,0.0,3037.0,47.573,44.566,41.93,-4.0865,21.094,-1.2553,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,oracle,0.0,3037.0,15.756,12.266,9.47,0.4421,21.094,0.2531,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_logit,0.0,3037.0,21.845,15.824,5.924,-0.0725,21.094,-0.0356,,,Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
