cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
noinfo,Alps,stefan_soil_cci,none,0.0,catboost_lo,0.75,339.5953333333334,-328.289,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,catboost_lo,1.0,339.13166666666666,-327.9243333333333,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,mlp,0.0,341.042,-329.383,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,mlp,0.25,403.24066666666664,-374.7486666666667,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,mlp,0.5,483.483,-420.11533333333335,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,mlp,0.75,574.1366666666667,-465.4816666666666,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,mlp,1.0,670.9646666666666,-510.848,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,ridge,0.0,341.042,-329.383,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,ridge,0.25,448.395,-404.384,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,ridge,0.5,585.941,-479.385,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,ridge,0.75,736.9630000000001,-554.386,8,1,3
noinfo,Alps,stefan_soil_cci,none,0.0,ridge,1.0,894.6640000000001,-629.387,8,1,3
noinfo,Canada,cci_cal,none,0.0,catboost_lo,0.0,25.934,-0.589,749,1,3
noinfo,Canada,cci_cal,none,0.0,catboost_lo,0.25,25.945999999999998,-0.8676666666666666,749,1,3
noinfo,Canada,cci_cal,none,0.0,catboost_lo,0.5,26.078666666666667,-1.1463333333333334,749,1,3
noinfo,Canada,cci_cal,none,0.0,catboost_lo,0.75,26.331,-1.4253333333333333,749,1,3
noinfo,Canada,cci_cal,none,0.0,catboost_lo,1.0,26.69966666666667,-1.704,749,1,3
noinfo,Canada,cci_cal,none,0.0,mlp,0.0,25.934,-0.589,749,1,3
noinfo,Canada,cci_cal,none,0.0,mlp,0.25,26.136,-0.964,749,1,3
noinfo,Canada,cci_cal,none,0.0,mlp,0.5,26.95866666666667,-1.3393333333333333,749,1,3
noinfo,Canada,cci_cal,none,0.0,mlp,0.75,28.345,-1.7146666666666668,749,1,3
noinfo,Canada,cci_cal,none,0.0,mlp,1.0,30.217,-2.0900000000000003,749,1,3
noinfo,Canada,cci_cal,none,0.0,ridge,0.0,25.934,-0.589,749,1,3
noinfo,Canada,cci_cal,none,0.0,ridge,0.25,27.358999999999998,-6.482,749,1,3
noinfo,Canada,cci_cal,none,0.0,ridge,0.5,32.258,-12.376,749,1,3
noinfo,Canada,cci_cal,none,0.0,ridge,0.75,39.354,-18.27,749,1,3
noinfo,Canada,cci_cal,none,0.0,ridge,1.0,47.677,-24.164,749,1,3
noinfo,Canada,ku_cal,none,0.0,catboost_lo,0.0,33.057,22.797,749,1,3
noinfo,Canada,ku_cal,none,0.0,catboost_lo,0.25,31.379,20.40833333333333,749,1,3
noinfo,Canada,ku_cal,none,0.0,catboost_lo,0.5,29.827333333333332,18.02,749,1,3
noinfo,Canada,ku_cal,none,0.0,catboost_lo,0.75,28.422666666666668,15.631,749,1,3
noinfo,Canada,ku_cal,none,0.0,catboost_lo,1.0,27.189000000000004,13.242666666666667,749,1,3
noinfo,Canada,ku_cal,none,0.0,mlp,0.0,33.057,22.797,749,1,3
noinfo,Canada,ku_cal,none,0.0,mlp,0.25,30.91433333333333,19.060666666666666,749,1,3
noinfo,Canada,ku_cal,none,0.0,mlp,0.5,29.86,15.324666666666667,749,1,3
noinfo,Canada,ku_cal,none,0.0,mlp,0.75,29.99933333333333,11.588666666666667,749,1,3
noinfo,Canada,ku_cal,none,0.0,mlp,1.0,31.307,7.852333333333334,749,1,3
noinfo,Canada,ku_cal,none,0.0,ridge,0.0,33.057,22.797,749,1,3
noinfo,Canada,ku_cal,none,0.0,ridge,0.25,29.283,12.879,749,1,3
noinfo,Canada,ku_cal,none,0.0,ridge,0.5,33.347,2.961,749,1,3
noinfo,Canada,ku_cal,none,0.0,ridge,0.75,43.085,-6.958000000000001,749,1,3
noinfo,Canada,ku_cal,none,0.0,ridge,1.0,55.592000000000006,-16.876,749,1,3
noinfo,Canada,none,none,0.0,catboost_lo,1.0,28.651666666666667,-7.118333333333333,749,1,3
noinfo,Canada,none,none,0.0,mlp,1.0,28.394333333333332,-4.489333333333334,749,1,3
noinfo,Canada,none,none,0.0,ridge,1.0,47.64000000000001,-24.231000000000005,749,1,3
noinfo,Canada,stefan,none,0.0,catboost_lo,0.0,26.634,2.182,749,1,3
noinfo,Canada,stefan,none,0.0,catboost_lo,0.25,26.42866666666667,1.7646666666666666,749,1,3
noinfo,Canada,stefan,none,0.0,catboost_lo,0.5,26.282333333333337,1.3473333333333333,749,1,3
