lat,lon,site,name,country,macro,n_siteyear,year_min,year_max,alt_mean,alt_sd
72.3698,126.4806,R51,Samoylov,Russia,Russia_C,22,2002,2024,51.72727272727273,5.556478999731653
72.3833,99.5,R6,"Labaz Lake, Taimyr",Russia,Russia_C,2,1994,1995,46.0,5.656854249492381
72.8107,-79.3293,C28,"Bylot Island, Sirmilik NP",Canada,Canada,9,2009,2018,47.55555555555556,5.294126724756198
73.0054,-80.6873,C26,"Borden Peninsula, Sirmilik NP",Canada,Canada,8,2011,2018,51.375,8.749489781042746
73.3269,70.0853,R55,Bely Island (silt),Russia,Russia_W,15,2009,2023,55.733333333333334,6.250333324444918
73.3286,70.0883,R55a,Bely Island (sand),Russia,Russia_W,15,2009,2023,111.8,13.006591735402038
74.466,-20.5643,G2,"""Zackenberg; ZEROCALM 2   """,Denmark (Greenland),Greenland,29,1996,2024,66.34482758620689,8.710731731068314
74.473,-20.5528,G1,"""Zackenberg; ZEROCALM 1""",Denmark (Greenland),Greenland,29,1996,2024,75.17241379310344,9.892525914321237
74.5333,98.6,R7,"Levinson Lessing Lake, Taimyr",Russia,Russia_C,3,1994,1996,37.333333333333336,4.163331998932266
77.5667,14.5,P1,"Calypsos Tranda, Svalbard",Poland/Svalbard,Svalbard,15,1990,2009,154.73333333333332,25.451541257474993
78.05,13.6167,S1,"Kapp Linne, Svalbard",Sweden/Svalbard,Svalbard,18,1990,2011,95.27777777777777,8.736707924583326
78.1793,16.467,N1,"Janssonhaugen, Svalbard",Norway/Svalbard,Svalbard,27,1998,2024,178.4814814814815,14.887708844677013
78.201,15.8364,N3,UNISCALM,Norway/Svalbard,Svalbard,24,2000,2023,99.95833333333333,7.1046779853391255
78.6833,11.8333,P2 A,"Kaffioyra Plain, Spitsbergen",Poland/Svalbard,Svalbard,21,1999,2005,156.66666666666666,41.11366358442573
78.8833,-75.9167,C1,Alexandria Fiord,Canada,Canada,5,1995,2001,53.8,7.661592523751183
78.92,11.86,IT1,"Ecogrid, Svalbard",Italy/Svalbard,Svalbard,6,2014,2019,157.83333333333334,5.6361925682739615
80.0167,-85.75,C19,"""Eureka; Ellesmere Island   """,Canada,Canada,3,1997,2000,51.333333333333336,2.0816659994661335
81.4007,-76.7094,C18,"""Tanquary Fiord; Ellesmere Island   """,Canada,Canada,20,1999,2018,59.1,4.204008112566661
81.4007,-71.3833,C16,"""Lake Hazen; Ellesmere Island   """,Canada,Canada,6,1994,1999,47.666666666666664,3.3266599866332407
