site,lat,lon,block,field_alt_seasmax_cm,field_alt_magt_cm,obs_alt_cm,delta_holdout_m,dist_deg
Marre Sale#438,69.7093,66.8341,13900133,263.4,9.6,236.3,1.0,0.0
Murtèl-Corvatsch#1844,46.4288,9.8218,9200019,141.3,,366.6,0.6,0.0
Murtèl-Corvatsch#870,46.4285,9.822,9200019,264.4,122.2,248.3,0.6,0.0
Murtèl-Corvatsch#871,46.4288,9.8218,9200019,142.5,,366.6,0.6,0.0
Nadym#1100,65.3158,72.8692,13000145,,,286.8,1.0,0.0005
Nadym#1101,65.3225,72.8817,13000145,400.0,512.9,286.8,1.0,0.0143
Nadym#1102,65.6748,72.8742,13100145,400.0,,264.6,1.1,0.0
Nadym#1103,65.3155,72.8599,13000145,,,149.8,1.0,0.0044
Nadym#1104,65.2993,72.8834,13000145,,,92.9,1.0,0.0048
Nadym#1105,65.3079,72.8491,13000145,,,92.3,1.0,0.011
Nadym#1106,65.2986,72.8848,13000145,,,92.9,1.0,0.0035
Nadym#169,65.3156,72.8732,13000145,,,286.8,1.0,0.004
Nadym#170,65.3153,72.8693,13000145,,,286.8,1.0,0.0
Nadym#171,65.3086,72.8239,13000145,,,92.3,1.0,0.0357
Nadym#172,65.3147,72.8606,13000145,,,149.8,1.0,0.0036
Nadym#173,65.3147,72.8612,13000145,,,149.8,1.0,0.003
Nadym#174,65.3134,72.8872,13000145,,,92.9,1.0,0.0143
Nadym#175,65.3146,72.8629,13000145,,,149.8,1.0,0.0013
Nadym#176,65.3145,72.8618,13000145,,,149.8,1.0,0.0024
Nadym#177,65.3055,72.892,13000145,,,92.9,1.0,0.0075
Nadym#178,65.2985,72.895,13000145,,,92.9,1.0,0.0068
Nadym#179,65.3166,72.862,13000145,,,149.8,1.0,0.0028
Nadym#34,65.3033,72.8592,13000145,,,92.3,1.0,0.0
Nadym#92,65.2994,72.8862,13000145,,,92.9,1.0,0.002
Nerstinsky,70.2333,68.9167,14000137,116.2,,46.7,1.0,0.0484
Novyi Urengoy#419,66.1882,76.5408,13200153,272.8,,47.5,1.1,0.001
Novyi Urengoy#420,66.1873,76.5408,13200153,223.1,,47.5,1.1,0.0
Old Man#749,66.4502,-150.6188,13199698,400.0,224.6,41.2,1.0,0.0021
RIT_0102,46.1747,7.8498,9200015,400.0,361.6,378.9,1.0,0.0
SBE_0190,46.4974,9.9263,9200019,283.1,184.6,484.6,0.6,0.0018
SBE_0290,46.4988,9.9252,9200019,251.0,139.5,484.6,0.6,0.0
SCH_5000,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
SCH_5198,46.5583,7.8346,9300015,198.6,,468.9,0.8,0.0002
SCH_5200,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
SCH_5318,46.5583,7.8343,9300015,185.1,,468.9,0.8,0.0001
STO_6000,45.9868,7.8242,9100015,85.7,,393.0,0.6,0.0
STO_6100,45.9866,7.824,9100015,91.4,,393.0,0.6,0.0003
Sagwon#116,69.433,-148.6738,13799702,,,57.8,0.8,0.0087
Samoylov (Lena River Delta)#53,72.3696,126.4751,14400252,96.6,,51.7,1.0,0.0055
Schilthorn#864,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
Schilthorn#865,46.5583,7.8346,9300015,198.6,,468.9,0.8,0.0002
Schilthorn#866,46.5583,7.8344,9300015,188.8,,468.9,0.8,0.0
Severo-Urengoysky,67.4833,76.65,13400153,95.8,,95.3,0.6,0.0456
Svalbard #1192,78.9209,11.8334,15700023,75.1,,167.4,1.0,0.0001
Svalbard #166,78.2015,15.8346,15600031,32.6,,95.3,0.6,0.0001
Svalbard #1837,78.9219,11.8658,15700023,79.6,,144.8,1.0,0.0001
Svalbard #1838,78.095,14.241,15600028,56.9,,169.4,0.6,0.0001
Svalbard #1839,78.0907,14.2024,15600028,56.2,,144.5,0.6,0.0001
Svalbard #1859,78.2215,15.658,15600031,50.1,,97.5,0.6,0.0
Svalbard #57,78.0566,13.6415,15600027,88.7,,237.0,1.0,0.0026
Svalbard #60,78.1926,15.5984,15600031,53.5,,218.6,0.6,0.0
Svalbard #62,78.1416,16.0626,15600032,174.0,,47.2,1.1,0.0
Svalbard #63,78.1902,15.7816,15600031,52.2,,277.4,0.6,0.0
Svalbard #98,78.0546,13.6367,15600027,97.8,,237.0,1.0,0.0026
Tiksi#1113,71.5867,128.7773,14300257,146.7,,42.2,1.1,0.0069
Toolik Lake#97,68.628,-149.5954,13699700,104.8,,40.4,0.8,0.0122
Ust-Kamchatsky#464,55.8878,160.5358,11100321,204.1,,48.8,1.0,0.0035
Ust-Kamchatsky#468,55.7506,160.2896,11100320,290.5,,98.0,1.0,0.0001
Vorkuta#182,67.5486,64.1738,13500128,328.2,,82.9,1.1,0.036
West Dock#117,70.3745,-148.5522,13999702,134.8,,32.1,1.0,0.0
West Dock#118,70.3745,-148.5522,13999702,,,32.1,1.0,0.0001
Yakutsk#451,62.0136,129.656,12400259,225.5,,202.9,1.0,0.0008
