loc_id,region,label_class,n_pts,frac_gpr,frac_probe,frac_late,month_mean
284,ABoVE_AK,ABoVE 탐침 우세,8.0,0.0,1.0,1.0,8.0
285,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
286,ABoVE_AK,ABoVE 탐침 우세,18.0,0.0,1.0,1.0,8.0
287,ABoVE_AK,ABoVE 탐침 우세,36.0,0.0,1.0,1.0,8.0
288,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
289,ABoVE_AK,ABoVE 탐침 우세,35.0,0.0,1.0,1.0,8.0
290,ABoVE_AK,ABoVE 탐침 우세,1.0,0.0,1.0,1.0,8.0
291,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
292,ABoVE_AK,ABoVE 탐침 우세,8.0,0.125,0.875,1.0,8.0
293,ABoVE_AK,ABoVE 탐침 우세,1.0,0.0,1.0,1.0,8.0
294,ABoVE_AK,ABoVE GPR 우세,26.0,0.8076923076923077,0.19230769230769232,1.0,8.0
295,ABoVE_AK,ABoVE GPR 우세,42.0,0.8571428571428571,0.14285714285714285,1.0,8.0
296,ABoVE_AK,ABoVE 탐침 우세,5.0,0.0,1.0,1.0,8.0
297,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
298,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,1.0,1.0,8.0
299,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
300,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
301,ABoVE_AK,ABoVE 탐침 우세,3.0,0.0,1.0,1.0,8.0
302,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,0.5,0.6666666666666666,7.5
303,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,0.5,0.6666666666666666,7.5
304,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,0.5,0.6666666666666666,7.5
305,ABoVE_AK,ABoVE 기타/결측,13.0,0.0,0.46153846153846156,0.7692307692307693,7.846153846153846
306,ABoVE_AK,ABoVE 기타/결측,23.0,0.0,0.2608695652173913,0.43478260869565216,7.043478260869565
307,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,0.5,0.6666666666666666,7.5
308,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,0.5,0.6666666666666666,7.5
309,ABoVE_AK,ABoVE 탐침 우세,6.0,0.0,0.5,0.6666666666666666,7.5
310,ABoVE_AK,ABoVE 탐침 우세,12.0,0.0,0.5,0.6666666666666666,7.5
311,ABoVE_AK,ABoVE 기타/결측,31.0,0.0,0.0967741935483871,0.9354838709677419,8.709677419354838
