site_name,year,lat,lon,alt_cm,n_pts
CV15.5,2022,68.32069105,-133.519052,31.0,1
CV2.1,2022,68.7416622200001,-133.49682445,60.5,1
CV2.2,2022,68.7416108300001,-133.49595028,47.0,1
CV2.3,2022,68.74140193,-133.49610115,46.5,1
CV4.1,2022,68.743424264,-133.500939115,51.25,1
CV4.2,2022,68.7435639600001,-133.50151699,47.75,1
CV4.3,2022,68.7437999200001,-133.50133364,39.75,1
CV4.4,2022,68.7436753800001,-133.50074407,44.25,1
CV4.5,2022,68.74361265,-133.50106615,47.0,1
CV5.1,2022,68.7444994900001,-133.5019318,41.5,1
CV5.2,2022,68.7445564500001,-133.50259736,42.0,1
CV5.3,2022,68.7447684200001,-133.50229543,42.25,1
CV5.4,2022,68.7447611200001,-133.5017155,41.75,1
CV5.5,2022,68.74466913,-133.5020957,48.0,1
CV6.1,2022,68.74581562,-133.50407705,61.25,1
CV6.2,2022,68.74584271,-133.50487561,56.25,1
CV6.3,2022,68.7461000900001,-133.5051177,39.25,1
CV6.4,2022,68.7460922600001,-133.50434464,58.25,1
CV6.5,2022,68.74595786,-133.50463888,51.0,1
CV7.1,2022,68.7482273900001,-133.51781909,37.0,1
CV7.2,2022,68.7483689900001,-133.51850229,35.0,1
CV7.3,2022,68.7485415400001,-133.51815558,49.5,1
CV7.4,2022,68.7485015400001,-133.5177134,43.0,1
CV7.5,2022,68.7484212200001,-133.51794396,34.5,1
CV8.1,2022,68.75031175,-133.53852209,41.5,1
CV8.2,2022,68.75012861,-133.53803478,36.5,1
CV8.3,2022,68.7499554300001,-133.53846703,33.25,1
CV8.4,2022,68.7501093800001,-133.53904105,42.75,1
CV9.1,2022,68.7488021300001,-133.5304534,42.75,1
CV9.2,2022,68.7485435,-133.53025996,39.25,1
CV9.3,2022,68.74847944,-133.53079474,35.25,1
CV9.4,2022,68.74876493,-133.53115448,56.0,1
CV9.5,2022,68.7486098100001,-133.53064022,38.5,1
Creamer_823_1,2014,64.86990427653465,-147.73923293960397,61.91089108910891,404
Creamer_823_2,2014,64.87078966,-147.73961748613863,65.72277227722772,404
Creamers,2014,64.86948207283058,-147.739042393116,66.97619047619048,126
Creamers,2015,64.86948207283058,-147.739042393116,64.73809523809524,126
Creamers,2016,64.86948207283058,-147.739042393116,75.46825396825396,126
Creamers,2017,64.86948207283058,-147.739042393116,71.93650793650794,126
Creamers,2018,64.86948207283058,-147.739042393116,72.46031746031746,126
Creamers,2019,64.86948207283058,-147.739042393116,75.31746031746032,126
Creamers,2020,64.86948207283058,-147.739042393116,76.67460317460318,126
Creamers,2021,64.86948207283058,-147.739042393116,72.3015873015873,126
Creamers,2022,64.86948207283058,-147.739042393116,69.42063492063492,126
DH_B1,2018,70.1653,-148.4581,43.11764705882353,17
DH_B2,2018,70.1786,-148.4375,37.976190476190474,21
DJL,2014,64.86993526889519,-147.73916999943341,59.084804868017,353
Deadhorse_Airport,2018,70.1819374122807,-148.45789530701757,53.03622807017544,114
E1,2022,68.7390571500001,-133.51352505,63.75,1
E100,2022,68.31946614,-133.52000929,45.25,1
E101,2022,68.31965575,-133.51925547,56.25,1
E102,2022,68.31982579,-133.51902332,28.0,1
E103,2022,68.3200393600001,-133.51860462,37.75,1
E104,2022,68.32015685,-133.51836188,47.75,1
E105,2022,68.3202006500001,-133.51824581,48.75,1
E106,2022,68.32029228,-133.51801709,38.75,1
E107,2022,68.32037194,-133.5178265,42.75,1
E108,2022,68.32043035,-133.51775633,62.5,1
E109,2022,68.3206095900001,-133.51733724,38.75,1
E11,2022,68.7434982620001,-133.501235304,39.25,1
E110,2022,68.32065042,-133.51703764,34.75,1
E111,2022,68.3207512600001,-133.51696459,45.0,1
E112,2022,68.32102888,-133.51601049,69.75,1
E113,2022,68.32114834,-133.51580309,59.0,1
E114,2022,68.3212282100001,-133.51541427,74.25,1
E115,2022,68.3212552100001,-133.51505596,55.5,1
E116,2022,68.3213123,-133.51489672,91.75,1
E117,2022,68.3214537900001,-133.51422747,76.5,1
