proto,family,anchor,pseudo,resid,r,lam,rmse_mean,n_reg,name
half,anchored,stefan,cci,ridge,1.0,0.75,23.318833333333334,2,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=1)
half,anchored,stefan,cci,ridge,1.0,1.0,24.932,2,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=1)
half,anchored,stefan,cci,ridge,2.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=2)
half,anchored,stefan,cci,ridge,2.0,0.25,22.51966666666667,2,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=2)
half,anchored,stefan,cci,ridge,2.0,0.5,22.392,2,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=2)
half,anchored,stefan,cci,ridge,2.0,0.75,23.349833333333333,2,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=2)
half,anchored,stefan,cci,ridge,2.0,1.0,25.264666666666667,2,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=2)
half,anchored,stefan,cci,ridge,5.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=5)
half,anchored,stefan,cci,ridge,5.0,0.25,22.47716666666667,2,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=5)
half,anchored,stefan,cci,ridge,5.0,0.5,22.4795,2,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=5)
half,anchored,stefan,cci,ridge,5.0,0.75,23.718999999999998,2,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=5)
half,anchored,stefan,cci,ridge,5.0,1.0,26.015333333333334,2,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=5)
half,anchored,stefan,cci,ridge,10.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=10)
half,anchored,stefan,cci,ridge,10.0,0.25,22.466499999999996,2,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=10)
half,anchored,stefan,cci,ridge,10.0,0.5,22.538666666666668,2,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=10)
half,anchored,stefan,cci,ridge,10.0,0.75,23.915166666666664,2,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=10)
half,anchored,stefan,cci,ridge,10.0,1.0,26.386000000000003,2,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=10)
