site,lat,lon,region,block,nn_km,block_share
Bolvansky#433,68.289722,54.505833,Russia,13600109,0.1689685005668839,3
Marre Sale#435,69.7164,66.8125,Russia,13900133,0.0,5
Marre Sale#436,69.7152,66.8179,Russia,13900133,0.19682343758042806,5
Marre Sale#437,69.7141,66.8139,Russia,13900133,0.19682343758042806,5
Marre Sale#438,69.7093,66.8341,Russia,13900133,0.9058252410256294,5
Yakutsk#451,62.01359,129.65605,Russia,12400259,13.632710061676669,3
Ust-Kamchatsky#464,55.88783,160.53583,Russia,11100321,5.664495239606095,3
Ust-Kamchatsky#466,55.98716,160.50583,Russia,11100321,7.922999287755651,3
Ust-Kamchatsky#467,55.930983,160.58413,Russia,11100321,5.664495239606095,3
Ust-Kamchatsky#468,55.75064306,160.28964798,Russia,11100320,21.661286183536536,1
Barrow#519,71.28931,-156.76255,United States,14199686,4.21714644285224,2
Fairbanks#610,64.95061,-147.617694,United States,12899704,12.118245082735156,8
Fairbanks#615,64.875266,-147.846499,United States,12899704,0.1190791607008039,8
Fairbanks#616,64.874494,-147.848247,United States,12899704,0.1190791607008039,8
Fairbanks#618,64.867517,-147.858833,United States,12899704,0.07182339963232763,8
Fairbanks#619,64.8669,-147.858383,United States,12899704,0.07182339963232763,8
Fairbanks#620,64.866117,-147.856767,United States,12899704,0.11578062968935966,8
Fairbanks#621,64.85291,-147.85784,United States,12899704,1.4694259169346935,8
Fairbanks#624,64.86784,-147.78488,United States,12899704,3.0244780427434206,8
Fairbanks#630,64.706944,-148.291281,United States,12899703,0.905474165993076,2
Fairbanks#631,64.32354,-146.6883,United States,12799706,79.9941740820546,1
Chukotka#634,67.4847,171.9447,Russia,13400343,403.82092080775374,1
Chevak#746,61.53805,-165.60133,United States,12299668,883.5124441737329,1
Old Man#749,66.450214,-150.618819,United States,13199698,185.45280444533225,1
Circle#752,65.817,-144.067,United States,13099711,176.97857127941103,1
Eagle#754,64.778417,-141.180194,United States,12899717,176.97857127941103,1
Arctic Village#755,68.129,-145.534,United States,13599708,167.6392711499905,1
Galbraith Lake#830,68.477413,-149.502416,United States,13599700,17.166068179525396,2
Chandalar Shelf#831,68.069069,-149.580424,United States,13599700,45.51916622357856,2
Anderson#845,64.349,-149.198,United States,12799701,58.85748538539242,1
Schilthorn#864,46.558282,7.834426,Switzerland,9300015,0.0,8
Schilthorn#865,46.558281,7.834621,Switzerland,9300015,0.002653605606057731,8
Schilthorn#866,46.558282,7.834426,Switzerland,9300015,0.0,8
Murtèl-Corvatsch#870,46.428534,9.82202,Switzerland,9200019,0.004079552593188133,9
Murtèl-Corvatsch#871,46.42879,9.821836,Switzerland,9200019,0.00022992516922797234,9
Yakutsk#950,61.92777778,129.44444444,Russia,12300258,4.235280519811395,2
Yakutsk#951,61.72966,129.7578,Russia,12300259,27.493719663496726,1
Yakutsk#954,60.92777778,128.83333333,Russia,12100257,55.7211374646352,1
Nadym#1100,65.31583,72.869166,Russia,13000145,0.05926091300712976,19
Nadym#1101,65.3225,72.88166,Russia,13000145,0.8571334108078541,19
Nadym#1102,65.674762,72.8742,Russia,13100145,10.119541342911933,1
Nadym#1103,65.315472,72.859861,Russia,13000145,0.09244804064904577,19
Nadym#1104,65.2993,72.8834,Russia,13000145,0.09731942219154519,19
Nadym#1105,65.307861,72.849138,Russia,13000145,0.6882071135449509,19
Nadym#1106,65.298638,72.88477,Russia,13000145,0.09731942219154519,19
Fairbanks#1110,64.715,-148.2885,United States,12899703,0.905474165993076,2
Yakutsk#1111,62.25494,129.61749,Russia,12400259,0.32984326336612346,3
Yakutsk#1112,62.25228,129.62031,Russia,12400259,0.32984326336612346,3
Tiksi#1113,71.586731,128.777346,Russia,14300257,117.66932237433045,1
Yakutsk#1115,61.96371,129.41758,Russia,12300258,4.235280519811395,2
Chara#1116,56.76077,118.19162,Russia,11300236,0.11702916093374326,12
Chara#1117,56.90167,118.08193,Russia,11300236,7.124691621426018,12
Kitzsteinhorn#1119,47.18934268,12.68529504,Austria,9400025,0.006103742907371221,4
Kitzsteinhorn#1120,47.18974373,12.68530266,Austria,9400025,0.02410476931579385,4
Kytalyk#1141,70.830447,147.488341,Russia,14100294,388.06212752073975,1
Svalbard #1192,78.92086,11.83345,Svalbard,15700023,0.7021992419414509,2
Vorkuta#1614,65.9666977,56.9166985,Russia,13100113,165.36275283978807,1
Vorkuta#1645,67.1667023,64.1667023,Russia,13400128,29.782636450814827,2
Vorkuta#1701,67.0832977,59.3833008,Russia,13400118,130.3200200334978,1
Chukotka#1710,64.60325,177.39974,Russia,12900354,403.82092080775374,1
Eureka#1769,79.99638889,-85.9,Canada,15899828,479.6306692169528,1
Bolvansky#1827,67.57765,55.15685,Russia,13500110,0.49242590453206175,4
Bolvansky#1828,67.5772,55.1453,Russia,13500110,0.49242590453206175,4
Bolvansky#1830,67.576672,55.133054,Russia,13500110,0.43693480500999027,4
Bolvansky#1831,67.576391,55.122779,Russia,13500110,0.43693480500999027,4
Marre Sale#1833,69.7164,66.8125,Russia,13900133,0.0,5
Chara#1835,56.76078,118.1897,Russia,11300236,0.02770372846316466,12
Svalbard #1837,78.92194,11.86583,Svalbard,15700023,0.7021992419414509,2
Svalbard #1838,78.09504,14.24096,Svalbard,15600028,1.0042655381887524,2
