axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Alaska,F4k2,F4 MAAT 선형,2,a+b·MAAT,13606,20.94,17.532,14.226,-0.4513,-0.2047,14.69,6.250000000000002,1.53925118234862,10.426330714373957
LORO,Alaska,F5k0,F5 edaphic,0,pedotransfer raw,13606,40.955,33.251,32.191,-4.5516,-1.3562,14.69,26.265,13.128769824574173,42.391556699931904
LORO,Alaska,F5k1,F5 edaphic,1,c·edaphic,13606,20.358,16.248,-14.514,-0.3718,-0.1712,14.69,5.668000000000001,3.3607682590991765,7.065825836573929
LORO,Alaska,F5k2,F5 edaphic,2,a+c·edaphic,13606,20.712,16.607,-14.91,-0.4198,-0.1916,14.69,6.022,3.625453180509718,7.623682564470877
LORO,Alaska,F6k0,F6 Kudryavtsev,0,raw,11652,25.292,19.112,10.397,-1.3462,-0.5317,15.109,10.183000000000002,4.002574651098372,21.782429451296288
LORO,Alaska,F6k1,F6 Kudryavtsev,1,c·Ku,11652,20.896,16.805,-13.199,-0.6014,-0.2655,15.109,5.787000000000001,2.036759583362649,8.037065695427708
LORO,Alaska,F6k2,F6 Kudryavtsev,2,a+c·Ku,11652,17.827,13.552,-9.683,-0.1657,-0.0797,15.109,2.7180000000000017,1.304386665976578,3.6364405217001208
LORO,Alaska,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,13606,13.733,9.846,-1.789,0.3758,0.21,14.69,-0.956999999999999,-1.7321031859600289,-0.10561261488936068
LORO,Alaska,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,13606,15.029,11.327,-1.694,0.2524,0.1354,14.69,0.3390000000000004,-0.30296803688698004,1.2185625243578302
LORO,Alaska,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),13606,29.063,25.657,-25.1,-1.7956,-0.672,14.69,14.373,11.229513859932634,18.44054720268156
LORO,Alaska,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,13606,16.83,13.341,-1.732,0.0625,0.0318,14.69,2.139999999999999,0.8624868556243721,3.3465001480715
LORO,Alaska,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),13606,14.672,10.712,-4.559,0.2875,0.1559,14.69,-0.017999999999998906,-0.2287069785931116,0.19589812578074936
LORO,Lena,F1k1,F1 Stefan,1,E·√TDD,3037,21.697,15.584,5.477,-0.058,-0.0286,21.697,0.0,0.0,0.0
LORO,Lena,F1k2,F1 Stefan,2,a+E·√TDD,3037,22.106,16.305,6.884,-0.0983,-0.048,21.697,0.4090000000000025,-0.08384253211848756,0.8391003138828343
LORO,Lena,F2k2,F2 멱법칙,2,a·TDD^b,3037,22.185,16.441,7.136,-0.1061,-0.0517,21.697,0.48799999999999955,-0.0710431682581699,0.9632111993402047
LORO,Lena,F3k2,F3 TDD 선형,2,a+b·TDD,3037,21.716,15.599,5.49,-0.0599,-0.0295,21.697,0.019000000000001904,-0.09262602939044057,0.16620038003678306
