axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
LORO_gate,UNWEIGHTED_MEAN,direct_catboost,-1,,3.0,38.42433333333333,,,,,,0.17171111111111112,28.603000000000005,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,direct_mlp,-1,,3.0,34.23577777777778,,,,,,,,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,fixaug_catboost,-1,,3.0,21.27722222222222,,,,,,0.042211111111111116,2.5,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,physfeat_catboost,-1,,3.0,38.0,,,,,,0.1764888888888889,33.449666666666666,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,pool_catboost,-1,,3.0,21.201555555555554,,,,,,0.2878111111111111,15.273666666666665,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,pool_mlp,-1,,3.0,21.105777777777778,,,,,,,,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,sa_fusion,-1,,3.0,21.527666666666665,,,,,,0.23194444444444443,14.168888888888889,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,sa_z,-1,,3.0,21.844444444444445,,,,,,0.9957666666666668,473.0842222222222,,,,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,stefan_anchor,-1,,3.0,21.264333333333333,,,,,,,,,,,,,,,,,,
AK_fold,fold0,stefan_anchor,0,1.5734,4716.0,11.048,8.924,-5.929,-0.3898,9.372,-0.1789,,,,,,,,,,,,,
AK_fold,fold0,direct_catboost,0,1.5734,4716.0,15.354,12.863,11.934,-1.6842,9.372,-0.6384,0.2506,9.336,,,,,,,,,,,
AK_fold,fold0,direct_mlp,0,1.5734,4716.0,10.907,8.852,4.969,-0.3543,9.372,-0.1638,,,,,,,,,,,,,
AK_fold,fold0,physfeat_catboost,0,1.5734,4716.0,14.638,11.91,10.081,-1.4396,9.372,-0.5619,0.2684,9.835,,,,,,,,,,,
AK_fold,fold0,pool_catboost,0,1.5734,4716.0,15.06,12.635,-11.901,-1.5824,9.372,-0.607,0.2827,12.219,,,,,,,,,,,
AK_fold,fold0,pool_mlp,0,1.5734,4716.0,15.047,12.622,-11.901,-1.5778,9.372,-0.6055,,,,,,,,,,,,,
AK_fold,fold0,fixaug_catboost,0,1.5734,4716.0,11.05,8.924,-5.93,-0.3903,9.372,-0.1791,0.0182,0.406,,,,,,,,,,,
AK_fold,fold0,sa_z,0,1.5734,4716.0,11.199,9.044,-6.185,-0.4279,9.372,-0.1949,0.9998,135.693,,,,,,,,,,,
AK_fold,fold0,sa_fusion,0,1.5734,4716.0,11.215,9.055,-6.233,-0.4321,9.372,-0.1967,0.2265,6.056,,,,,,,,,,,
AK_fold,fold0,direct_catboost,1,1.5734,4716.0,15.919,13.37,12.662,-1.8852,9.372,-0.6986,0.2036,5.127,,,,,,,,,,,
AK_fold,fold0,direct_mlp,1,1.5734,4716.0,9.214,7.333,0.829,0.0333,9.372,0.0168,,,,,,,,,,,,,
AK_fold,fold0,physfeat_catboost,1,1.5734,4716.0,13.848,11.297,9.9,-1.1834,9.372,-0.4776,0.1824,4.439,,,,,,,,,,,
AK_fold,fold0,pool_catboost,1,1.5734,4716.0,15.062,12.64,-11.906,-1.5831,9.372,-0.6072,0.2805,12.257,,,,,,,,,,,
AK_fold,fold0,pool_mlp,1,1.5734,4716.0,14.819,12.396,-11.6,-1.5003,9.372,-0.5812,,,,,,,,,,,,,
AK_fold,fold0,fixaug_catboost,1,1.5734,4716.0,11.049,8.924,-5.928,-0.3899,9.372,-0.1789,0.0117,0.293,,,,,,,,,,,
AK_fold,fold0,sa_z,1,1.5734,4716.0,11.407,9.201,-6.555,-0.4815,9.372,-0.2172,1.0,144.981,,,,,,,,,,,
AK_fold,fold0,sa_fusion,1,1.5734,4716.0,11.146,9.0,-6.122,-0.4144,9.372,-0.1893,0.2392,6.439,,,,,,,,,,,
AK_fold,fold0,direct_catboost,2,1.5734,4716.0,14.936,12.284,10.909,-1.54,9.372,-0.5937,0.1363,2.966,,,,,,,,,,,
AK_fold,fold0,direct_mlp,2,1.5734,4716.0,11.727,9.566,7.712,-0.5658,9.372,-0.2513,,,,,,,,,,,,,
AK_fold,fold0,physfeat_catboost,2,1.5734,4716.0,15.146,12.499,11.427,-1.6119,9.372,-0.6161,0.2926,9.301,,,,,,,,,,,
AK_fold,fold0,pool_catboost,2,1.5734,4716.0,15.065,12.642,-11.905,-1.584,9.372,-0.6075,0.2837,12.265,,,,,,,,,,,
AK_fold,fold0,pool_mlp,2,1.5734,4716.0,14.783,12.359,-11.577,-1.488,9.372,-0.5774,,,,,,,,,,,,,
AK_fold,fold0,fixaug_catboost,2,1.5734,4716.0,11.051,8.925,-5.928,-0.3906,9.372,-0.1792,0.0163,0.396,,,,,,,,,,,
AK_fold,fold0,sa_z,2,1.5734,4716.0,10.883,8.804,-5.572,-0.3484,9.372,-0.1612,1.0,180.474,,,,,,,,,,,
AK_fold,fold0,sa_fusion,2,1.5734,4716.0,11.206,9.047,-6.21,-0.4298,9.372,-0.1957,0.226,6.034,,,,,,,,,,,
AK_fold,fold1,stefan_anchor,0,1.6249,1778.0,12.393,9.127,1.525,0.0376,12.633,0.019,,,,,,,,,,,,,
AK_fold,fold1,direct_catboost,0,1.6249,1778.0,12.581,9.395,-3.495,0.0082,12.633,0.0041,0.779,25.716,,,,,,,,,,,
AK_fold,fold1,direct_mlp,0,1.6249,1778.0,12.443,9.039,1.651,0.0298,12.633,0.015,,,,,,,,,,,,,
AK_fold,fold1,physfeat_catboost,0,1.6249,1778.0,12.683,9.469,-3.7,-0.008,12.633,-0.004,0.7643,25.521,,,,,,,,,,,
AK_fold,fold1,pool_catboost,0,1.6249,1778.0,12.418,9.04,-0.663,0.0336,12.633,0.017,0.2019,5.528,,,,,,,,,,,
AK_fold,fold1,pool_mlp,0,1.6249,1778.0,12.351,8.967,-0.833,0.0441,12.633,0.0223,,,,,,,,,,,,,
AK_fold,fold1,fixaug_catboost,0,1.6249,1778.0,12.387,9.121,1.517,0.0386,12.633,0.0195,0.0742,1.955,,,,,,,,,,,
AK_fold,fold1,sa_z,0,1.6249,1778.0,12.37,9.123,-1.197,0.0411,12.633,0.0208,0.9848,87.876,,,,,,,,,,,
AK_fold,fold1,sa_fusion,0,1.6249,1778.0,12.663,9.272,-2.088,-0.0048,12.633,-0.0024,0.1912,8.367,,,,,,,,,,,
AK_fold,fold1,direct_catboost,1,1.6249,1778.0,12.804,9.509,-4.481,-0.0273,12.633,-0.0136,0.7458,24.372,,,,,,,,,,,
AK_fold,fold1,direct_mlp,1,1.6249,1778.0,12.438,9.374,1.519,0.0305,12.633,0.0154,,,,,,,,,,,,,
AK_fold,fold1,physfeat_catboost,1,1.6249,1778.0,13.138,9.805,-4.404,-0.0817,12.633,-0.04,0.7784,25.398,,,,,,,,,,,
AK_fold,fold1,pool_catboost,1,1.6249,1778.0,12.414,9.039,-0.673,0.0344,12.633,0.0173,0.2019,5.406,,,,,,,,,,,
AK_fold,fold1,pool_mlp,1,1.6249,1778.0,12.347,9.021,-1.008,0.0447,12.633,0.0226,,,,,,,,,,,,,
AK_fold,fold1,fixaug_catboost,1,1.6249,1778.0,12.386,9.118,1.518,0.0387,12.633,0.0195,0.0686,1.776,,,,,,,,,,,
AK_fold,fold1,sa_z,1,1.6249,1778.0,12.865,9.482,-3.772,-0.0371,12.633,-0.0184,0.9904,144.746,,,,,,,,,,,
AK_fold,fold1,sa_fusion,1,1.6249,1778.0,12.553,9.249,-2.123,0.0126,12.633,0.0063,0.3228,9.559,,,,,,,,,,,
