axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
AK_fold,fold2,sa_diag,2,,,,,,,,,,,,,,stefan,-0.6195092797279358,3.2306652069091797,-1.0869526481185063,13.71965858542842,2.530465397213845,16.906783545315317,diagnostic
AK_fold,fold2,sa_diag,2,,,,,,,,,,,,,,cci,0.017580818384885788,8.623970985412598,-6.44595911400752,19.000680437101057,3.949546520576081,18.370769669237806,diagnostic
AK_fold,fold3,sa_diag,0,,,,,,,,,,,,,,direct,0.0,30.270708084106445,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold3,sa_diag,0,,,,,,,,,,,,,,stefan,0.049343291670084,16.10358428955078,-0.8610327954385715,14.394431389800864,6.793765985505832,11.464279747614146,diagnostic
AK_fold,fold3,sa_diag,0,,,,,,,,,,,,,,cci,-0.40475964546203613,11.641523361206055,-6.111469829466375,19.663215792259308,1.7243838335385904,14.409831681315213,diagnostic
AK_fold,fold3,sa_diag,1,,,,,,,,,,,,,,direct,0.0,30.446975708007812,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold3,sa_diag,1,,,,,,,,,,,,,,stefan,0.15454664826393127,13.62552261352539,-0.8610327954385715,14.394431389800864,6.793765985505832,11.464279747614146,diagnostic
AK_fold,fold3,sa_diag,1,,,,,,,,,,,,,,cci,-0.27923956513404846,12.94305419921875,-6.111469829466375,19.663215792259308,1.7243838335385904,14.409831681315213,diagnostic
AK_fold,fold3,sa_diag,2,,,,,,,,,,,,,,direct,0.0,40.97540283203125,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold3,sa_diag,2,,,,,,,,,,,,,,stefan,0.1774330735206604,14.88976001739502,-0.8610327954385715,14.394431389800864,6.793765985505832,11.464279747614146,diagnostic
AK_fold,fold3,sa_diag,2,,,,,,,,,,,,,,cci,-0.19925926625728607,11.72187614440918,-6.111469829466375,19.663215792259308,1.7243838335385904,14.409831681315213,diagnostic
AK_fold,fold4,sa_diag,0,,,,,,,,,,,,,,direct,0.0,289.90447998046875,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold4,sa_diag,0,,,,,,,,,,,,,,stefan,-0.506607174873352,9.17773723602295,-0.9582640390053744,14.522911322779043,-3.168557819671134,11.534392742431,diagnostic
AK_fold,fold4,sa_diag,0,,,,,,,,,,,,,,cci,0.16421931982040405,13.146007537841797,-5.843451568590033,19.746124800707264,-0.05858578943406418,14.498018378047213,diagnostic
AK_fold,fold4,sa_diag,1,,,,,,,,,,,,,,direct,0.0,289.2767639160156,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold4,sa_diag,1,,,,,,,,,,,,,,stefan,-0.5902539491653442,4.360546112060547,-0.9582640390053744,14.522911322779043,-3.168557819671134,11.534392742431,diagnostic
AK_fold,fold4,sa_diag,1,,,,,,,,,,,,,,cci,0.04303731024265289,14.00588607788086,-5.843451568590033,19.746124800707264,-0.05858578943406418,14.498018378047213,diagnostic
AK_fold,fold4,sa_diag,2,,,,,,,,,,,,,,direct,0.0,322.3136901855469,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold4,sa_diag,2,,,,,,,,,,,,,,stefan,-0.9661024808883667,5.869591236114502,-0.9582640390053744,14.522911322779043,-3.168557819671134,11.534392742431,diagnostic
AK_fold,fold4,sa_diag,2,,,,,,,,,,,,,,cci,0.010905965231359005,7.102743148803711,-5.843451568590033,19.746124800707264,-0.05858578943406418,14.498018378047213,diagnostic
AK_fold,fold5,sa_diag,0,,,,,,,,,,,,,,direct,0.0,93.46035766601562,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold5,sa_diag,0,,,,,,,,,,,,,,stefan,-0.20034581422805786,10.443328857421875,-0.9932117440603774,12.4790120849342,0.44393562050300933,22.558209054964557,diagnostic
AK_fold,fold5,sa_diag,0,,,,,,,,,,,,,,cci,-0.3463369607925415,28.780054092407227,-6.715020140477521,16.05077255770456,5.739453056620606,31.375728235667374,diagnostic
AK_fold,fold5,sa_diag,1,,,,,,,,,,,,,,direct,0.0,98.4446029663086,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold5,sa_diag,1,,,,,,,,,,,,,,stefan,-0.44266077876091003,4.663788795471191,-0.9932117440603774,12.4790120849342,0.44393562050300933,22.558209054964557,diagnostic
AK_fold,fold5,sa_diag,1,,,,,,,,,,,,,,cci,-0.22593529522418976,79.0066146850586,-6.715020140477521,16.05077255770456,5.739453056620606,31.375728235667374,diagnostic
AK_fold,fold5,sa_diag,2,,,,,,,,,,,,,,direct,0.0,96.97119140625,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold5,sa_diag,2,,,,,,,,,,,,,,stefan,-0.39362868666648865,4.1571455001831055,-0.9932117440603774,12.4790120849342,0.44393562050300933,22.558209054964557,diagnostic
AK_fold,fold5,sa_diag,2,,,,,,,,,,,,,,cci,-0.19963712990283966,76.6893081665039,-6.715020140477521,16.05077255770456,5.739453056620606,31.375728235667374,diagnostic
