axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Alps,F4k2,F4 MAAT 선형,2,a+b·MAAT,9,321.523,312.347,-312.347,-16.3858,-3.1696,332.325,-10.801999999999964,-15.3250082122766,-7.0174637865213185
LORO,Alps,F5k0,F5 edaphic,0,pedotransfer raw,9,262.946,251.594,-251.594,-10.6279,-2.41,332.325,-69.37899999999996,-77.92536443563569,-60.14398911774208
LORO,Alps,F5k1,F5 edaphic,1,c·edaphic,9,318.748,309.519,-309.519,-16.087,-3.1336,332.325,-13.576999999999998,-14.77340574731134,-11.478100673602473
LORO,Alps,F5k2,F5 edaphic,2,a+c·edaphic,9,324.167,315.048,-315.048,-16.6729,-3.2039,332.325,-8.158000000000015,-11.931505899866238,-5.656080449773981
LORO,Alps,F6k0,F6 Kudryavtsev,0,raw,0,,,,,,,,,
LORO,Alps,F6k1,F6 Kudryavtsev,1,c·Ku,0,,,,,,,,,
LORO,Alps,F6k2,F6 Kudryavtsev,2,a+c·Ku,0,,,,,,,,,
LORO,Alps,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,9,341.253,332.083,-332.083,-18.585,-3.4255,332.325,8.927999999999997,1.6014807885283617,15.205839462304198
LORO,Alps,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,9,342.527,333.256,-333.256,-18.7315,-3.442,332.325,10.201999999999998,1.9841679254918176,20.225528398504256
LORO,Alps,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),9,333.67,324.952,-324.952,-17.7242,-3.3271,332.325,1.3450000000000273,1.07436981584641,1.5792393188267821
LORO,Alps,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,9,332.971,324.232,-324.232,-17.6459,-3.3181,332.325,0.646000000000015,0.17709803134073354,1.0441015082841432
LORO,Alps,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),9,350.184,341.818,-341.818,-19.6235,-3.5413,332.325,17.859000000000037,14.543039942424741,20.72465014688967
LORO,Svalbard,F1k1,F1 Stefan,1,E·√TDD,7,213.655,165.022,-165.022,-1.3856,-0.5446,213.655,0.0,0.0,0.0
LORO,Svalbard,F1k2,F1 Stefan,2,a+E·√TDD,7,212.043,162.662,-162.662,-1.3498,-0.5329,213.655,-1.6119999999999948,-3.290330944903458,-0.9590822951249882
LORO,Svalbard,F2k2,F2 멱법칙,2,a·TDD^b,7,212.442,163.298,-163.298,-1.3586,-0.5358,213.655,-1.2129999999999939,-2.2088250083296446,-0.8631970270247677
LORO,Svalbard,F3k2,F3 TDD 선형,2,a+b·TDD,7,211.43,161.357,-161.357,-1.3362,-0.5285,213.655,-2.2249999999999943,-7.191814263495377,-0.46007065227763616
LORO,Svalbard,F4k2,F4 MAAT 선형,2,a+b·MAAT,7,199.381,144.65,-144.65,-1.0775,-0.4414,213.655,-14.274000000000001,-23.980671679632565,-11.433000888144022
LORO,Svalbard,F5k0,F5 edaphic,0,pedotransfer raw,7,182.264,132.519,-126.977,-0.7361,-0.3176,213.655,-31.39099999999999,-42.46000805903999,-20.908878918308492
LORO,Svalbard,F5k1,F5 edaphic,1,c·edaphic,7,209.098,160.679,-160.679,-1.285,-0.5116,213.655,-4.556999999999988,-6.835681351955401,-1.5700197849347817
LORO,Svalbard,F5k2,F5 edaphic,2,a+c·edaphic,7,206.131,155.452,-155.452,-1.2206,-0.4902,213.655,-7.524000000000001,-11.285324745665033,-6.016059375364153
LORO,Svalbard,F6k0,F6 Kudryavtsev,0,raw,5,214.994,165.791,-165.791,-1.0058,-0.4163,238.445,-23.450999999999993,-33.70609425332981,-15.650972957330604
LORO,Svalbard,F6k1,F6 Kudryavtsev,1,c·Ku,5,230.557,182.202,-182.202,-1.3067,-0.5188,238.445,-7.888000000000005,-12.225456154124426,-1.9658565668724322
LORO,Svalbard,F6k2,F6 Kudryavtsev,2,a+c·Ku,5,228.566,175.653,-175.653,-1.267,-0.5057,238.445,-9.87899999999999,-16.17063917676761,-8.043912931105353
LORO,Svalbard,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,7,215.269,168.047,-168.047,-1.4218,-0.5562,213.655,1.6140000000000043,-0.8032400154617712,8.40422144830401
LORO,Svalbard,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,7,217.816,171.716,-171.716,-1.4795,-0.5746,213.655,4.161000000000001,0.8115275672617486,15.560343530399974
LORO,Svalbard,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),7,213.588,164.871,-164.871,-1.3841,-0.5441,213.655,-0.06700000000000728,-0.4571752640866002,0.11184767659857316
LORO,Svalbard,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,7,213.568,164.851,-164.851,-1.3837,-0.5439,213.655,-0.08699999999998909,-0.4337884298798368,0.055981396180527554
LORO,Svalbard,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),7,217.052,169.114,-169.114,-1.4621,-0.5691,213.655,3.3969999999999914,2.5876978029743674,4.668805911774441
LORO_gate,UNWEIGHTED_MEAN,F1k1,F1 Stefan,1,E·√TDD,4,250.25324999999998,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F1k2,F1 Stefan,2,a+E·√TDD,4,249.9035,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F2k2,F2 멱법칙,2,a·TDD^b,4,250.07500000000002,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F3k2,F3 TDD 선형,2,a+b·TDD,4,249.44325000000003,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F4k2,F4 MAAT 선형,2,a+b·MAAT,4,241.5345,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k0,F5 edaphic,0,pedotransfer raw,4,194.81500000000003,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k1,F5 edaphic,1,c·edaphic,4,238.21324999999996,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k2,F5 edaphic,2,a+c·edaphic,4,241.49175,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k0,F6 Kudryavtsev,0,raw,4,195.45866666666666,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k1,F6 Kudryavtsev,1,c·Ku,4,216.684,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k2,F6 Kudryavtsev,2,a+c·Ku,4,220.91133333333335,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,4,251.26375000000002,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,4,252.30825,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),4,251.37975,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,4,250.52275,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),4,255.8405,,,,,,,,
