target,regime,anchor,n_labels,n_A,n_eval,n_blocks_eval,reps,rmse_mean,rmse_p10,rmse_p90,E_mean,E_alaska
Canada,main,stefan,0,376,374,19,1,29.604062845806254,29.604062845806254,29.604062845806254,1.6166886671406264,1.6166886671406264
Canada,main,stefan_soil,0,376,374,19,1,30.89513165450385,30.89513165450385,30.89513165450385,1.6166886671406264,1.6166886671406264
Canada,main,stefan_cci,0,376,374,19,1,28.84816292071602,28.84816292071602,28.84816292071602,1.6166886671406264,1.6166886671406264
Canada,main,stefan,3,376,374,19,30,37.54644315678977,29.16332091949339,47.75715637104487,1.2924888379294088,1.6166886671406264
Canada,main,stefan_soil,3,376,374,19,30,37.20439730010095,29.412645829914638,47.45022955551935,1.2924888379294088,1.6166886671406264
Canada,main,stefan_cci,3,376,374,19,30,29.982085911612792,28.841497687723542,31.89461518092895,1.2924888379294088,1.6166886671406264
Canada,main,stefan,5,376,374,19,30,35.968804094944296,29.9914259347353,42.25300706753875,1.3376143643233052,1.6166886671406264
Canada,main,stefan_soil,5,376,374,19,30,35.56200003239262,30.138830810933765,41.05009181168602,1.3376143643233052,1.6166886671406264
Canada,main,stefan_cci,5,376,374,19,30,29.580720954677695,28.84931832052631,30.55742627048397,1.3376143643233052,1.6166886671406264
Canada,main,stefan,10,376,374,19,30,35.58350011877351,29.63183667710736,40.60579967483085,1.3432448552785692,1.6166886671406264
Canada,main,stefan_soil,10,376,374,19,30,35.15225003286454,29.555475114277076,39.672541818973954,1.3432448552785692,1.6166886671406264
Canada,main,stefan_cci,10,376,374,19,30,29.452682812562134,28.857398657889803,30.20350188416942,1.3432448552785692,1.6166886671406264
Canada,main,stefan,20,376,374,19,30,35.71201639409069,31.766432269995473,39.36598763491739,1.329753447078307,1.6166886671406264
Canada,main,stefan_soil,20,376,374,19,30,35.279173257028724,31.68081664691108,38.567039125756374,1.329753447078307,1.6166886671406264
Canada,main,stefan_cci,20,376,374,19,30,29.411831480147956,28.89170615058989,29.9564256798303,1.329753447078307,1.6166886671406264
Canada,main,stefan,40,376,374,19,30,36.028297553943474,34.10181958684048,37.918409179106135,1.3094923020472182,1.6166886671406264
Canada,main,stefan_soil,40,376,374,19,30,35.5269449712275,33.8961339912518,37.0973942242533,1.3094923020472182,1.6166886671406264
Canada,main,stefan_cci,40,376,374,19,30,29.39605942578771,29.113074045247966,29.688808065651926,1.3094923020472182,1.6166886671406264
Russia_W,main,stefan,0,16,12,8,1,32.716644612315044,32.716644612315044,32.716644612315044,1.6166886671406264,1.6166886671406264
Russia_W,main,stefan_soil,0,16,12,8,1,34.54050605917396,34.54050605917396,34.54050605917396,1.6166886671406264,1.6166886671406264
Russia_W,main,stefan_cci,0,16,12,8,1,32.350356587981224,32.350356587981224,32.350356587981224,1.6166886671406264,1.6166886671406264
Russia_W,main,stefan,3,16,12,8,30,35.22901457569352,25.139300943659958,46.926020676891476,2.8583772512370618,1.6166886671406264
Russia_W,main,stefan_soil,3,16,12,8,30,35.23194393723368,25.288375440467767,47.74082361421506,2.8583772512370618,1.6166886671406264
Russia_W,main,stefan_cci,3,16,12,8,30,30.187201234425356,28.781818646625123,32.43675812481965,2.8583772512370618,1.6166886671406264
Russia_W,main,stefan,5,16,12,8,30,33.07204249985232,25.88801629274445,40.17512018784482,2.808397595295101,1.6166886671406264
Russia_W,main,stefan_soil,5,16,12,8,30,33.03744597615761,26.04447202848114,39.956959523090035,2.808397595295101,1.6166886671406264
Russia_W,main,stefan_cci,5,16,12,8,30,29.53096280317322,28.64603600329246,30.70339201068084,2.808397595295101,1.6166886671406264
Russia_W,main,stefan,10,16,12,8,30,32.28166105722554,29.102491998187265,35.22381780848785,2.8062373131380096,1.6166886671406264
Russia_W,main,stefan_soil,10,16,12,8,30,32.40938596228534,29.249855000878128,35.3597242430464,2.8062373131380096,1.6166886671406264
Russia_W,main,stefan_cci,10,16,12,8,30,29.223039581206525,28.756823906054866,29.661314670390798,2.8062373131380096,1.6166886671406264
Russia_C,main,stefan,0,4,3,3,1,74.49670367324408,74.49670367324408,74.49670367324408,1.6166886671406264,1.6166886671406264
Russia_C,main,stefan_soil,0,4,3,3,1,77.56298093370998,77.56298093370998,77.56298093370998,1.6166886671406264,1.6166886671406264
Russia_C,main,stefan_cci,0,4,3,3,1,70.32327092036059,70.32327092036059,70.32327092036059,1.6166886671406264,1.6166886671406264
Russia_C,main,stefan,3,4,3,3,30,71.13656287863623,65.10277251867046,83.49283491168866,1.7636160096106608,1.6166886671406264
Russia_C,main,stefan_soil,3,4,3,3,30,68.98825148927043,64.01794555268212,81.24298728863572,1.7636160096106608,1.6166886671406264
Russia_C,main,stefan_cci,3,4,3,3,30,68.45200301792939,65.2188451039119,74.91490140064784,1.7636160096106608,1.6166886671406264
Russia_E,main,stefan,0,15,12,9,1,16.825746227899874,16.825746227899874,16.825746227899874,1.6166886671406264,1.6166886671406264
Russia_E,main,stefan_soil,0,15,12,9,1,17.578164001487966,17.578164001487966,17.578164001487966,1.6166886671406264,1.6166886671406264
Russia_E,main,stefan_cci,0,15,12,9,1,19.44045357324496,19.44045357324496,19.44045357324496,1.6166886671406264,1.6166886671406264
Russia_E,main,stefan,3,15,12,9,30,24.22354023822805,15.919347162579523,35.36147130339682,2.1709381331624256,1.6166886671406264
Russia_E,main,stefan_soil,3,15,12,9,30,25.55867386178759,16.5434791727868,39.69277635233413,2.1709381331624256,1.6166886671406264
Russia_E,main,stefan_cci,3,15,12,9,30,18.457737639904092,16.731204422355926,21.023393092927105,2.1709381331624256,1.6166886671406264
Russia_E,main,stefan,5,15,12,9,30,20.768222870315434,16.23294745192213,27.27969921357422,2.102311083231879,1.6166886671406264
Russia_E,main,stefan_soil,5,15,12,9,30,21.76842694746347,16.87288914637349,29.622190336055027,2.102311083231879,1.6166886671406264
Russia_E,main,stefan_cci,5,15,12,9,30,17.67417288683368,16.64993808514775,20.42796517505441,2.102311083231879,1.6166886671406264
