lat,lon,alt_cm,alt_sd,alt_min,alt_max,n_obs,year_min,year_max,n_years,site,name,country,macro,region,qc,qc_flag,borehole_id,censor_flag,dem_elev,dem_slope,dem_aspect_sin,dem_aspect_cos,dem_tpi,dem_rough,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe,e5_fallback_deg,cci_alt,cci_valid,sg_clay_5_15,sg_sand_5_15,sg_silt_5_15,sg_bdod_5_15,sg_cfvo_5_15,sg_phh2o_5_15,sg_soc_0_5,sg_soc_5_15,sg_soc_15_30,block,loc_id,source_id,fidelity_level,spatial_support_m,sigma_prior_cm,right_censored,insar_alt,insar_alt_std,insar_sub,insar_dist,insar_n,polsar_alt,polsar_std,polsar_valid,insar_miss
50.4386,100.1522,457.85714285714283,23.603873774083297,435.0,490.0,7,2002,2009,7,M11 A,Hatgal house falt terrace,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1667.142333984375,0.6509284377098083,0.9565689563751221,-0.29150623083114624,0.2412109375,2.824920654296875,-2.7658207416534424,1475.7245178222656,2459.48486328125,38.4151599999566,13.93243408203125,-20.758468627929688,0.26927947998046875,0.00850591342896223,0.0,165.6,1,26.7,42.2,31.2,1.19,16.9,7.3,78.0,44.9,27.1,10000200,17472,F4_direct,4,100.0,23.603873774083297,0,,,,,,,,0.0,1
50.6264,100.1658,356.25,54.98105734402228,300.0,430.0,4,1999,2002,4,M5,Ardag Mountain,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1867.6739501953125,4.7624287605285645,0.2748506963253021,-0.9614869356155396,2.1851806640625,49.8254280090332,-2.8959758281707764,1373.2466735839844,2403.114715576172,37.05734304539364,12.837066650390625,-20.539718627929688,3.79022216796875,0.010723564773797989,0.0,70.8,1,25.8,46.0,28.3,1.18,17.7,7.0,83.0,46.9,26.4,10100200,17473,F4_direct,4,100.0,40.0,0,,,,,,,,0.0,1
50.6564,100.1625,297.5,20.676073128135332,270.0,325.0,6,1999,2008,6,M5 B,Ardag watershed 2,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,2057.733642578125,9.244397163391113,0.8737429976463318,-0.4863879382610321,20.6544189453125,28.8603458404541,-4.159996032714844,1260.9054870605469,2752.4891357421875,35.509231011957255,12.25860595703125,-21.719741821289062,3.6482670307159424,0.04081140458583832,0.0,54.8,1,26.8,47.9,25.4,1.16,19.2,6.4,105.5,50.6,25.8,10100200,17474,F4_direct,4,100.0,20.676073128135332,0,,,,,,,,0.0,1
50.6592,100.1633,380.0,46.9041575982343,310.0,410.0,4,1999,2008,4,M5 A,Ardag watershed,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,2066.442138671875,2.8604235649108887,0.8415133357048035,-0.5402364134788513,19.150390625,22.212276458740234,-4.159996032714844,1260.9054870605469,2752.4891357421875,35.509231011957255,12.25860595703125,-21.719741821289062,3.6482670307159424,0.04081140458583832,0.0,54.8,1,26.8,47.9,25.4,1.16,19.2,6.4,105.5,50.6,25.8,10100200,17475,F4_direct,4,100.0,40.0,0,,,,,,,,0.0,1
50.6767,100.1664,332.0,125.12993247021274,185.0,480.0,5,2006,2008,3,M5 C,Ardag watershed 3,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,2094.7900390625,5.5892720222473145,-0.26163914799690247,-0.9651657938957214,13.72802734375,29.99214744567871,-4.159996032714844,1260.9054870605469,2752.4891357421875,35.509231011957255,12.25860595703125,-21.719741821289062,3.6482670307159424,0.04081140458583832,0.0,46.8,1,25.0,48.7,26.4,1.17,17.9,6.4,105.9,49.6,25.4,10100200,17476,F4_direct,4,100.0,40.0,0,,,,,,,,0.0,1
50.9333,121.3333,104.25,7.499999999999998,96.0,112.0,4,1991,1994,4,CN1,"""Yutulihe; Northeast China """,China,QTP_China,CALM_QTP_China,,,,0,847.2553100585938,3.665912628173828,0.9929723143577576,-0.11834671348333359,-3.4896240234375,16.46044921875,-1.6624616384506226,2064.023193359375,2638.759735107422,45.431522023363634,18.58184814453125,-23.122726440429688,1.4825235605239868,0.007046249229460955,0.0,121.4,1,18.4,43.1,38.4,1.1,18.7,5.9,127.4,55.3,24.9,10100242,17477,F4_direct,4,100.0,7.499999999999998,0,,,,,,,,0.0,1
50.9703,100.7272,186.2,3.6331804249169872,182.0,192.0,5,2003,2009,5,M12 A,Borsog Flood plain,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1649.6319580078125,2.462578058242798,-0.24838890135288239,0.9686604142189026,-15.769287109375,19.927579879760742,-3.4053611755371094,1233.3983154296875,2448.6529693603516,35.11977100480138,11.44049072265625,-21.024093627929688,2.032193422317505,0.0079518286511302,0.0,114.0,1,26.0,47.1,26.9,1.18,18.5,6.8,102.7,55.2,33.2,10100201,17478,F4_direct,4,100.0,3.6331804249169872,0,,,,,,,,0.0,1
50.9744,100.7286,255.83333333333334,26.347042844817835,220.0,295.0,6,2004,2009,6,M12 B,Borsog W slope,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1656.2857666015625,3.8688268661499023,0.4559327960014343,0.8900142312049866,-3.90478515625,12.812543869018555,-3.4053611755371094,1233.3983154296875,2448.6529693603516,35.11977100480138,11.44049072265625,-21.024093627929688,2.032193422317505,0.0079518286511302,0.0,114.0,1,26.0,47.1,26.9,1.18,18.5,6.8,102.7,55.2,33.2,10100201,17479,F4_direct,4,100.0,26.347042844817835,0,,,,,,,,0.0,1
51.02,100.7583,137.71428571428572,4.151878519188058,133.0,145.0,7,2003,2009,7,M12,Dalbay,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1663.0517578125,0.6442370414733887,-0.9979262351989746,0.06436765938997269,-5.197998046875,10.228570938110352,-3.83697247505188,1253.4927673339844,2626.7752838134766,35.40469979160937,11.97930908203125,-21.383804321289062,0.7020060420036316,0.01703125797212124,0.0,141.2,1,26.1,48.9,25.0,1.17,19.7,6.4,125.3,59.5,39.6,10200201,17480,F4_direct,4,100.0,4.151878519188058,0,,,,,,,,0.0,1
51.0311,100.7225,137.75,7.365459931328117,130.0,145.0,4,2003,2009,4,M12 H,Dalbay gully,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1665.395263671875,3.54669451713562,-0.8987539410591125,-0.43845340609550476,-19.315673828125,19.61090087890625,-3.4053611755371094,1233.3983154296875,2448.6529693603516,35.11977100480138,11.44049072265625,-21.024093627929688,2.032193422317505,0.0079518286511302,0.0,90.8,1,25.9,45.6,28.6,1.17,17.0,6.5,116.5,57.8,29.5,10200201,17481,F4_direct,4,100.0,7.365459931328117,0,,,,,,,,0.0,1
