target,model,phys,r,seed,rmse_cm,mae_cm,bias_cm,skill,delta_rmse_vs_base
Canada,ftt,placebo,2.0,2,42.432,30.937,-25.947,-0.27173146289091354,
Canada,ftt,placebo,5.0,0,42.406,30.873,-26.052,-0.2709388262455783,
Canada,ftt,placebo,5.0,1,42.038,30.589,-25.648,-0.25991901178576127,
Canada,ftt,placebo,5.0,2,42.411,30.88,-26.148,-0.27108487045114793,
Canada,ftt,placebo,10.0,0,42.366,30.839,-26.055,-0.26973071790394765,
Canada,ftt,placebo,10.0,1,42.004,30.528,-25.716,-0.25888177609137997,
Canada,ftt,placebo,10.0,2,42.233,30.72,-25.901,-0.2657578215114065,
Canada,ftt,stefan,0.25,SUMMARY,32.733666666666664,,,,2.426333333333332
Canada,ftt,stefan,0.5,SUMMARY,32.70033333333333,,,,2.4596666666666636
Canada,ftt,stefan,1.0,SUMMARY,32.329,,,,2.830999999999996
Canada,ftt,stefan,2.0,SUMMARY,32.38399999999999,,,,2.7760000000000034
Canada,ftt,stefan,5.0,SUMMARY,32.089666666666666,,,,3.0703333333333305
Canada,ftt,stefan,10.0,SUMMARY,31.844333333333335,,,,3.3156666666666617
Canada,ftt,kudryavtsev,0.25,SUMMARY,64.24333333333333,,,,-29.08333333333333
Canada,ftt,kudryavtsev,0.5,SUMMARY,64.629,,,,-29.46900000000001
Canada,ftt,kudryavtsev,1.0,SUMMARY,65.153,,,,-29.99300000000001
Canada,ftt,kudryavtsev,2.0,SUMMARY,63.151999999999994,,,,-27.991999999999997
Canada,ftt,kudryavtsev,5.0,SUMMARY,62.57633333333333,,,,-27.416333333333334
Canada,ftt,kudryavtsev,10.0,SUMMARY,63.27,,,,-28.110000000000007
Canada,ftt,placebo,0.25,SUMMARY,41.56033333333334,,,,-6.400333333333343
Canada,ftt,placebo,0.5,SUMMARY,41.881,,,,-6.721000000000004
Canada,ftt,placebo,1.0,SUMMARY,42.473333333333336,,,,-7.31333333333334
Canada,ftt,placebo,2.0,SUMMARY,42.440666666666665,,,,-7.280666666666669
Canada,ftt,placebo,5.0,SUMMARY,42.285,,,,-7.125
Canada,ftt,placebo,10.0,SUMMARY,42.201,,,,-7.041000000000004
