cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,1.0,15.857,7.322,12.559,-0.2186,10.0,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,14.4,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.25,16.088,7.442,12.97,-0.2545,14.4,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.5,16.127,7.619,12.998,-0.2605,14.4,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.75,16.23,7.796,13.093,-0.2767,14.4,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,1.0,16.396,7.974,13.248,-0.303,14.4,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,2.3,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.25,15.593,6.307,12.375,-0.1785,2.3,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.5,15.29,5.349,11.932,-0.133,2.3,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.75,15.216,4.392,11.665,-0.1222,2.3,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,1.0,15.376,3.434,11.593,-0.1459,2.3,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,3.2,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.25,15.683,5.991,12.28,-0.1921,3.2,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.5,15.656,4.718,11.943,-0.188,3.2,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.75,16.034,3.445,11.991,-0.2461,3.2,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,1.0,16.79,2.172,12.425,-0.3664,3.2,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,2.6,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.25,15.555,5.936,12.195,-0.1727,2.6,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.5,15.27,4.608,11.629,-0.1301,2.6,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,0.75,15.274,3.28,11.326,-0.1307,2.6,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,tabm,0,1496,11,13606,13606,1.0,15.568,1.952,11.336,-0.1746,2.6,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,1.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.25,17.832,10.576,15.141,-0.5411,1.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.5,20.226,13.888,17.719,-0.9828,1.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.75,23.088,17.199,20.578,-1.5836,1.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,1.0,26.265,20.511,23.567,-2.3435,1.5,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,1.4,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.25,16.845,8.893,13.967,-0.3752,1.4,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.5,18.095,10.522,15.3,-0.5869,1.4,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.75,19.766,12.151,16.831,-0.8936,1.4,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,1.0,21.762,13.78,18.524,-1.2953,1.4,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,1.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.25,15.235,5.581,11.843,-0.1249,1.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.5,15.256,3.897,11.203,-0.1281,1.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,0.75,16.174,2.213,11.31,-0.2679,1.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,cfm,0,1496,11,13606,13606,1.0,17.851,0.53,12.216,-0.5445,1.7,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,2.4,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.25,16.623,8.069,13.642,-0.3392,2.4,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.5,17.371,8.874,14.463,-0.4625,2.4,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.75,18.329,9.679,15.372,-0.6284,2.4,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,1.0,19.467,10.484,16.336,-0.8368,2.4,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,2.3,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.25,18.569,11.258,15.972,-0.6712,2.3,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.5,21.814,15.253,19.411,-1.3064,2.3,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.75,25.55,19.247,23.1,-2.1641,2.3,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,1.0,29.592,23.242,26.942,-3.2443,2.3,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,2.3,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.25,15.203,3.803,11.542,-0.1202,2.3,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.5,15.419,0.343,10.976,-0.1522,2.3,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,0.75,16.718,-3.118,11.606,-0.3546,2.3,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ddpm,0,1496,11,13606,13606,1.0,18.878,-6.578,13.355,-0.7273,2.3,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,9.6,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.25,16.482,8.234,13.459,-0.3166,9.6,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.5,17.343,9.204,14.178,-0.4578,9.6,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.75,18.63,10.174,15.041,-0.6821,9.6,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,1.0,20.261,11.145,16.016,-0.9896,9.6,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,9.7,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.25,17.734,10.115,14.823,-0.5243,9.7,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.5,20.233,12.965,17.063,-0.9842,9.7,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.75,23.331,15.815,19.563,-1.6384,9.7,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,1.0,26.822,18.666,22.261,-2.4868,9.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,9.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.25,16.703,8.556,13.811,-0.3522,9.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.5,17.782,9.847,14.914,-0.5326,9.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,0.75,19.27,11.139,16.188,-0.7998,9.7,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,nflow,0,1496,11,13606,13606,1.0,21.08,12.431,17.573,-1.1538,9.7,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.0,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.25,21.525,2.82,14.828,-0.0536,0.0,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.5,22.042,-0.036,14.661,-0.1048,0.0,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.75,23.132,-2.892,15.046,-0.2168,0.0,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,1.0,24.72,-5.749,15.951,-0.3896,0.0,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.0,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.25,21.525,2.82,14.828,-0.0536,0.0,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.5,22.042,-0.036,14.661,-0.1048,0.0,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.75,23.132,-2.892,15.046,-0.2168,0.0,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,1.0,24.72,-5.749,15.951,-0.3896,0.0,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.0,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.25,21.525,2.82,14.828,-0.0536,0.0,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.5,22.042,-0.036,14.661,-0.1048,0.0,
