scheme,seed,fold,model,n_test,E_train,nnd_median_km,rmse_cm,mae_cm,bias_cm,r2
site_0.05,2,0,stefan,3044,1.591,3.365,11.611,9.245,-5.436,0.1853
site_0.05,2,0,ridge,3044,1.591,3.365,10.249,8.077,-2.887,0.3653
site_0.05,2,0,catboost_lo,3044,1.591,3.365,12.06,9.57,-6.367,0.1211
site_0.05,2,0,stefan_ridge_l075,3044,1.591,3.365,10.494,8.313,-3.56,0.3345
site_0.05,2,1,stefan,1972,1.6215,12.025,13.399,9.943,-0.009,0.3304
site_0.05,2,1,ridge,1972,1.6215,12.025,13.449,9.974,1.955,0.3254
site_0.05,2,1,catboost_lo,1972,1.6215,12.025,12.87,9.23,-0.16,0.3822
site_0.05,2,1,stefan_ridge_l075,1972,1.6215,12.025,13.266,9.814,1.497,0.3436
site_0.05,2,2,stefan,2023,1.6361,0.788,14.936,12.136,3.575,-0.0612
site_0.05,2,2,ridge,2023,1.6361,0.788,13.682,10.786,1.6,0.1096
site_0.05,2,2,catboost_lo,2023,1.6361,0.788,14.202,10.486,-1.262,0.0405
site_0.05,2,2,stefan_ridge_l075,2023,1.6361,0.788,13.595,10.902,2.113,0.1208
site_0.05,2,3,stefan,2379,1.6198,0.777,15.283,11.44,-0.444,0.0689
site_0.05,2,3,ridge,2379,1.6198,0.777,13.22,9.767,0.596,0.3034
site_0.05,2,3,catboost_lo,2379,1.6198,0.777,12.885,9.346,0.482,0.3382
site_0.05,2,3,stefan_ridge_l075,2379,1.6198,0.777,13.488,10.003,0.375,0.2748
site_0.05,2,4,stefan,2177,1.5962,2.956,18.988,12.849,-4.112,0.2365
site_0.05,2,4,ridge,2177,1.5962,2.956,18.035,11.734,-4.778,0.3112
site_0.05,2,4,catboost_lo,2177,1.5962,2.956,18.521,12.362,-4.143,0.2736
site_0.05,2,4,stefan_ridge_l075,2177,1.5962,2.956,18.009,11.733,-4.638,0.3132
site_0.05,2,5,stefan,2011,1.6366,0.921,11.151,8.407,3.254,0.5704
site_0.05,2,5,ridge,2011,1.6366,0.921,10.926,8.291,1.337,0.5875
site_0.05,2,5,catboost_lo,2011,1.6366,0.921,10.242,7.545,-0.438,0.6375
site_0.05,2,5,stefan_ridge_l075,2011,1.6366,0.921,10.488,7.877,1.807,0.6199
block_0.5,0,0,stefan,4716,1.5734,72.128,11.048,8.924,-5.929,-0.3898
block_0.5,0,0,ridge,4716,1.5734,72.128,10.384,8.348,4.504,-0.2278
block_0.5,0,0,catboost_lo,4716,1.5734,72.128,17.742,15.203,14.767,-2.5841
block_0.5,0,0,stefan_ridge_l075,4716,1.5734,72.128,9.41,7.735,1.187,-0.0083
block_0.5,0,1,stefan,1753,1.6412,19.541,13.9,10.116,4.728,0.013
block_0.5,0,1,ridge,1753,1.6412,19.541,13.818,9.057,-3.507,0.0246
block_0.5,0,1,catboost_lo,1753,1.6412,19.541,13.446,8.983,-1.656,0.0764
block_0.5,0,1,stefan_ridge_l075,1753,1.6412,19.541,13.236,8.721,-1.422,0.105
block_0.5,0,2,stefan,1758,1.6167,6.981,12.788,9.311,-0.55,-0.0404
block_0.5,0,2,ridge,1758,1.6167,6.981,12.108,9.397,1.218,0.0674
block_0.5,0,2,catboost_lo,1758,1.6167,6.981,12.097,8.988,-0.014,0.0691
block_0.5,0,2,stefan_ridge_l075,1758,1.6167,6.981,11.968,9.185,0.743,0.0888
block_0.5,0,3,stefan,1774,1.6264,19.624,22.012,16.057,1.25,0.0152
block_0.5,0,3,ridge,1774,1.6264,19.624,19.939,13.743,-0.324,0.192
block_0.5,0,3,catboost_lo,1774,1.6264,19.624,20.327,13.71,-1.551,0.1602
block_0.5,0,3,stefan_ridge_l075,1774,1.6264,19.624,20.17,13.93,0.031,0.1731
block_0.5,0,4,stefan,1819,1.6222,25.453,11.613,8.819,1.064,0.1471
block_0.5,0,4,ridge,1819,1.6222,25.453,11.78,9.183,1.334,0.1224
block_0.5,0,4,catboost_lo,1819,1.6222,25.453,11.803,8.888,-3.31,0.1189
block_0.5,0,4,stefan_ridge_l075,1819,1.6222,25.453,11.595,8.997,1.311,0.1498
block_0.5,0,5,stefan,1786,1.6225,10.087,17.034,13.804,1.44,0.0131
block_0.5,0,5,ridge,1786,1.6225,10.087,17.058,14.397,5.95,0.0103
block_0.5,0,5,catboost_lo,1786,1.6225,10.087,16.873,13.578,2.701,0.0316
block_0.5,0,5,stefan_ridge_l075,1786,1.6225,10.087,16.95,14.21,5.008,0.0228
block_0.5,1,0,stefan,4716,1.5734,72.128,11.048,8.924,-5.929,-0.3898
block_0.5,1,0,ridge,4716,1.5734,72.128,10.384,8.348,4.504,-0.2278
block_0.5,1,0,catboost_lo,4716,1.5734,72.128,15.567,12.542,11.512,-1.7591
block_0.5,1,0,stefan_ridge_l075,4716,1.5734,72.128,9.41,7.735,1.187,-0.0083
block_0.5,1,1,stefan,2373,1.6524,14.639,18.097,14.982,6.278,-0.1903
block_0.5,1,1,ridge,2373,1.6524,14.639,16.701,13.773,5.612,-0.0137
block_0.5,1,1,catboost_lo,2373,1.6524,14.639,16.646,13.486,4.366,-0.0071
block_0.5,1,1,stefan_ridge_l075,2373,1.6524,14.639,16.797,13.931,5.943,-0.0254
block_0.5,1,2,stefan,1869,1.6307,19.378,15.009,9.96,1.643,-0.2821
