table,region,subset,n,n_eval,n_blocks,frac,alt_mean,alt_sd,sqrt_tdd_mean,mid_year_mean,year_gap_mean,n_years_median,frac_multi_year,train_set,method,n_seed,primary,rmse,rmse_seed_sd,rmse_ens,bias,mae,r2,n_folds,rmse_fold_sd,n_a,n_b,nboot,d_rmse,d_rmse_lo,d_rmse_hi,d_bias,d_bias_lo,d_bias_hi,rmse_a,rmse_b,d_bias_expected_lit,year_gap_a,year_gap_b,n_train_a,n_train_b,slope_cm_yr,slope_se_ols,slope_lo,slope_hi,lit_trend_cm_yr,mid_year_sd,year_min,year_max,resid_mean,n_blocks_with_year_var
delta_subset,Alaska,overlap-before,13487,,74.0,,,,,,,,,all,stefan,,,,,,,,,,,4689.0,8798.0,400.0,5.264561882776192,1.5716529488972677,9.436017558233603,3.289500594910813,-4.201700098598551,8.144530844098451,17.621261247632358,12.356699364856166,-2.1947240767170615,0.8913414374066965,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-before,12917,,74.0,,,,,,,,,all,stefan,,,,,,,,,,,4119.0,8798.0,400.0,4.086101525477467,0.6432039669077756,8.518595990412019,3.5487322437942828,-3.973008020453199,8.138756197605924,16.442800890333633,12.356699364856166,-2.332123519431931,0.71959213401311,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,after-before,8917,,74.0,,,,,,,,,all,stefan,,,,,,,,,,,119.0,8798.0,400.0,6.934633949794424,2.312382379711897,20.700024460641835,8.328503300117333,0.5527296730848191,34.47538318034493,19.29133331465059,12.356699364856166,-6.507797226642419,-4.5,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-overlap,8808,,74.0,,,,,,,,,all,stefan,,,,,,,,,,,4119.0,4689.0,400.0,-1.1784603572987251,-3.1003924543227313,-0.02116322605849795,0.2592316488834696,-0.7663199421652123,1.7994221322708437,16.442800890333633,17.621261247632358,-0.13739944271486923,0.71959213401311,0.8913414374066965,,,,,,,,,,,,
delta_subset,Alaska,overlap-before,13487,,74.0,,,,,,,,,all,stefan_ridge,,,,,,,,,,,4689.0,8798.0,400.0,5.738121183912089,0.6078476139137361,10.578436046519434,-0.10416386547415024,-4.58375346090449,2.6960525746522053,16.745250061233076,11.007128877320987,-2.1947240767170615,0.8913414374066965,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-before,12917,,74.0,,,,,,,,,all,stefan_ridge,,,,,,,,,,,4119.0,8798.0,400.0,4.158907004828688,-0.3259074246205272,8.422301199705103,0.7209373518527236,-2.9890697945471665,2.8958795235002444,15.166035882149675,11.007128877320987,-2.332123519431931,0.71959213401311,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,after-before,8917,,74.0,,,,,,,,,all,stefan_ridge,,,,,,,,,,,119.0,8798.0,400.0,6.58405274246293,1.5976464593925037,13.672071101953751,3.5208644739712014,0.674119763021305,16.168374341755865,17.591181619783917,11.007128877320987,-6.507797226642419,-4.5,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-overlap,8808,,74.0,,,,,,,,,all,stefan_ridge,,,,,,,,,,,4119.0,4689.0,400.0,-1.579214179083401,-4.140311881110797,-0.05102162542179777,0.8251012173268738,-0.3467320447461032,3.130729650047379,15.166035882149675,16.745250061233076,-0.13739944271486923,0.71959213401311,0.8913414374066965,,,,,,,,,,,,
delta_subset,Alaska,overlap-before,13487,,74.0,,,,,,,,,all,catboost_lo,,,,,,,,,,,4689.0,8798.0,400.0,4.533392520188796,1.0938687806542429,9.735569619327046,-6.18201223946383,-9.909618637350839,1.2943907683213567,18.806656347604918,14.273263827416121,-2.1947240767170615,0.8913414374066965,3.6347465333030233,,,,,,,,,,,,
delta_subset,Alaska,inside-before,12917,,74.0,,,,,,,,,all,catboost_lo,,,,,,,,,,,4119.0,8798.0,400.0,3.1682767190037335,-0.23112969997785662,7.983072604941541,-5.748226915304943,-9.766161516521159,1.6959156761230176,17.441540546419855,14.273263827416121,-2.332123519431931,0.71959213401311,3.6347465333030233,,,,,,,,,,,,
