table,region,version,ref,n,n_blocks,d_median,d_q25,d_q75,d_mean,d_sd,rel_median,rel_q25,rel_q75,corr_tdd,sqrt_ratio_mean,tdd_ref_mean,tdd_ref_sd,interannual_sd_mean,frac_pre2010,frac_partial,n_years_matched_median,year_min_median,year_max_median,single_year_frac,E,E_med,st_a,st_E,tdd_a,tdd_b,cci_a,cci_b,ymean,n_train_real,sqrt_tdd_mean_alaska,method,rmse,bias,mae,r2,alt_mean,sqrt_tdd_mean,label,d_rmse,d_rmse_lo,d_rmse_hi,d_bias,d_bias_lo,d_bias_hi,ci_flag,rmse_a,rmse_b,sig,split,pseudo,seed,n_train,rmse_split_sd,n_split,n_seed,ctrl,n_splits,d_split_mean,d_split_sd,cond
tdd_diff,Russia_W,matched,clim,31.0,21.0,-29.00997220552881,-53.43853105817516,15.574825580303468,-8.597951956545382,93.52935801289465,-2.306823864234839,-6.52234798857253,1.2117765778027358,0.9612645305373951,0.9911123756010114,1188.7508200368572,221.22584322884143,198.9039397294321,0.03225806451612903,0.4838709677419355,13.0,2009.0,2023.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_W,full,clim,31.0,21.0,-44.7877115885417,-73.00042317708335,20.023632812499955,-29.677319073420676,45.84086494741199,-3.215858801590068,-7.134814970951471,1.4542061251158833,0.9906700493378765,0.9839640949552637,1188.7508200368572,221.22584322884143,198.9039397294321,0.03225806451612903,0.4838709677419355,13.0,2009.0,2023.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_W,matched,clim_yr,31.0,21.0,-52.34801228841138,-69.75239868164056,-4.35251290457586,-29.64247857968678,82.71961167573491,-4.650577060350891,-7.286787537247635,-0.40521094812880537,0.9657456613349805,0.9832400508919679,1209.7953466599988,236.07797588718086,198.9039397294321,0.03225806451612903,0.4838709677419355,13.0,2009.0,2023.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_W,full,clim_yr,31.0,21.0,-63.00768534342444,-73.00118103027353,-24.432521565755223,-50.72184569656207,32.855186163388105,-4.822401169513989,-7.134827911695503,-1.7897043008084348,0.9935786340522629,0.9761939634556026,1209.7953466599988,236.07797588718086,198.9039397294321,0.03225806451612903,0.4838709677419355,13.0,2009.0,2023.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_C,clim_re,clim,7.0,6.0,0.0001773834228515625,0.0001349449158851712,0.00045311450958251953,0.0001864092690928893,0.0006003709647417211,1.8586646758196215e-05,7.768903373721574e-06,5.454942762183127e-05,0.9999999999994916,1.0000001173157782,1414.8910653250557,560.4099730368594,119.18466770143594,0.42857142857142855,0.2857142857142857,6.0,2008.0,2018.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_C,clim_yr,clim,7.0,6.0,0.00015767415368372895,0.00013732910167618684,0.000762939453125,1.111876714797258,2.7231818294904904,1.6521463789034094e-05,7.93743327853252e-06,5.4218629200418074e-05,0.999992276210164,1.0009183718719654,1414.8910653250557,560.4099730368594,119.18466770143594,0.42857142857142855,0.2857142857142857,6.0,2008.0,2018.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_C,matched,clim,7.0,6.0,-24.10569458007808,-53.560409545898324,14.48607381184911,-18.839426385788606,45.85487682407304,-1.8827622759350677,-5.226841622533233,0.5785650606801693,0.9990044155197851,0.9842376742801594,1414.8910653250557,560.4099730368594,119.18466770143594,0.42857142857142855,0.2857142857142857,6.0,2008.0,2018.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_C,full,clim,7.0,6.0,5.9831054687499545,-9.581572469075411,29.458482869466252,10.21323474702386,25.38297829738111,0.373354522813827,-1.0617047679736453,1.9316824792805676,0.9995824421951418,1.0007505431986377,1414.8910653250557,560.4099730368594,119.18466770143594,0.42857142857142855,0.2857142857142857,6.0,2008.0,2018.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_C,matched,clim_yr,7.0,6.0,-24.106137084960892,-53.56056213378912,14.486562093099224,-19.951303100585864,47.30453008859447,-1.882770066551513,-5.226875053690383,0.5785880361199554,0.9989853750394633,0.9833847594579369,1416.002942039853,558.8043071792551,119.18466770143594,0.42857142857142855,0.2857142857142857,6.0,2008.0,2018.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Russia_C,full,clim_yr,7.0,6.0,5.9829783121745095,-9.849953206380292,29.458813476562682,9.101358032226601,26.82566028259915,0.37334655843359943,-1.061716820664553,1.9316823569238415,0.9995646924695248,0.9998535363834247,1416.002942039853,558.8043071792551,119.18466770143594,0.42857142857142855,0.2857142857142857,6.0,2008.0,2018.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
