method,feature,group,fold,delta_rmse_cm,rmse_base_fold,n_eval
catboost_lo,e5_maat,기후,5,0.05618751456905535,22.621791324781906,1778
catboost_lo,e5_tdd,기후,0,0.0,17.148123648013875,4716
catboost_lo,e5_tdd,기후,1,0.02430251866486195,12.155033897263898,1778
catboost_lo,e5_tdd,기후,2,-0.0035640476911538597,16.333018652917843,1778
catboost_lo,e5_tdd,기후,3,0.019894115377717014,10.89644511662368,1778
catboost_lo,e5_tdd,기후,4,0.010658125190468049,11.978706140685421,1778
catboost_lo,e5_tdd,기후,5,-0.04663125477742262,22.621791324781906,1778
catboost_lo,e5_fdd,기후,0,0.0,17.148123648013875,4716
catboost_lo,e5_fdd,기후,1,0.17580034826107074,12.155033897263898,1778
catboost_lo,e5_fdd,기후,2,-0.030561198954823253,16.333018652917843,1778
catboost_lo,e5_fdd,기후,3,0.6929601446027709,10.89644511662368,1778
catboost_lo,e5_fdd,기후,4,-0.00365860476074662,11.978706140685421,1778
catboost_lo,e5_fdd,기후,5,0.049620331924571916,22.621791324781906,1778
catboost_lo,e5_sqrt_tdd,기후,0,0.0,17.148123648013875,4716
catboost_lo,e5_sqrt_tdd,기후,1,0.03651918726802687,12.155033897263898,1778
catboost_lo,e5_sqrt_tdd,기후,2,-0.007295396327315374,16.333018652917843,1778
catboost_lo,e5_sqrt_tdd,기후,3,0.021961684270085335,10.89644511662368,1778
catboost_lo,e5_sqrt_tdd,기후,4,0.012214411134426052,11.978706140685421,1778
catboost_lo,e5_sqrt_tdd,기후,5,-0.04584954550117892,22.621791324781906,1778
catboost_lo,e5_twarm,기후,0,0.0,17.148123648013875,4716
catboost_lo,e5_twarm,기후,1,-0.001675098993147195,12.155033897263898,1778
catboost_lo,e5_twarm,기후,2,-0.0028443305745497584,16.333018652917843,1778
catboost_lo,e5_twarm,기후,3,-0.014449529707559883,10.89644511662368,1778
catboost_lo,e5_twarm,기후,4,0.01397858029945116,11.978706140685421,1778
catboost_lo,e5_twarm,기후,5,-0.009844250241832598,22.621791324781906,1778
catboost_lo,e5_tcold,기후,0,0.0,17.148123648013875,4716
catboost_lo,e5_tcold,기후,1,0.11142142710975325,12.155033897263898,1778
catboost_lo,e5_tcold,기후,2,-0.011682287838539552,16.333018652917843,1778
catboost_lo,e5_tcold,기후,3,0.16821611045492676,10.89644511662368,1778
catboost_lo,e5_tcold,기후,4,-0.0004846960007991896,11.978706140685421,1778
catboost_lo,e5_tcold,기후,5,-0.009793898974672999,22.621791324781906,1778
catboost_lo,e5_stl1,기후,0,0.0036348121274002664,17.148123648013875,4716
catboost_lo,e5_stl1,기후,1,0.024876120202967124,12.155033897263898,1778
catboost_lo,e5_stl1,기후,2,-0.019746871395692624,16.333018652917843,1778
catboost_lo,e5_stl1,기후,3,0.166883760226135,10.89644511662368,1778
catboost_lo,e5_stl1,기후,4,-0.0005180278794869153,11.978706140685421,1778
catboost_lo,e5_stl1,기후,5,0.08213980440573358,22.621791324781906,1778
catboost_lo,e5_swe,기후,0,0.0,17.148123648013875,4716
catboost_lo,e5_swe,기후,1,0.24068216555185556,12.155033897263898,1778
catboost_lo,e5_swe,기후,2,0.02417843828788868,16.333018652917843,1778
catboost_lo,e5_swe,기후,3,0.9543583021122686,10.89644511662368,1778
catboost_lo,e5_swe,기후,4,0.02948923936187775,11.978706140685421,1778
catboost_lo,e5_swe,기후,5,-0.13362137533572954,22.621791324781906,1778
catboost_lo,sg_clay_5_15,토양,0,-0.005025371247710808,17.148123648013875,4716
catboost_lo,sg_clay_5_15,토양,1,0.011962605097786395,12.155033897263898,1778
catboost_lo,sg_clay_5_15,토양,2,-0.07716002192077695,16.333018652917843,1778
catboost_lo,sg_clay_5_15,토양,3,0.10773517261408454,10.89644511662368,1778
catboost_lo,sg_clay_5_15,토양,4,-0.008596790139578658,11.978706140685421,1778
catboost_lo,sg_clay_5_15,토양,5,0.006655206583888074,22.621791324781906,1778
catboost_lo,sg_sand_5_15,토양,0,0.01696196001282786,17.148123648013875,4716
catboost_lo,sg_sand_5_15,토양,1,-0.030927540916519013,12.155033897263898,1778
catboost_lo,sg_sand_5_15,토양,2,0.06281703545048281,16.333018652917843,1778
catboost_lo,sg_sand_5_15,토양,3,0.00637945102493358,10.89644511662368,1778
catboost_lo,sg_sand_5_15,토양,4,0.007228823603353263,11.978706140685421,1778
catboost_lo,sg_sand_5_15,토양,5,0.04693595517202844,22.621791324781906,1778
catboost_lo,sg_silt_5_15,토양,0,-0.0011611969416811974,17.148123648013875,4716
catboost_lo,sg_silt_5_15,토양,1,0.023720687627119652,12.155033897263898,1778
catboost_lo,sg_silt_5_15,토양,2,0.02550371177487811,16.333018652917843,1778
catboost_lo,sg_silt_5_15,토양,3,-0.14112231474124853,10.89644511662368,1778
catboost_lo,sg_silt_5_15,토양,4,0.026827131322897914,11.978706140685421,1778
catboost_lo,sg_silt_5_15,토양,5,0.0966644496501143,22.621791324781906,1778
catboost_lo,sg_bdod_5_15,토양,0,0.014658003505370942,17.148123648013875,4716
catboost_lo,sg_bdod_5_15,토양,1,0.05926134603371178,12.155033897263898,1778
catboost_lo,sg_bdod_5_15,토양,2,-0.0021700993243900513,16.333018652917843,1778
catboost_lo,sg_bdod_5_15,토양,3,0.043176257247401394,10.89644511662368,1778
catboost_lo,sg_bdod_5_15,토양,4,-0.03266222061661086,11.978706140685421,1778
catboost_lo,sg_bdod_5_15,토양,5,0.04275602850743745,22.621791324781906,1778
catboost_lo,sg_cfvo_5_15,토양,0,0.019512367563449474,17.148123648013875,4716
catboost_lo,sg_cfvo_5_15,토양,1,-0.009090775770479809,12.155033897263898,1778
catboost_lo,sg_cfvo_5_15,토양,2,-0.04778796277293864,16.333018652917843,1778
catboost_lo,sg_cfvo_5_15,토양,3,0.00625488098797522,10.89644511662368,1778
catboost_lo,sg_cfvo_5_15,토양,4,0.012332158114143432,11.978706140685421,1778
catboost_lo,sg_cfvo_5_15,토양,5,-0.15632826560120847,22.621791324781906,1778
catboost_lo,sg_phh2o_5_15,토양,0,0.009430087147385535,17.148123648013875,4716
catboost_lo,sg_phh2o_5_15,토양,1,-0.010618934769802735,12.155033897263898,1778
catboost_lo,sg_phh2o_5_15,토양,2,0.04412313004032349,16.333018652917843,1778
catboost_lo,sg_phh2o_5_15,토양,3,0.16915401898894392,10.89644511662368,1778
catboost_lo,sg_phh2o_5_15,토양,4,-0.24612788498729737,11.978706140685421,1778
catboost_lo,sg_phh2o_5_15,토양,5,0.008032627231268564,22.621791324781906,1778
catboost_lo,sg_soc_0_5,토양,0,0.0,17.148123648013875,4716
catboost_lo,sg_soc_0_5,토양,1,0.21272406045878914,12.155033897263898,1778
catboost_lo,sg_soc_0_5,토양,2,0.3719537706688339,16.333018652917843,1778
catboost_lo,sg_soc_0_5,토양,3,0.24934231715888194,10.89644511662368,1778
catboost_lo,sg_soc_0_5,토양,4,-0.026912412008475783,11.978706140685421,1778
catboost_lo,sg_soc_0_5,토양,5,0.13656868348696277,22.621791324781906,1778
catboost_lo,sg_soc_5_15,토양,0,0.0016681983779626818,17.148123648013875,4716
catboost_lo,sg_soc_5_15,토양,1,-0.0013338159234793424,12.155033897263898,1778
catboost_lo,sg_soc_5_15,토양,2,-0.002643287216147172,16.333018652917843,1778
catboost_lo,sg_soc_5_15,토양,3,0.016872479696155906,10.89644511662368,1778
catboost_lo,sg_soc_5_15,토양,4,-0.0035512891306918705,11.978706140685421,1778
catboost_lo,sg_soc_5_15,토양,5,0.026653226432053857,22.621791324781906,1778
catboost_lo,sg_soc_15_30,토양,0,-0.0010810771090870475,17.148123648013875,4716
catboost_lo,sg_soc_15_30,토양,1,-0.0024798702480403278,12.155033897263898,1778
catboost_lo,sg_soc_15_30,토양,2,0.0451326288108973,16.333018652917843,1778
catboost_lo,sg_soc_15_30,토양,3,0.00504860469177526,10.89644511662368,1778
catboost_lo,sg_soc_15_30,토양,4,-0.008436911592924012,11.978706140685421,1778
catboost_lo,sg_soc_15_30,토양,5,-0.08286117459518501,22.621791324781906,1778
catboost_lo,cci_alt,CCI,0,-0.021226361858629517,17.148123648013875,4716
catboost_lo,cci_alt,CCI,1,0.007992025791631363,12.155033897263898,1778
catboost_lo,cci_alt,CCI,2,0.08600620343485162,16.333018652917843,1778
catboost_lo,cci_alt,CCI,3,0.010760254087044886,10.89644511662368,1778
catboost_lo,cci_alt,CCI,4,0.09552383275404086,11.978706140685421,1778
catboost_lo,cci_alt,CCI,5,0.008395418328768755,22.621791324781906,1778
catboost_lo,cci_valid,CCI,0,0.0,17.148123648013875,4716
catboost_lo,cci_valid,CCI,1,0.0,12.155033897263898,1778
catboost_lo,cci_valid,CCI,2,0.0,16.333018652917843,1778
catboost_lo,cci_valid,CCI,3,0.0,10.89644511662368,1778
catboost_lo,cci_valid,CCI,4,0.0,11.978706140685421,1778
catboost_lo,cci_valid,CCI,5,0.0,22.621791324781906,1778
stefan_cb1,dem_elev,지형,0,0.0,11.28989012632896,4716
stefan_cb1,dem_elev,지형,1,-0.006092572172623356,12.551555248439486,1778
stefan_cb1,dem_elev,지형,2,-0.011118321865291847,16.92621445250584,1778
stefan_cb1,dem_elev,지형,3,-0.018631645171914003,11.237342541635392,1778
stefan_cb1,dem_elev,지형,4,-0.015057851664174393,12.46598920580537,1778
stefan_cb1,dem_elev,지형,5,-0.03270705409200332,22.352233556706423,1778
