cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,family_tag,n_cells,n_seed,range_viol,mono_viol,mono_viol_obs,n_pairs,E_iqr_pred,E_iqr_obs,E_iqr_ratio,E_med_pred,E_med_obs
labels,Canada,alaska,x25,stefan,none,0.0,realmlp,0,0.75,residual,374,1,0.0,0.5416666666666666,0.522671568627451,1632,0.2182295929348117,0.9419817575258502,0.23167072099994776,1.573555313599682,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,realmlp,0,1.0,residual,374,1,0.0,0.5520833333333334,0.522671568627451,1632,0.2909727905797488,0.9419817575258502,0.30889429466659685,1.5629555490842864,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.0,analytic,374,3,0.0,0.0,0.522671568627451,1632,2.3163488904742735e-08,0.9419817575258502,2.4590167187082785e-08,1.605354630309358,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.25,residual,374,3,0.0,0.34803921568627444,0.522671568627451,1632,0.03942192065560701,0.9419817575258502,0.041849983124036434,1.546637164189856,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.5,residual,374,3,0.0,0.4669117647058824,0.522671568627451,1632,0.0788438178175388,0.9419817575258502,0.08369994130738263,1.4879197212338429,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.75,residual,374,3,0.0,0.47732843137254904,0.522671568627451,1632,0.1182657149794708,0.9419817575258502,0.12554989949072906,1.4292022782778293,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,ridge,0,1.0,residual,374,3,0.0,0.48223039215686275,0.522671568627451,1632,0.1576876121414026,0.9419817575258502,0.16739985767407525,1.3704848353218158,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,tabm,0,0.0,analytic,374,3,0.0,0.0,0.522671568627451,1632,2.3163488904742735e-08,0.9419817575258502,2.4590167187082785e-08,1.605354630309358,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,tabm,0,0.25,residual,374,3,0.0,0.46548202614379086,0.522671568627451,1632,0.07945703929487213,0.9419817575258502,0.08435093212799467,1.584863279455221,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,tabm,0,0.5,residual,374,3,0.0,0.5367647058823529,0.522671568627451,1632,0.1589140562507184,0.9419817575258502,0.16870184054106527,1.5643719286010842,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,tabm,0,0.75,residual,374,3,0.0,0.5725081699346406,0.522671568627451,1632,0.23837107320656456,0.9419817575258502,0.25305274895413576,1.5438805777469475,1.6417616325197302
labels,Canada,alaska,x25,stefan,none,0.0,tabm,0,1.0,residual,374,3,0.0,0.5843545751633987,0.522671568627451,1632,0.31782809016241065,0.9419817575258502,0.3374036573672062,1.5233892268928102,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost,0,0.0,analytic,374,3,0.0,0.31924019607843135,0.522671568627451,1632,0.4061983475693065,0.9419817575258502,0.4312167877180567,1.7403409199068445,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost,0,0.25,residual,374,3,0.0,0.27124183006535946,0.522671568627451,1632,0.3999481941915266,0.9419817575258502,0.4245816768702669,1.793595406652979,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost,0,0.5,residual,374,3,0.0,0.30330882352941174,0.522671568627451,1632,0.380855292135826,0.9419817575258502,0.40431281082996384,1.841210976474815,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost,0,0.75,residual,374,3,0.0,0.39910130718954245,0.522671568627451,1632,0.39963226277043873,0.9419817575258502,0.42424628670101594,1.8318116906513617,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost,0,1.0,residual,374,3,0.0,0.5206290849673203,0.522671568627451,1632,0.4254373306572013,0.9419817575258502,0.4516407321672854,1.7917586722404693,1.6417616325197302
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,0.0,analytic,1152,3,0.0,0.28298887122416533,0.5283518812930578,1887,0.4062680620709689,1.0042392136289189,0.4045530751611248,1.7402712247468155,1.565576651943089
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,0.25,residual,1152,3,0.0,0.2835188129305776,0.5283518812930578,1887,0.3267040736926636,1.0042392136289189,0.32532495172348996,1.7236628688535702,1.565576651943089
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,0.5,residual,1152,3,0.0,0.3216746157922628,0.5283518812930578,1887,0.2627732853946974,1.0042392136289189,0.26166403564857804,1.7351255455578285,1.565576651943089
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,0.75,residual,1152,3,0.0,0.4156509450627098,0.5283518812930578,1887,0.2981077239782386,1.0042392136289189,0.2968493163107986,1.6751479178289304,1.565576651943089
labels,Canada,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,1.0,residual,1152,3,0.0,0.45486663133721955,0.5283518812930578,1887,0.33897242690106805,1.0042392136289189,0.3375415163048227,1.6113020983479769,1.565576651943089
