scope,region,method,feature,group,delta_rmse_cm,delta_rmse_sd,rmse_base,n_eval,n_blocks,n_rep,rank
noinfo,Russia_W,catboost_lo,sg_sand_5_15,토양,0.0,0.0,46.27760418104666,28,18,10,12
noinfo,Russia_W,catboost_lo,sg_silt_5_15,토양,-0.005107265613889212,0.009611962433165784,46.27760418104666,28,18,10,16
noinfo,Russia_W,catboost_lo,sg_bdod_5_15,토양,0.002434928290384164,0.0029517231023017446,46.27760418104666,28,18,10,11
noinfo,Russia_W,catboost_lo,sg_cfvo_5_15,토양,0.006846295373827615,0.004847526258108395,46.27760418104666,28,18,10,10
noinfo,Russia_W,catboost_lo,sg_phh2o_5_15,토양,0.08132118029154398,0.09979982138314025,46.27760418104666,28,18,10,4
noinfo,Russia_W,catboost_lo,sg_soc_0_5,토양,0.00841384637028426,0.009451431969581908,46.27760418104666,28,18,10,9
noinfo,Russia_W,catboost_lo,sg_soc_5_15,토양,0.023828010779401866,0.01299558831849995,46.27760418104666,28,18,10,7
noinfo,Russia_W,catboost_lo,sg_soc_15_30,토양,-0.014809718784270131,0.048444175854925046,46.27760418104666,28,18,10,20
noinfo,Russia_W,catboost_lo,cci_alt,CCI,-0.03198808343824666,0.09116189059356003,46.27760418104666,28,18,10,21
noinfo,Russia_W,catboost_lo,cci_valid,CCI,0.0,0.0,46.27760418104666,28,18,10,12
noinfo,Russia_E,catboost_lo,dem_elev,지형,0.1719324433460237,0.19787311084362064,30.55493490740804,27,19,10,4
noinfo,Russia_E,catboost_lo,dem_slope,지형,-0.17797282823397326,0.13834753396158844,30.55493490740804,27,19,10,24
noinfo,Russia_E,catboost_lo,dem_aspect_sin,지형,0.013716245418720519,0.03926249413047552,30.55493490740804,27,19,10,9
noinfo,Russia_E,catboost_lo,dem_aspect_cos,지형,-0.010690378082398765,0.032161439105142194,30.55493490740804,27,19,10,16
noinfo,Russia_E,catboost_lo,dem_tpi,지형,-0.0037616819001787148,0.3953199901635229,30.55493490740804,27,19,10,14
noinfo,Russia_E,catboost_lo,dem_rough,지형,-0.2983707918681347,0.5404349741693638,30.55493490740804,27,19,10,25
noinfo,Russia_E,catboost_lo,e5_maat,기후,0.01311335156135982,0.01896629860191468,30.55493490740804,27,19,10,10
noinfo,Russia_E,catboost_lo,e5_tdd,기후,0.04160886618103774,0.01715766965576026,30.55493490740804,27,19,10,6
noinfo,Russia_E,catboost_lo,e5_fdd,기후,-0.06695563565380383,0.05477124756393624,30.55493490740804,27,19,10,20
noinfo,Russia_E,catboost_lo,e5_sqrt_tdd,기후,-0.0013157820812622844,0.011827658460910684,30.55493490740804,27,19,10,13
noinfo,Russia_E,catboost_lo,e5_twarm,기후,0.021485491990162586,0.014211264603724265,30.55493490740804,27,19,10,7
noinfo,Russia_E,catboost_lo,e5_tcold,기후,-0.06403066471453726,0.06591638409063467,30.55493490740804,27,19,10,19
noinfo,Russia_E,catboost_lo,e5_stl1,기후,0.06343273749019644,0.03206668968053302,30.55493490740804,27,19,10,5
noinfo,Russia_E,catboost_lo,e5_swe,기후,0.34440238800500184,0.24495411826460686,30.55493490740804,27,19,10,2
noinfo,Russia_E,catboost_lo,sg_clay_5_15,토양,-0.02205993443638299,0.028420074869274555,30.55493490740804,27,19,10,17
noinfo,Russia_E,catboost_lo,sg_sand_5_15,토양,-0.13412351907925527,0.06182408960895088,30.55493490740804,27,19,10,22
noinfo,Russia_E,catboost_lo,sg_silt_5_15,토양,0.6226820332626837,0.2954045134800403,30.55493490740804,27,19,10,1
noinfo,Russia_E,catboost_lo,sg_bdod_5_15,토양,-0.0005036671644035095,0.0015414956533125823,30.55493490740804,27,19,10,12
noinfo,Russia_E,catboost_lo,sg_cfvo_5_15,토양,0.01966408474934731,0.019380351199583493,30.55493490740804,27,19,10,8
noinfo,Russia_E,catboost_lo,sg_phh2o_5_15,토양,-0.07137640518495232,0.10381109383392756,30.55493490740804,27,19,10,21
noinfo,Russia_E,catboost_lo,sg_soc_0_5,토양,-0.025919596574602723,0.015175622400472915,30.55493490740804,27,19,10,18
noinfo,Russia_E,catboost_lo,sg_soc_5_15,토양,-0.008180202166895256,0.04084339460262276,30.55493490740804,27,19,10,15
noinfo,Russia_E,catboost_lo,sg_soc_15_30,토양,0.19312417070833413,0.17911558086265378,30.55493490740804,27,19,10,3
noinfo,Russia_E,catboost_lo,cci_alt,CCI,-0.14464765407709096,0.07310622801502388,30.55493490740804,27,19,10,23
noinfo,Russia_E,catboost_lo,cci_valid,CCI,0.0,0.0,30.55493490740804,27,19,10,11
