target,model,mode,stratum,n,n_blocks,frac,rmse_model,rmse_stefan,delta_rmse,ci_lo,ci_hi,bias_model,bias_stefan,flag
Russia_E,catboost_lo,direct,swe_in_range,25,17,0.926,31.753,29.52,2.233,1.402,3.943,-9.731,-9.614,
Russia_E,catboost_lo,direct,swe_out_of_range,2,2,0.074,0.423,5.424,-5.001,,,-0.162,-5.194,참고(n<10)
Russia_E,catboost_lo,direct,x25_all_in_range,3,3,0.111,6.137,6.528,-0.392,-2.36,3.511,-1.042,4.535,참고(n<10)
Russia_E,catboost_lo,direct,x25_any_out_of_range,24,17,0.889,32.336,30.081,2.254,1.397,3.764,-10.02,-11.015,
Russia_E,catboost_lo,stefan+lam0.25,all,27,19,1.0,28.82,28.444,0.376,0.04,1.131,-8.461,-9.287,
Russia_E,catboost_lo,stefan+lam0.25,complete,27,19,1.0,28.82,28.444,0.376,0.04,1.131,-8.461,-9.287,
Russia_E,catboost_lo,stefan+lam0.25,aoa_in,19,13,0.704,33.65,33.379,0.271,-0.367,0.748,-12.719,-13.348,
Russia_E,catboost_lo,stefan+lam0.25,aoa_out,8,7,0.296,10.682,9.195,1.487,0.324,2.148,1.654,0.359,참고(n<10)
Russia_E,catboost_lo,stefan+lam0.25,swe_in_range,25,17,0.926,29.923,29.52,0.403,0.096,0.925,-8.778,-9.614,
Russia_E,catboost_lo,stefan+lam0.25,swe_out_of_range,2,2,0.074,4.578,5.424,-0.846,,,-4.499,-5.194,참고(n<10)
Russia_E,catboost_lo,stefan+lam0.25,x25_all_in_range,3,3,0.111,7.072,6.528,0.544,-0.365,1.265,4.909,4.535,참고(n<10)
Russia_E,catboost_lo,stefan+lam0.25,x25_any_out_of_range,24,17,0.889,30.466,30.081,0.385,0.034,0.893,-10.132,-11.015,
Russia_E,mlp,direct,all,27,19,1.0,30.366,28.444,1.921,1.043,5.38,-7.045,-9.287,
Russia_E,mlp,direct,complete,27,19,1.0,30.366,28.444,1.921,1.043,5.38,-7.045,-9.287,
Russia_E,mlp,direct,aoa_in,19,13,0.704,34.468,33.379,1.089,0.195,2.611,-12.194,-13.348,
Russia_E,mlp,direct,aoa_out,8,7,0.296,17.042,9.195,7.846,4.368,10.756,5.186,0.359,참고(n<10)
Russia_E,mlp,direct,swe_in_range,25,17,0.926,31.49,29.52,1.97,1.179,4.903,-7.266,-9.614,
Russia_E,mlp,direct,swe_out_of_range,2,2,0.074,7.272,5.424,1.848,,,-4.28,-5.194,참고(n<10)
Russia_E,mlp,direct,x25_all_in_range,3,3,0.111,8.341,6.528,1.812,-2.814,5.315,1.034,4.535,참고(n<10)
Russia_E,mlp,direct,x25_any_out_of_range,24,17,0.889,32.072,30.081,1.991,1.202,5.064,-8.055,-11.015,
Russia_E,mlp,stefan+lam0.25,all,27,19,1.0,28.834,28.444,0.39,0.125,0.757,-9.187,-9.287,
Russia_E,mlp,stefan+lam0.25,complete,27,19,1.0,28.834,28.444,0.39,0.125,0.757,-9.187,-9.287,
Russia_E,mlp,stefan+lam0.25,aoa_in,19,13,0.704,33.677,33.379,0.299,-0.165,0.519,-13.476,-13.348,
Russia_E,mlp,stefan+lam0.25,aoa_out,8,7,0.296,10.597,9.195,1.402,0.7,1.988,1.0,0.359,참고(n<10)
Russia_E,mlp,stefan+lam0.25,swe_in_range,25,17,0.926,29.918,29.52,0.398,0.138,0.636,-9.448,-9.614,
Russia_E,mlp,stefan+lam0.25,swe_out_of_range,2,2,0.074,5.926,5.424,0.503,,,-5.923,-5.194,참고(n<10)
Russia_E,mlp,stefan+lam0.25,x25_all_in_range,3,3,0.111,5.98,6.528,-0.549,-2.877,1.992,2.765,4.535,참고(n<10)
Russia_E,mlp,stefan+lam0.25,x25_any_out_of_range,24,17,0.889,30.51,30.081,0.429,0.203,0.782,-10.681,-11.015,
Svalbard,ridge,direct,all,3,3,1.0,287.352,117.716,169.636,-30.991,334.728,-205.349,-110.815,참고(n<10)
Svalbard,ridge,direct,complete,3,3,1.0,287.352,117.716,169.636,-30.991,334.728,-205.349,-110.815,참고(n<10)
Svalbard,ridge,direct,aoa_in,1,1,0.333,37.597,57.729,-20.133,,,-37.597,-57.729,참고(n<10)
Svalbard,ridge,direct,aoa_out,2,2,0.667,350.928,138.273,212.655,,,-289.226,-137.357,참고(n<10)
Svalbard,ridge,direct,swe_in_range,1,1,0.333,37.597,57.729,-20.133,,,-37.597,-57.729,참고(n<10)
Svalbard,ridge,direct,swe_out_of_range,2,2,0.667,350.928,138.273,212.655,,,-289.226,-137.357,참고(n<10)
Svalbard,ridge,direct,x25_any_out_of_range,3,3,1.0,287.352,117.716,169.636,-30.991,334.728,-205.349,-110.815,참고(n<10)
Svalbard,ridge,stefan+lam0.25,all,3,3,1.0,156.229,117.716,38.513,-7.206,86.268,-135.567,-110.815,참고(n<10)
Svalbard,ridge,stefan+lam0.25,complete,3,3,1.0,156.229,117.716,38.513,-7.206,86.268,-135.567,-110.815,참고(n<10)
Svalbard,ridge,stefan+lam0.25,aoa_in,1,1,0.333,52.924,57.729,-4.805,,,-52.924,-57.729,참고(n<10)
Svalbard,ridge,stefan+lam0.25,aoa_out,2,2,0.667,187.645,138.273,49.373,,,-176.888,-137.357,참고(n<10)
Svalbard,ridge,stefan+lam0.25,swe_in_range,1,1,0.333,52.924,57.729,-4.805,,,-52.924,-57.729,참고(n<10)
Svalbard,ridge,stefan+lam0.25,swe_out_of_range,2,2,0.667,187.645,138.273,49.373,,,-176.888,-137.357,참고(n<10)
Svalbard,ridge,stefan+lam0.25,x25_any_out_of_range,3,3,1.0,156.229,117.716,38.513,-7.206,86.268,-135.567,-110.815,참고(n<10)
Svalbard,catboost_lo,direct,all,3,3,1.0,102.135,117.716,-15.581,-17.554,-12.862,-94.912,-110.815,참고(n<10)
Svalbard,catboost_lo,direct,complete,3,3,1.0,102.135,117.716,-15.581,-17.554,-12.862,-94.912,-110.815,참고(n<10)
Svalbard,catboost_lo,direct,aoa_in,1,1,0.333,44.867,57.729,-12.862,,,-44.867,-57.729,참고(n<10)
Svalbard,catboost_lo,direct,aoa_out,2,2,0.667,121.0,138.273,-17.273,,,-119.935,-137.357,참고(n<10)
Svalbard,catboost_lo,direct,swe_in_range,1,1,0.333,44.867,57.729,-12.862,,,-44.867,-57.729,참고(n<10)
Svalbard,catboost_lo,direct,swe_out_of_range,2,2,0.667,121.0,138.273,-17.273,,,-119.935,-137.357,참고(n<10)
Svalbard,catboost_lo,direct,x25_any_out_of_range,3,3,1.0,102.135,117.716,-15.581,-17.554,-12.862,-94.912,-110.815,참고(n<10)
Svalbard,catboost_lo,stefan+lam0.25,all,3,3,1.0,117.788,117.716,0.072,-0.653,0.758,-110.78,-110.815,참고(n<10)
Svalbard,catboost_lo,stefan+lam0.25,complete,3,3,1.0,117.788,117.716,0.072,-0.653,0.758,-110.78,-110.815,참고(n<10)
Svalbard,catboost_lo,stefan+lam0.25,aoa_in,1,1,0.333,57.52,57.729,-0.209,,,-57.52,-57.729,참고(n<10)
Svalbard,catboost_lo,stefan+lam0.25,aoa_out,2,2,0.667,138.408,138.273,0.135,,,-137.41,-137.357,참고(n<10)
Svalbard,catboost_lo,stefan+lam0.25,swe_in_range,1,1,0.333,57.52,57.729,-0.209,,,-57.52,-57.729,참고(n<10)
Svalbard,catboost_lo,stefan+lam0.25,swe_out_of_range,2,2,0.667,138.408,138.273,0.135,,,-137.41,-137.357,참고(n<10)
Svalbard,catboost_lo,stefan+lam0.25,x25_any_out_of_range,3,3,1.0,117.788,117.716,0.072,-0.653,0.758,-110.78,-110.815,참고(n<10)
Svalbard,mlp,direct,all,3,3,1.0,114.205,117.716,-3.511,-30.343,16.983,-101.445,-110.815,참고(n<10)
Svalbard,mlp,direct,complete,3,3,1.0,114.205,117.716,-3.511,-30.343,16.983,-101.445,-110.815,참고(n<10)
Svalbard,mlp,direct,aoa_in,1,1,0.333,42.981,57.729,-14.748,,,-42.981,-57.729,참고(n<10)
Svalbard,mlp,direct,aoa_out,2,2,0.667,136.53,138.273,-1.742,,,-130.678,-137.357,참고(n<10)
Svalbard,mlp,direct,swe_in_range,1,1,0.333,42.981,57.729,-14.748,,,-42.981,-57.729,참고(n<10)
Svalbard,mlp,direct,swe_out_of_range,2,2,0.667,136.53,138.273,-1.742,,,-130.678,-137.357,참고(n<10)
Svalbard,mlp,direct,x25_any_out_of_range,3,3,1.0,114.205,117.716,-3.511,-30.343,16.983,-101.445,-110.815,참고(n<10)
Svalbard,mlp,stefan+lam0.25,all,3,3,1.0,130.486,117.716,12.77,-2.008,30.027,-119.828,-110.815,참고(n<10)
Svalbard,mlp,stefan+lam0.25,complete,3,3,1.0,130.486,117.716,12.77,-2.008,30.027,-119.828,-110.815,참고(n<10)
Svalbard,mlp,stefan+lam0.25,aoa_in,1,1,0.333,56.75,57.729,-0.98,,,-56.75,-57.729,참고(n<10)
Svalbard,mlp,stefan+lam0.25,aoa_out,2,2,0.667,154.692,138.273,16.419,,,-151.367,-137.357,참고(n<10)
Svalbard,mlp,stefan+lam0.25,swe_in_range,1,1,0.333,56.75,57.729,-0.98,,,-56.75,-57.729,참고(n<10)
Svalbard,mlp,stefan+lam0.25,swe_out_of_range,2,2,0.667,154.692,138.273,16.419,,,-151.367,-137.357,참고(n<10)
Svalbard,mlp,stefan+lam0.25,x25_any_out_of_range,3,3,1.0,130.486,117.716,12.77,-2.008,30.027,-119.828,-110.815,참고(n<10)
Mongolia_CAsia,ridge,direct,all,43,19,1.0,280.545,266.057,14.488,6.915,22.348,-251.222,-236.227,
Mongolia_CAsia,ridge,direct,complete,43,19,1.0,280.545,266.057,14.488,6.915,22.348,-251.222,-236.227,
Mongolia_CAsia,ridge,direct,aoa_out,43,19,1.0,280.545,266.057,14.488,6.915,22.348,-251.222,-236.227,
Mongolia_CAsia,ridge,direct,swe_in_range,4,2,0.093,244.654,245.337,-0.683,,,-219.149,-224.421,참고(n<10)
Mongolia_CAsia,ridge,direct,swe_out_of_range,39,19,0.907,283.97,268.092,15.878,8.101,23.026,-254.511,-237.438,
Mongolia_CAsia,ridge,direct,x25_any_out_of_range,43,19,1.0,280.545,266.057,14.488,6.915,22.348,-251.222,-236.227,
Mongolia_CAsia,ridge,stefan+lam0.25,all,43,19,1.0,269.172,266.057,3.115,1.224,5.101,-239.535,-236.227,
Mongolia_CAsia,ridge,stefan+lam0.25,complete,43,19,1.0,269.172,266.057,3.115,1.224,5.101,-239.535,-236.227,
Mongolia_CAsia,ridge,stefan+lam0.25,aoa_out,43,19,1.0,269.172,266.057,3.115,1.224,5.101,-239.535,-236.227,
Mongolia_CAsia,ridge,stefan+lam0.25,swe_in_range,4,2,0.093,245.1,245.337,-0.236,,,-223.004,-224.421,참고(n<10)
Mongolia_CAsia,ridge,stefan+lam0.25,swe_out_of_range,39,19,0.907,271.52,268.092,3.429,1.439,5.228,-241.23,-237.438,
Mongolia_CAsia,ridge,stefan+lam0.25,x25_any_out_of_range,43,19,1.0,269.172,266.057,3.115,1.224,5.101,-239.535,-236.227,
Mongolia_CAsia,catboost_lo,direct,all,43,19,1.0,272.558,266.057,6.501,3.491,9.454,-243.318,-236.227,
Mongolia_CAsia,catboost_lo,direct,complete,43,19,1.0,272.558,266.057,6.501,3.491,9.454,-243.318,-236.227,
Mongolia_CAsia,catboost_lo,direct,aoa_out,43,19,1.0,272.558,266.057,6.501,3.491,9.454,-243.318,-236.227,
Mongolia_CAsia,catboost_lo,direct,swe_in_range,4,2,0.093,248.149,245.337,2.813,,,-224.304,-224.421,참고(n<10)
Mongolia_CAsia,catboost_lo,direct,swe_out_of_range,39,19,0.907,274.939,268.092,6.847,3.891,9.744,-245.268,-237.438,
Mongolia_CAsia,catboost_lo,direct,x25_any_out_of_range,43,19,1.0,272.558,266.057,6.501,3.491,9.454,-243.318,-236.227,
Mongolia_CAsia,catboost_lo,stefan+lam0.25,all,43,19,1.0,265.572,266.057,-0.485,-0.935,-0.039,-235.691,-236.227,
Mongolia_CAsia,catboost_lo,stefan+lam0.25,complete,43,19,1.0,265.572,266.057,-0.485,-0.935,-0.039,-235.691,-236.227,
Mongolia_CAsia,catboost_lo,stefan+lam0.25,aoa_out,43,19,1.0,265.572,266.057,-0.485,-0.935,-0.039,-235.691,-236.227,
Mongolia_CAsia,catboost_lo,stefan+lam0.25,swe_in_range,4,2,0.093,245.335,245.337,-0.002,,,-223.702,-224.421,참고(n<10)
Mongolia_CAsia,catboost_lo,stefan+lam0.25,swe_out_of_range,39,19,0.907,267.561,268.092,-0.531,-1.01,-0.067,-236.92,-237.438,
Mongolia_CAsia,catboost_lo,stefan+lam0.25,x25_any_out_of_range,43,19,1.0,265.572,266.057,-0.485,-0.935,-0.039,-235.691,-236.227,
Mongolia_CAsia,mlp,direct,all,43,19,1.0,268.543,266.057,2.485,-2.383,7.162,-238.193,-236.227,
Mongolia_CAsia,mlp,direct,complete,43,19,1.0,268.543,266.057,2.485,-2.383,7.162,-238.193,-236.227,
Mongolia_CAsia,mlp,direct,aoa_out,43,19,1.0,268.543,266.057,2.485,-2.383,7.162,-238.193,-236.227,
Mongolia_CAsia,mlp,direct,swe_in_range,4,2,0.093,246.767,245.337,1.431,,,-218.69,-224.421,참고(n<10)
Mongolia_CAsia,mlp,direct,swe_out_of_range,39,19,0.907,270.677,268.092,2.585,-2.9,7.495,-240.194,-237.438,
Mongolia_CAsia,mlp,direct,x25_any_out_of_range,43,19,1.0,268.543,266.057,2.485,-2.383,7.162,-238.193,-236.227,
Mongolia_CAsia,mlp,stefan+lam0.25,all,43,19,1.0,265.595,266.057,-0.462,-1.408,0.46,-235.599,-236.227,
Mongolia_CAsia,mlp,stefan+lam0.25,complete,43,19,1.0,265.595,266.057,-0.462,-1.408,0.46,-235.599,-236.227,
Mongolia_CAsia,mlp,stefan+lam0.25,aoa_out,43,19,1.0,265.595,266.057,-0.462,-1.408,0.46,-235.599,-236.227,
Mongolia_CAsia,mlp,stefan+lam0.25,swe_in_range,4,2,0.093,245.469,245.337,0.133,,,-223.631,-224.421,참고(n<10)
Mongolia_CAsia,mlp,stefan+lam0.25,swe_out_of_range,39,19,0.907,267.574,268.092,-0.518,-1.591,0.478,-236.827,-237.438,
Mongolia_CAsia,mlp,stefan+lam0.25,x25_any_out_of_range,43,19,1.0,265.595,266.057,-0.462,-1.408,0.46,-235.599,-236.227,
Alps,ridge,direct,all,8,4,1.0,896.755,333.941,562.814,3.676,1135.286,-625.386,-324.134,참고(n<10)
Alps,ridge,direct,complete,8,4,1.0,896.755,333.941,562.814,3.676,1135.286,-625.386,-324.134,참고(n<10)
Alps,ridge,direct,aoa_out,8,4,1.0,896.755,333.941,562.814,3.676,1135.286,-625.386,-324.134,참고(n<10)
Alps,ridge,direct,swe_out_of_range,8,4,1.0,896.755,333.941,562.814,3.676,1135.286,-625.386,-324.134,참고(n<10)
Alps,ridge,direct,x25_any_out_of_range,8,4,1.0,896.755,333.941,562.814,3.676,1135.286,-625.386,-324.134,참고(n<10)
Alps,ridge,stefan+lam0.25,all,8,4,1.0,442.721,333.941,108.78,1.123,263.145,-401.095,-324.134,참고(n<10)
Alps,ridge,stefan+lam0.25,complete,8,4,1.0,442.721,333.941,108.78,1.123,263.145,-401.095,-324.134,참고(n<10)
Alps,ridge,stefan+lam0.25,aoa_out,8,4,1.0,442.721,333.941,108.78,1.123,263.145,-401.095,-324.134,참고(n<10)
Alps,ridge,stefan+lam0.25,swe_out_of_range,8,4,1.0,442.721,333.941,108.78,1.123,263.145,-401.095,-324.134,참고(n<10)
Alps,ridge,stefan+lam0.25,x25_any_out_of_range,8,4,1.0,442.721,333.941,108.78,1.123,263.145,-401.095,-324.134,참고(n<10)
Alps,catboost_lo,direct,all,8,4,1.0,332.917,333.941,-1.024,-7.536,4.871,-322.887,-324.134,참고(n<10)
Alps,catboost_lo,direct,complete,8,4,1.0,332.917,333.941,-1.024,-7.536,4.871,-322.887,-324.134,참고(n<10)
Alps,catboost_lo,direct,aoa_out,8,4,1.0,332.917,333.941,-1.024,-7.536,4.871,-322.887,-324.134,참고(n<10)
Alps,catboost_lo,direct,swe_out_of_range,8,4,1.0,332.917,333.941,-1.024,-7.536,4.871,-322.887,-324.134,참고(n<10)
Alps,catboost_lo,direct,x25_any_out_of_range,8,4,1.0,332.917,333.941,-1.024,-7.536,4.871,-322.887,-324.134,참고(n<10)
Alps,catboost_lo,stefan+lam0.25,all,8,4,1.0,333.469,333.941,-0.472,-0.857,-0.176,-323.667,-324.134,참고(n<10)
Alps,catboost_lo,stefan+lam0.25,complete,8,4,1.0,333.469,333.941,-0.472,-0.857,-0.176,-323.667,-324.134,참고(n<10)
Alps,catboost_lo,stefan+lam0.25,aoa_out,8,4,1.0,333.469,333.941,-0.472,-0.857,-0.176,-323.667,-324.134,참고(n<10)
Alps,catboost_lo,stefan+lam0.25,swe_out_of_range,8,4,1.0,333.469,333.941,-0.472,-0.857,-0.176,-323.667,-324.134,참고(n<10)
Alps,catboost_lo,stefan+lam0.25,x25_any_out_of_range,8,4,1.0,333.469,333.941,-0.472,-0.857,-0.176,-323.667,-324.134,참고(n<10)
Alps,mlp,direct,all,8,4,1.0,355.676,333.941,21.736,-41.352,111.003,-339.891,-324.134,참고(n<10)
Alps,mlp,direct,complete,8,4,1.0,355.676,333.941,21.736,-41.352,111.003,-339.891,-324.134,참고(n<10)
Alps,mlp,direct,aoa_out,8,4,1.0,355.676,333.941,21.736,-41.352,111.003,-339.891,-324.134,참고(n<10)
Alps,mlp,direct,swe_out_of_range,8,4,1.0,355.676,333.941,21.736,-41.352,111.003,-339.891,-324.134,참고(n<10)
Alps,mlp,direct,x25_any_out_of_range,8,4,1.0,355.676,333.941,21.736,-41.352,111.003,-339.891,-324.134,참고(n<10)
Alps,mlp,stefan+lam0.25,all,8,4,1.0,362.96,333.941,29.019,-10.267,93.874,-347.257,-324.134,참고(n<10)
Alps,mlp,stefan+lam0.25,complete,8,4,1.0,362.96,333.941,29.019,-10.267,93.874,-347.257,-324.134,참고(n<10)
Alps,mlp,stefan+lam0.25,aoa_out,8,4,1.0,362.96,333.941,29.019,-10.267,93.874,-347.257,-324.134,참고(n<10)
Alps,mlp,stefan+lam0.25,swe_out_of_range,8,4,1.0,362.96,333.941,29.019,-10.267,93.874,-347.257,-324.134,참고(n<10)
Alps,mlp,stefan+lam0.25,x25_any_out_of_range,8,4,1.0,362.96,333.941,29.019,-10.267,93.874,-347.257,-324.134,참고(n<10)
Tibet,ridge,direct,all,7,7,1.0,138.451,183.522,-45.071,-55.661,-32.932,-112.966,-158.126,참고(n<10)
Tibet,ridge,direct,complete,7,7,1.0,138.451,183.522,-45.071,-55.661,-32.932,-112.966,-158.126,참고(n<10)
Tibet,ridge,direct,aoa_in,1,1,0.143,49.279,30.801,18.477,,,-49.279,-30.801,참고(n<10)
Tibet,ridge,direct,aoa_out,6,6,0.857,148.185,197.828,-49.643,-57.333,-43.023,-123.581,-179.347,참고(n<10)
Tibet,ridge,direct,swe_in_range,1,1,0.143,70.709,121.569,-50.86,,,-70.709,-121.569,참고(n<10)
Tibet,ridge,direct,swe_out_of_range,6,6,0.857,146.732,191.913,-45.181,-56.151,-28.905,-120.009,-164.219,참고(n<10)
Tibet,ridge,direct,x25_any_out_of_range,7,7,1.0,138.451,183.522,-45.071,-55.661,-32.932,-112.966,-158.126,참고(n<10)
Tibet,ridge,stefan+lam0.25,all,7,7,1.0,171.531,183.522,-11.991,-14.438,-9.064,-146.471,-158.126,참고(n<10)
Tibet,ridge,stefan+lam0.25,complete,7,7,1.0,171.531,183.522,-11.991,-14.438,-9.064,-146.471,-158.126,참고(n<10)
Tibet,ridge,stefan+lam0.25,aoa_in,1,1,0.143,35.296,30.801,4.494,,,-35.296,-30.801,참고(n<10)
Tibet,ridge,stefan+lam0.25,aoa_out,6,6,0.857,184.714,197.828,-13.114,-14.798,-11.836,-165.0,-179.347,참고(n<10)
Tibet,ridge,stefan+lam0.25,swe_in_range,1,1,0.143,108.455,121.569,-13.114,,,-108.455,-121.569,참고(n<10)
Tibet,ridge,stefan+lam0.25,swe_out_of_range,6,6,0.857,179.906,191.913,-12.007,-14.606,-8.329,-152.806,-164.219,참고(n<10)
Tibet,ridge,stefan+lam0.25,x25_any_out_of_range,7,7,1.0,171.531,183.522,-11.991,-14.438,-9.064,-146.471,-158.126,참고(n<10)
Tibet,catboost_lo,direct,all,7,7,1.0,162.019,183.522,-21.504,-26.396,-14.947,-138.534,-158.126,참고(n<10)
Tibet,catboost_lo,direct,complete,7,7,1.0,162.019,183.522,-21.504,-26.396,-14.947,-138.534,-158.126,참고(n<10)
Tibet,catboost_lo,direct,aoa_in,1,1,0.143,51.291,30.801,20.489,,,-51.291,-30.801,참고(n<10)
Tibet,catboost_lo,direct,aoa_out,6,6,0.857,173.743,197.828,-24.085,-27.101,-20.208,-153.074,-179.347,참고(n<10)
Tibet,catboost_lo,direct,swe_in_range,1,1,0.143,97.922,121.569,-23.647,,,-97.922,-121.569,참고(n<10)
Tibet,catboost_lo,direct,swe_out_of_range,6,6,0.857,170.373,191.913,-21.54,-26.947,-13.128,-145.302,-164.219,참고(n<10)
Tibet,catboost_lo,direct,x25_any_out_of_range,7,7,1.0,162.019,183.522,-21.504,-26.396,-14.947,-138.534,-158.126,참고(n<10)
Tibet,catboost_lo,stefan+lam0.25,all,7,7,1.0,180.391,183.522,-3.131,-3.837,-2.146,-155.324,-158.126,참고(n<10)
Tibet,catboost_lo,stefan+lam0.25,complete,7,7,1.0,180.391,183.522,-3.131,-3.837,-2.146,-155.324,-158.126,참고(n<10)
Tibet,catboost_lo,stefan+lam0.25,aoa_in,1,1,0.143,32.401,30.801,1.6,,,-32.401,-30.801,참고(n<10)
Tibet,catboost_lo,stefan+lam0.25,aoa_out,6,6,0.857,194.395,197.828,-3.432,-4.058,-2.804,-175.811,-179.347,참고(n<10)
Tibet,catboost_lo,stefan+lam0.25,swe_in_range,1,1,0.143,117.433,121.569,-4.136,,,-117.433,-121.569,참고(n<10)
Tibet,catboost_lo,stefan+lam0.25,swe_out_of_range,6,6,0.857,188.854,191.913,-3.059,-3.866,-1.951,-161.639,-164.219,참고(n<10)
Tibet,catboost_lo,stefan+lam0.25,x25_any_out_of_range,7,7,1.0,180.391,183.522,-3.131,-3.837,-2.146,-155.324,-158.126,참고(n<10)
Tibet,mlp,direct,all,7,7,1.0,145.857,183.522,-37.665,-47.815,-25.085,-121.075,-158.126,참고(n<10)
Tibet,mlp,direct,complete,7,7,1.0,145.857,183.522,-37.665,-47.815,-25.085,-121.075,-158.126,참고(n<10)
Tibet,mlp,direct,aoa_in,1,1,0.143,54.598,30.801,23.796,,,-54.598,-30.801,참고(n<10)
Tibet,mlp,direct,aoa_out,6,6,0.857,155.959,197.828,-41.868,-49.145,-34.563,-132.155,-179.347,참고(n<10)
Tibet,mlp,direct,swe_in_range,1,1,0.143,72.482,121.569,-49.087,,,-72.482,-121.569,참고(n<10)
Tibet,mlp,direct,swe_out_of_range,6,6,0.857,154.74,191.913,-37.173,-47.054,-24.271,-129.174,-164.219,참고(n<10)
Tibet,mlp,direct,x25_any_out_of_range,7,7,1.0,145.857,183.522,-37.665,-47.815,-25.085,-121.075,-158.126,참고(n<10)
Tibet,mlp,stefan+lam0.25,all,7,7,1.0,179.613,183.522,-3.91,-5.082,-2.48,-154.569,-158.126,참고(n<10)
Tibet,mlp,stefan+lam0.25,complete,7,7,1.0,179.613,183.522,-3.91,-5.082,-2.48,-154.569,-158.126,참고(n<10)
Tibet,mlp,stefan+lam0.25,aoa_in,1,1,0.143,34.626,30.801,3.825,,,-34.626,-30.801,참고(n<10)
Tibet,mlp,stefan+lam0.25,aoa_out,6,6,0.857,193.488,197.828,-4.339,-5.398,-3.329,-174.559,-179.347,참고(n<10)
Tibet,mlp,stefan+lam0.25,swe_in_range,1,1,0.143,116.4,121.569,-5.17,,,-116.4,-121.569,참고(n<10)
Tibet,mlp,stefan+lam0.25,swe_out_of_range,6,6,0.857,188.094,191.913,-3.819,-5.245,-2.363,-160.93,-164.219,참고(n<10)
Tibet,mlp,stefan+lam0.25,x25_any_out_of_range,7,7,1.0,179.613,183.522,-3.91,-5.082,-2.48,-154.569,-158.126,참고(n<10)
Scandinavia,ridge,direct,all,3,3,1.0,285.159,294.281,-9.122,-18.044,15.349,-228.149,-229.208,참고(n<10)
Scandinavia,ridge,direct,complete,3,3,1.0,285.159,294.281,-9.122,-18.044,15.349,-228.149,-229.208,참고(n<10)
Scandinavia,ridge,direct,aoa_out,3,3,1.0,285.159,294.281,-9.122,-18.044,15.349,-228.149,-229.208,참고(n<10)
Scandinavia,ridge,direct,swe_out_of_range,3,3,1.0,285.159,294.281,-9.122,-18.044,15.349,-228.149,-229.208,참고(n<10)
Scandinavia,ridge,direct,x25_any_out_of_range,3,3,1.0,285.159,294.281,-9.122,-18.044,15.349,-228.149,-229.208,참고(n<10)
Scandinavia,ridge,stefan+lam0.25,all,3,3,1.0,292.281,294.281,-2.0,-4.201,4.47,-229.453,-229.208,참고(n<10)
Scandinavia,ridge,stefan+lam0.25,complete,3,3,1.0,292.281,294.281,-2.0,-4.201,4.47,-229.453,-229.208,참고(n<10)
Scandinavia,ridge,stefan+lam0.25,aoa_out,3,3,1.0,292.281,294.281,-2.0,-4.201,4.47,-229.453,-229.208,참고(n<10)
Scandinavia,ridge,stefan+lam0.25,swe_out_of_range,3,3,1.0,292.281,294.281,-2.0,-4.201,4.47,-229.453,-229.208,참고(n<10)
Scandinavia,ridge,stefan+lam0.25,x25_any_out_of_range,3,3,1.0,292.281,294.281,-2.0,-4.201,4.47,-229.453,-229.208,참고(n<10)
Scandinavia,catboost_lo,direct,all,3,3,1.0,288.683,294.281,-5.598,-9.441,-4.146,-221.077,-229.208,참고(n<10)
Scandinavia,catboost_lo,direct,complete,3,3,1.0,288.683,294.281,-5.598,-9.441,-4.146,-221.077,-229.208,참고(n<10)
Scandinavia,catboost_lo,direct,aoa_out,3,3,1.0,288.683,294.281,-5.598,-9.441,-4.146,-221.077,-229.208,참고(n<10)
Scandinavia,catboost_lo,direct,swe_out_of_range,3,3,1.0,288.683,294.281,-5.598,-9.441,-4.146,-221.077,-229.208,참고(n<10)
Scandinavia,catboost_lo,direct,x25_any_out_of_range,3,3,1.0,288.683,294.281,-5.598,-9.441,-4.146,-221.077,-229.208,참고(n<10)
Scandinavia,catboost_lo,stefan+lam0.25,all,3,3,1.0,294.496,294.281,0.215,-0.214,0.379,-229.291,-229.208,참고(n<10)
Scandinavia,catboost_lo,stefan+lam0.25,complete,3,3,1.0,294.496,294.281,0.215,-0.214,0.379,-229.291,-229.208,참고(n<10)
Scandinavia,catboost_lo,stefan+lam0.25,aoa_out,3,3,1.0,294.496,294.281,0.215,-0.214,0.379,-229.291,-229.208,참고(n<10)
Scandinavia,catboost_lo,stefan+lam0.25,swe_out_of_range,3,3,1.0,294.496,294.281,0.215,-0.214,0.379,-229.291,-229.208,참고(n<10)
Scandinavia,catboost_lo,stefan+lam0.25,x25_any_out_of_range,3,3,1.0,294.496,294.281,0.215,-0.214,0.379,-229.291,-229.208,참고(n<10)
