target,model,mode,stratum,n,n_blocks,frac,rmse_model,rmse_stefan,delta_rmse,ci_lo,ci_hi,bias_model,bias_stefan,flag
Russia_W,mlp,stefan+lam0.25,aoa_out,3,2,0.107,67.974,65.89,2.084,,,-60.936,-58.054,참고(n<10)
Russia_W,mlp,stefan+lam0.25,swe_in_range,23,13,0.821,42.987,42.254,0.733,-0.017,1.401,-33.324,-32.026,
Russia_W,mlp,stefan+lam0.25,swe_out_of_range,5,5,0.179,47.626,43.37,4.257,3.305,5.486,-38.954,-33.929,참고(n<10)
Russia_W,mlp,stefan+lam0.25,x25_all_in_range,11,6,0.393,41.369,41.011,0.359,-1.417,1.304,-31.823,-30.78,
Russia_W,mlp,stefan+lam0.25,x25_any_out_of_range,17,13,0.607,45.385,43.365,2.02,1.05,3.28,-35.952,-33.392,
Russia_C,ridge,direct,all,7,6,1.0,81.697,53.386,28.311,-3.722,45.626,-46.95,-19.904,참고(n<10)
Russia_C,ridge,direct,complete,6,5,0.857,87.97,57.641,30.329,-6.824,49.439,-51.941,-23.879,참고(n<10)
Russia_C,ridge,direct,sg_missing,1,1,0.143,17.005,3.944,13.061,,,-17.005,3.944,참고(n<10)
Russia_C,ridge,direct,aoa_in,3,3,0.429,10.677,3.681,6.996,1.189,13.061,-6.59,3.577,참고(n<10)
Russia_C,ridge,direct,aoa_out,4,3,0.571,107.679,70.551,37.128,-9.996,61.701,-77.219,-37.515,참고(n<10)
Russia_C,ridge,direct,swe_in_range,5,4,0.714,9.153,10.633,-1.48,-8.874,11.004,-6.414,8.426,참고(n<10)
Russia_C,ridge,direct,swe_out_of_range,2,2,0.286,152.155,98.451,53.704,,,-148.289,-90.729,참고(n<10)
Russia_C,ridge,direct,x25_any_out_of_range,7,6,1.0,81.697,53.386,28.311,-3.722,45.626,-46.95,-19.904,참고(n<10)
Russia_C,ridge,stefan+lam0.25,all,7,6,1.0,59.841,53.386,6.455,-3.893,10.849,-26.223,-19.904,참고(n<10)
Russia_C,ridge,stefan+lam0.25,complete,6,5,0.857,64.635,57.641,6.995,-4.073,11.794,-30.478,-23.879,참고(n<10)
Russia_C,ridge,stefan+lam0.25,sg_missing,1,1,0.143,0.688,3.944,-3.256,,,-0.688,3.944,참고(n<10)
Russia_C,ridge,stefan+lam0.25,aoa_in,3,3,0.429,2.528,3.681,-1.153,-3.256,1.024,1.794,3.577,참고(n<10)
Russia_C,ridge,stefan+lam0.25,aoa_out,4,3,0.571,79.132,70.551,8.581,-5.341,15.203,-47.235,-37.515,참고(n<10)
Russia_C,ridge,stefan+lam0.25,swe_in_range,5,4,0.714,7.139,10.633,-3.494,-4.892,0.218,5.275,8.426,참고(n<10)
Russia_C,ridge,stefan+lam0.25,swe_out_of_range,2,2,0.286,111.382,98.451,12.932,,,-104.967,-90.729,참고(n<10)
Russia_C,ridge,stefan+lam0.25,x25_any_out_of_range,7,6,1.0,59.841,53.386,6.455,-3.893,10.849,-26.223,-19.904,참고(n<10)
Russia_C,catboost_lo,direct,all,7,6,1.0,60.339,53.386,6.953,0.919,11.584,-21.702,-19.904,참고(n<10)
Russia_C,catboost_lo,direct,complete,6,5,0.857,64.761,57.641,7.12,-0.739,11.984,-28.305,-23.879,참고(n<10)
Russia_C,catboost_lo,direct,sg_missing,1,1,0.143,17.921,3.944,13.977,,,17.921,3.944,참고(n<10)
Russia_C,catboost_lo,direct,aoa_in,3,3,0.429,16.668,3.681,12.987,10.088,15.005,16.6,3.577,참고(n<10)
Russia_C,catboost_lo,direct,aoa_out,4,3,0.571,78.505,70.551,7.953,-8.356,13.303,-50.428,-37.515,참고(n<10)
Russia_C,catboost_lo,direct,swe_in_range,5,4,0.714,13.831,10.633,3.198,-5.231,14.397,11.204,8.426,참고(n<10)
Russia_C,catboost_lo,direct,swe_out_of_range,2,2,0.286,110.745,98.451,12.294,,,-103.965,-90.729,참고(n<10)
Russia_C,catboost_lo,direct,x25_any_out_of_range,7,6,1.0,60.339,53.386,6.953,0.919,11.584,-21.702,-19.904,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,all,7,6,1.0,53.267,53.386,-0.119,-0.332,0.867,-18.993,-19.904,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,complete,6,5,0.857,57.502,57.641,-0.139,-0.348,0.89,-22.957,-23.879,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,sg_missing,1,1,0.143,4.794,3.944,0.85,,,4.794,3.944,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,aoa_in,3,3,0.429,5.645,3.681,1.964,0.85,2.847,5.584,3.577,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,aoa_out,4,3,0.571,70.296,70.551,-0.255,-0.541,0.218,-37.425,-37.515,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,swe_in_range,5,4,0.714,11.265,10.633,0.632,0.266,2.623,9.558,8.426,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,swe_out_of_range,2,2,0.286,98.049,98.451,-0.402,,,-90.37,-90.729,참고(n<10)
Russia_C,catboost_lo,stefan+lam0.25,x25_any_out_of_range,7,6,1.0,53.267,53.386,-0.119,-0.332,0.867,-18.993,-19.904,참고(n<10)
Russia_C,mlp,direct,all,7,6,1.0,56.747,53.386,3.361,-3.623,6.496,-21.715,-19.904,참고(n<10)
Russia_C,mlp,direct,complete,6,5,0.857,61.289,57.641,3.648,-2.73,6.951,-25.644,-23.879,참고(n<10)
Russia_C,mlp,direct,sg_missing,1,1,0.143,1.854,3.944,-2.09,,,1.854,3.944,참고(n<10)
Russia_C,mlp,direct,aoa_in,3,3,0.429,11.058,3.681,7.377,-2.09,13.147,9.48,3.577,참고(n<10)
Russia_C,mlp,direct,aoa_out,4,3,0.571,74.456,70.551,3.905,-9.441,8.726,-45.112,-37.515,참고(n<10)
Russia_C,mlp,direct,swe_in_range,5,4,0.714,9.572,10.633,-1.061,-7.8,11.522,8.321,8.426,참고(n<10)
Russia_C,mlp,direct,swe_out_of_range,2,2,0.286,105.08,98.451,6.629,,,-96.806,-90.729,참고(n<10)
Russia_C,mlp,direct,x25_any_out_of_range,7,6,1.0,56.747,53.386,3.361,-3.623,6.496,-21.715,-19.904,참고(n<10)
Russia_C,mlp,stefan+lam0.25,all,7,6,1.0,53.511,53.386,0.126,-0.724,0.569,-19.271,-19.904,참고(n<10)
Russia_C,mlp,stefan+lam0.25,complete,6,5,0.857,57.783,57.641,0.142,-0.852,0.628,-23.043,-23.879,참고(n<10)
Russia_C,mlp,stefan+lam0.25,sg_missing,1,1,0.143,3.359,3.944,-0.585,,,3.359,3.944,참고(n<10)
Russia_C,mlp,stefan+lam0.25,aoa_in,3,3,0.429,5.144,3.681,1.463,-0.585,3.069,5.002,3.577,참고(n<10)
Russia_C,mlp,stefan+lam0.25,aoa_out,4,3,0.571,70.649,70.551,0.098,-1.256,0.755,-37.476,-37.515,참고(n<10)
Russia_C,mlp,stefan+lam0.25,swe_in_range,5,4,0.714,10.901,10.633,0.268,-0.176,2.628,9.212,8.426,참고(n<10)
Russia_C,mlp,stefan+lam0.25,swe_out_of_range,2,2,0.286,98.616,98.451,0.165,,,-90.479,-90.729,참고(n<10)
Russia_C,mlp,stefan+lam0.25,x25_any_out_of_range,7,6,1.0,53.511,53.386,0.126,-0.724,0.569,-19.271,-19.904,참고(n<10)
