assignment,method,fold,n,n_blocks,has_bigblock,rmse,bias,E_fold
random_4,stefan_ridge075,0,1733,20,False,13.666112180215098,-1.4582482071035074,1.6378740108711687
random_4,stefan_ridge075,1,1871,10,False,13.836736856871793,-0.7537122802130842,1.6048315551730274
random_4,stefan_ridge075,2,2247,5,False,15.279080726593337,-1.9518300482237958,1.6194751188786984
random_4,stefan_ridge075,3,764,10,False,14.8997239092555,0.7724751316748903,1.6223438479331562
random_4,stefan_ridge075,4,2136,17,False,16.81941371789552,5.50063588997698,1.6356874054779582
random_4,stefan_ridge075,5,4855,12,True,10.155168073530355,3.1651350363037536,1.5812889342706515
random_4,ridge,0,1733,20,False,14.343817541579302,-3.3025947704838465,1.6378740108711687
random_4,ridge,1,1871,10,False,13.934695296203559,0.14971673641160405,1.6048315551730274
random_4,ridge,2,2247,5,False,15.610973226178409,-2.671974540987345,1.6194751188786984
random_4,ridge,3,764,10,False,14.671424147862146,0.2796150361261939,1.6223438479331562
random_4,ridge,4,2136,17,False,16.84100541509548,6.0457426343898115,1.6356874054779582
random_4,ridge,5,4855,12,True,11.73655389485877,6.798875490174599,1.5812889342706515
random_4,catboost_lo,0,1733,20,False,14.0645124602464,-3.5959252693515653,1.6378740108711687
random_4,catboost_lo,1,1871,10,False,14.174659321002618,-2.1389761149454443,1.6048315551730274
random_4,catboost_lo,2,2247,5,False,15.781683524781277,-4.7136078523604645,1.6194751188786984
random_4,catboost_lo,3,764,10,False,15.926237948165479,-4.433298506032493,1.6223438479331562
random_4,catboost_lo,4,2136,17,False,16.859197907955004,3.742597864016685,1.6356874054779582
random_4,catboost_lo,5,4855,12,True,18.05538191632474,14.950111605501805,1.5812889342706515
random_5,stefan,0,1879,9,False,14.21121881869801,2.449729512021088,1.6307802084223242
random_5,stefan,1,4824,4,True,11.500367609309896,-5.330106159390729,1.5789899440376618
random_5,stefan,2,1411,7,False,11.33771850405995,-1.5218321794842287,1.6131643774289384
random_5,stefan,3,1809,4,False,17.414284275345032,4.038854436131572,1.633374366747598
random_5,stefan,4,2329,22,False,13.36016686329447,1.5512511999563396,1.6281168326445175
random_5,stefan,5,1354,28,False,21.855076686790422,-0.8888467152982817,1.6180560567464475
random_5,stefan_ridge075,0,1879,9,False,14.631120175491679,-1.5011359273397729,1.6307802084223242
random_5,stefan_ridge075,1,4824,4,True,9.816389474717992,1.8036158790700771,1.5789899440376618
random_5,stefan_ridge075,2,1411,7,False,10.844396319571493,0.7120439683228801,1.6131643774289384
random_5,stefan_ridge075,3,1809,4,False,17.012939718544754,6.056909039904081,1.633374366747598
random_5,stefan_ridge075,4,2329,22,False,12.899474132815765,0.3227172485946555,1.6281168326445175
random_5,stefan_ridge075,5,1354,28,False,20.47970991267953,-3.709222790607278,1.6180560567464475
random_5,ridge,0,1879,9,False,14.98240211099575,-2.7506972994721743,1.6307802084223242
random_5,ridge,1,4824,4,True,10.863558106480683,5.108780938792797,1.5789899440376618
random_5,ridge,2,1411,7,False,11.210017895878684,1.482870293186132,1.6131643774289384
random_5,ridge,3,1809,4,False,17.120039991885953,6.533447868786994,1.633374366747598
random_5,ridge,4,2329,22,False,13.066053913784787,-0.10551254348977791,1.6281168326445175
random_5,ridge,5,1354,28,False,20.993520960937516,-4.725179833972132,1.6180560567464475
random_5,catboost_lo,0,1879,9,False,14.89509291339931,-4.533197422792889,1.6307802084223242
random_5,catboost_lo,1,4824,4,True,17.466332127305744,13.812414130595561,1.5789899440376618
random_5,catboost_lo,2,1411,7,False,10.825139270416857,-0.2034540757827755,1.6131643774289384
random_5,catboost_lo,3,1809,4,False,16.284290724634452,2.8006584551657774,1.633374366747598
random_5,catboost_lo,4,2329,22,False,13.339378898798946,-3.8111037361516953,1.6281168326445175
random_5,catboost_lo,5,1354,28,False,20.062744173548833,-3.344973034231005,1.6180560567464475
random_6,stefan,0,4879,11,True,11.210647576338182,-6.01612361457932,1.570468589316873
random_6,stefan,1,933,8,False,24.216430643942893,-5.592391623052307,1.6050347995960506
random_6,stefan,2,1513,2,False,10.519314533582666,4.397951414827948,1.63706555264845
random_6,stefan,3,1786,11,False,13.151820093909603,0.011851063628183136,1.6192194020476618
random_6,stefan,4,1986,18,False,17.63079254548939,3.1147412221868915,1.6316206637385071
random_6,stefan,5,2509,24,False,15.370569457129212,3.436578796843611,1.6415868589028202
random_6,stefan_ridge075,0,4879,11,True,9.911095638673268,2.358698005217345,1.570468589316873
random_6,stefan_ridge075,1,933,8,False,23.230637416636135,-6.135859855040412,1.6050347995960506
random_6,stefan_ridge075,2,1513,2,False,9.463988993782646,0.0221011684175715,1.63706555264845
random_6,stefan_ridge075,3,1786,11,False,12.350536357953178,-1.1695652804154066,1.6192194020476618
random_6,stefan_ridge075,4,1986,18,False,17.050986668475424,4.825002329503322,1.6316206637385071
random_6,stefan_ridge075,5,2509,24,False,14.643000198442309,1.5068514958598798,1.6415868589028202
random_6,ridge,0,4879,11,True,11.531526350536025,6.0356822336339455,1.570468589316873
random_6,ridge,1,933,8,False,23.31028679217325,-6.011588911390285,1.6050347995960506
random_6,ridge,2,1513,2,False,9.590737289253447,-1.4522237597590324,1.63706555264845
random_6,ridge,3,1786,11,False,12.519032590869013,-1.3971500402841277,1.6192194020476618
random_6,ridge,4,1986,18,False,17.02467149907018,5.176191649597633,1.6316206637385071
random_6,ridge,5,2509,24,False,14.891677468171803,0.7709226039060488,1.6415868589028202
random_6,catboost_lo,0,4879,11,True,16.829482427316986,12.81400529556502,1.570468589316873
random_6,catboost_lo,1,933,8,False,23.89509315549616,-7.81661105393021,1.6050347995960506
random_6,catboost_lo,2,1513,2,False,9.746420129908882,-2.0389411925556407,1.63706555264845
random_6,catboost_lo,3,1786,11,False,12.991918635187815,-4.509958141425455,1.6192194020476618
random_6,catboost_lo,4,1986,18,False,17.14090428585704,2.238772846044601,1.6316206637385071
random_6,catboost_lo,5,2509,24,False,14.622672993849212,-2.126157629158542,1.6415868589028202
random_7,stefan,0,1558,22,False,20.91663297763358,-3.3147187538324756,1.6071708781103275
random_7,stefan,1,1403,4,False,12.084094840844248,-1.804392789871131,1.6126706275525737
random_7,stefan,2,2019,18,False,17.616961616775395,3.6722970468117246,1.6346306204077228
random_7,stefan,3,4719,4,True,11.04797018512475,-5.914838157342636,1.5734918492243524
random_7,stefan,4,1978,11,False,13.290993433262146,3.167924354568761,1.634244128145676
random_7,stefan,5,1929,15,False,14.433704406514302,4.573204648458061,1.6423641798603126
random_7,stefan_ridge075,0,1558,22,False,19.560469528815652,-3.398883231239031,1.6071708781103275
random_7,stefan_ridge075,1,1403,4,False,11.298645604109621,1.2803551504944901,1.6126706275525737
random_7,stefan_ridge075,2,2019,18,False,16.925002500944505,4.661453088580256,1.6346306204077228
random_7,stefan_ridge075,3,4719,4,True,9.467205980937667,1.5586029964662957,1.5734918492243524
random_7,stefan_ridge075,4,1978,11,False,12.547931238944852,2.3037928133561003,1.634244128145676
