set,stratum_var,stratum,order,n,n_blocks,y_mean,y_sd,method,rmse,rmse_lo,rmse_hi,bias,bias_lo,bias_hi,delta_vs_stefan,delta_lo,delta_hi,ci_flag
Alaska_OOF,SOC 0–5 cm 3분위,Q1 [100–300],0,3895,48,62.28759026599366,17.784148100371564,stefan_ridge075,16.01038229338335,12.352623574298367,21.617191703629434,-0.43794993805506743,-5.1478533861231535,1.474482813474363,-0.6953212132615505,-2.6793091218833394,0.24849144205183335,ok
Alaska_OOF,SOC 0–5 cm 3분위,Q1 [100–300],0,3895,48,62.28759026599366,17.784148100371564,catboost_lo,16.258001389408214,12.50139030641311,21.92676249900183,-3.424231266061611,-4.949880332015404,-1.3373002012723736,-0.4477021172366875,-2.303941092995921,0.4954131952870781,ok
Alaska_OOF,SOC 0–5 cm 3분위,Q2 [300–380],1,5162,36,50.45441982927998,16.784420812688,stefan,15.09712679466175,12.456835810251984,20.060678030614152,4.200064242320146,0.26859526184088234,8.202300768358489,0.0,0.0,0.0,ok
Alaska_OOF,SOC 0–5 cm 3분위,Q2 [300–380],1,5162,36,50.45441982927998,16.784420812688,stefan_ridge075,14.072307434164493,11.209775398289464,18.43975356940013,1.8424439408538837,-1.5846787789922863,6.123149157061374,-1.024819360497256,-2.666022820859186,0.06588353690495827,ok
Alaska_OOF,SOC 0–5 cm 3분위,Q2 [300–380],1,5162,36,50.45441982927998,16.784420812688,catboost_lo,15.018686535555652,11.958032187593979,20.140017556831797,-0.3178386813039434,-4.469157989553814,4.508961580856622,-0.07844025910609709,-2.1436386691731544,2.0778429189994374,ok
Alaska_OOF,SOC 0–5 cm 3분위,Q3 [380–419],2,4549,4,40.374788182481446,9.575693046493749,stefan,11.29213234882151,,,-6.338778004316188,,,0.0,,,blocks<8
Alaska_OOF,SOC 0–5 cm 3분위,Q3 [380–419],2,4549,4,40.374788182481446,9.575693046493749,stefan_ridge075,9.341733156693081,,,0.1757495015080532,,,-1.9503991921284296,,,blocks<8
Alaska_OOF,SOC 0–5 cm 3분위,Q3 [380–419],2,4549,4,40.374788182481446,9.575693046493749,catboost_lo,16.94399349718098,,,12.916858370756865,,,5.651861148359469,,,blocks<8
Alaska_OOF,경사,<0.5°,0,4835,39,47.79511664757771,15.91142683654357,stefan,13.445848204408081,12.13492517624139,19.99188215963937,-5.473381493786835,-7.720983214036753,1.1083608931329452,0.0,0.0,0.0,ok
Alaska_OOF,경사,<0.5°,0,4835,39,47.79511664757771,15.91142683654357,stefan_ridge075,11.454309525367561,9.960517010000872,16.828151060010292,-0.20727311613452823,-4.2055739296965164,0.7047750535231245,-1.99153867904052,-3.277081710000584,-0.6154634852110746,ok
Alaska_OOF,경사,<0.5°,0,4835,39,47.79511664757771,15.91142683654357,catboost_lo,15.601623529211556,13.993235439807583,17.773355921708777,7.522904064476246,-5.260325422987282,11.485116268371446,2.155775324803475,-2.5948579546755397,3.4682669739353433,ok
