block,region,n,lat,lon,E,E_med,alt_mean,sg_clay_5_15,sg_sand_5_15,sg_silt_5_15,sg_bdod_5_15,sg_cfvo_5_15,sg_phh2o_5_15,sg_soc_0_5,sg_soc_5_15,sg_soc_15_30,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe
12299765,Canada,10,61.6037865,-117.1342011,2.0932004500588706,2.211423130621917,94.654,21.6,44.7,33.75,1.255,12.100000000000001,7.05,58.55,44.85,38.35,-1.8457908630371087,2044.8257446289067,2680.1500549316406,45.21974949763551,17.972808837890625,-22.076187133789062,3.7834675312042245,0.024450341239571495
12299766,Canada,16,61.752643812500004,-116.8202758125,1.712279384564987,1.8068603268051455,76.84375,20.6625,46.2,33.1375,1.2531249999999998,11.675,7.26875,49.23125,45.7125,44.525,-2.1265602111816406,2013.6767387390137,2750.787699699402,44.87380757737611,17.87744140625,-22.243355751037598,3.852086752653122,0.025797076639719238
12399767,Canada,19,62.06730325328948,-116.32179768421051,1.695245731505902,1.6977266511154294,74.89107456387062,19.85789473684211,48.15789473684211,32.05263157894737,1.2457894736842106,11.95263157894737,7.199999999999999,70.17894736842106,59.24736842105262,43.08947368421054,-2.5600943188918266,1951.389519942434,2845.5681465550474,44.17441396928296,17.638161107113486,-22.38979781301398,3.6538589502635754,0.026018154954439675
12399772,Canada,8,62.491623749999995,-113.52501125,1.0373764530320124,1.0739630635596364,43.979166666249995,29.375,29.775,40.95,1.2075,13.0,6.85,143.39999999999998,139.27499999999998,114.9,-4.194902420043945,1798.2357177734375,3285.001308441162,42.40555540896258,16.895584106445312,-24.91135025024414,2.4973939061164856,0.02624654024839395
12399773,Canada,60,62.39071441666667,-113.1068995,1.573049098338503,1.5607226468470112,66.727777777,23.12666666666667,43.07499999999998,33.839999999999996,1.189666666666667,12.450000000000005,6.971666666666667,136.66333333333336,132.28166666666667,126.21000000000001,-4.040987928708394,1799.5852966308594,3230.1962745666506,42.421394922238875,16.955194091796876,-24.76984151204427,3.0521406451861064,0.02646009294937052
12499717,Alaska,20,62.69724521794774,-141.14273202615314,1.3236345480893301,1.331564642035644,56.65372313772124,13.199999999999998,32.89999999999999,53.9,0.85,9.300000000000002,5.599999999999999,168.69999999999996,105.40000000000002,36.5,-2.58917236328125,1831.97998046875,2743.8187713623047,42.8016352546109,15.81524658203125,-22.935562133789062,2.9775874614715576,0.024679966270923604
12499767,Canada,8,62.54716875,-116.433586,2.126390866594053,2.2764065913821883,92.9375,17.25,54.474999999999994,28.35,1.1974999999999998,13.024999999999999,7.125,88.425,65.6,47.05,-3.306820273399353,1910.2792663574219,3075.759422302246,43.70674144802982,17.424232482910156,-23.44442749023437,3.546604871749878,0.028792007826268624
12499773,Canada,17,62.50862235294118,-113.39922117647059,1.3975230661426437,1.4114379988181454,59.07843137352941,26.31764705882353,36.83529411764705,36.817647058823525,1.2064705882352942,12.952941176470588,6.864705882352942,147.88823529411766,141.22941176470587,126.16470588235295,-4.340415954589844,1787.0633239746094,3326.6730041503906,42.273671758845474,16.82080078125,-25.210418701171875,2.614413022994995,0.0267690699547529
12699701,Alaska,123,63.87986188956544,-149.24789756760742,1.4644329638288616,1.4020281379834505,56.30838817911989,11.0,38.199999999999996,50.8,0.8599999999999999,15.400000000000006,5.1000000000000005,240.9000000000001,192.5999999999999,129.29999999999995,-2.290206965392198,1478.4687244446297,2290.993150044263,38.450821162234725,13.671487699679242,-18.770190851475164,2.2084421045411893,0.06203645613135357
12699708,Alaska,3,63.84735246466666,-145.71703538,1.228553102031136,1.2808319574367164,47.0,7.099999999999999,40.1,52.79999999999999,0.69,7.8,5.2,238.80000000000004,139.8,78.6,-2.2216312885284424,1463.5509643554688,2249.595458984375,38.25638462211855,13.812652587890623,-17.142913818359375,2.066859006881714,0.0676207691431045
12699709,Alaska,21,63.92046839432462,-145.37824086807632,2.1813814517487735,2.178456683314045,90.62150415721845,10.599999999999998,29.399999999999995,60.09999999999999,0.49000000000000005,4.900000000000001,5.299999999999999,257.19999999999993,156.90000000000003,66.09999999999998,-1.348175048828125,1725.8351135253906,2191.0362854003906,41.54317168350762,15.39434814453125,-18.269195556640625,3.20233154296875,0.046061459928750895
12699710,Alaska,16,63.81574894399222,-144.9560637285791,1.3071563273975988,1.3279530381669633,53.422776875901874,8.4,31.0,60.7,0.56,3.6,5.3,264.6,167.4,85.9,-1.600343108177185,1670.31298828125,2227.860336303711,40.869462784348535,15.06689453125,-18.147445678710938,2.6733856201171875,0.056338932365179
12799706,Alaska,22,64.38822974005721,-146.88143744806337,1.425768382610195,1.4399895922629504,65.01033751527221,13.5,25.89999999999999,60.70000000000002,0.7400000000000001,4.400000000000002,5.5,209.10000000000002,128.0,55.29999999999998,0.1560351103544235,2079.059326171875,1996.579391479492,45.59670301865995,17.17236328125,-18.654617309570312,3.834681272506714,0.0254211947321891
12899668,Alaska,139,64.74129796895384,-165.9633327350436,1.717513144481573,1.6613325029540802,61.28283793153487,13.299999999999999,30.300000000000004,56.399999999999984,0.77,5.0,5.799999999999999,326.90000000000003,261.29999999999995,157.20000000000002,-2.0114141625466107,1274.5498788957116,1987.9790691128737,35.69871646183331,11.441992011859263,-15.699230605749776,1.8531642749155168,0.08564068441339531
12899672,Alaska,44,64.85070665310379,-163.6945093037013,0.9257504399591246,0.9519527146114328,34.99707538909615,12.125000000000002,31.45681818181818,56.41818181818181,0.6709090909090907,2.6136363636363638,5.061363636363637,313.9772727272727,286.5113636363637,180.10227272727272,-2.044645986773751,1428.7555049549449,2153.3189634843307,37.798611655441775,13.406779896129258,-17.34173722700639,2.3103187409314243,0.09488315812566057
12899703,Alaska,21,64.69606972863889,-148.31639580257934,0.9983389783942181,0.9298035160269675,46.68192943844205,17.147619047619052,30.061904761904753,52.785714285714285,0.5814285714285715,1.809523809523809,6.128571428571426,104.0095238095238,82.46666666666668,55.61904761904763,0.006031157714979991,2186.1346290225074,2156.159574236189,46.75611744215413,18.253118605840776,-19.75461905343192,4.0011953966958185,0.025738804379389385
12899704,Alaska,324,64.8940163245525,-147.6758089130857,1.7273671873492131,1.5971509573571674,77.31101077061487,13.276234567901234,14.622839506172843,72.12407407407406,0.6620370370370371,4.238271604938271,5.409567901234568,199.5787037037037,119.87222222222223,46.75802469135803,-0.4505729137195481,2000.0035901481722,2137.901907697136,44.71516439197763,17.17238739390432,-19.0887550542384,3.5580724168706825,0.028699975403278642
12999670,Alaska,287,65.3471979624022,-164.69813879814012,1.4817265227984096,1.4519865490305415,54.706642070374805,14.217770034843207,28.755400696864108,57.07142857142858,0.8018815331010455,10.08815331010453,5.3860627177700335,301.39686411149825,237.2222996515679,146.39477351916372,-2.8314571206162618,1361.9463766809124,2372.1223091896404,36.901986737873,13.05081538290097,-18.52082271775302,1.770235161748082,0.06021929816553812
12999706,Alaska,32,65.34018644876096,-146.91512823730284,0.7018799079749074,0.7598828452393354,28.260409902597402,13.1,33.7,53.2,0.47,8.9,4.9,323.8,238.2,170.1,-2.406578063964844,1621.180206298828,2473.6720581054688,40.263882156329984,15.13262939453125,-18.569000244140625,2.7429656982421875,0.0556361936032772
13099702,Alaska,29,65.56801159869667,-148.9246633629885,1.0422862520850429,0.9305480905643927,44.483089515848135,15.100000000000003,24.700000000000006,60.20000000000002,0.38000000000000017,10.0,5.199999999999998,315.5,207.60000000000005,99.90000000000003,-3.241102933883667,1821.444183349609,2971.791381835937,42.67838074891795,16.89697265625,-23.80599975585937,2.8820724487304688,0.038849685341119704
13300133,Russia_W,3,66.60766666666666,66.72666666666667,2.025317775561928,2.1157527927470015,76.37037037037037,22.100000000000005,47.4,30.46666666666667,0.94,8.166666666666666,5.3,204.30000000000004,134.6,86.8,-3.6392626762390137,1420.0168965657551,2716.9193267822266,37.68238632106311,16.604217529296875,-21.000773111979168,2.195243000984192,0.07678954799969985
13399699,Alaska,26,67.07901032416025,-150.3534041826282,1.2445763408938284,1.2211822336654672,48.66474358974358,12.300000000000002,29.600000000000005,58.099999999999994,0.8200000000000001,10.099999999999998,5.300000000000001,265.30000000000007,189.0,135.7,-4.791287899017334,1528.9236450195312,3246.5382690429688,39.101453234113066,15.469879150390623,-23.29623413085937,2.555628538131714,0.0820660665631294
