cond,target,anchor,model,variant,lam,n,n_blocks,rmse_anchor,rmse_standard,rmse_centered,d_vs_anchor,ci_lo,ci_hi,d_vs_standard,ci2_lo,ci2_hi
noinfo,Lena,stefan,mlp,direct_structure,1.0,2958,20,21.623974469334783,23.237026795651786,21.951198495544748,0.32722402620996505,-0.6449093734558106,0.9220305324431595,-1.2858283001070383,,
noinfo,Lena,stefan,ftt,resid_centered,0.25,2958,20,21.623974469334783,21.69367645181144,21.520031831232828,-0.10394263810195525,-0.42802663152057346,0.11494157969345248,-0.17364462057861374,-0.3401529713454383,0.11659077240593675
noinfo,Lena,stefan,ftt,resid_centered,0.5,2958,20,21.623974469334783,21.835140612854552,21.47046649973633,-0.15350796959845425,-0.8803949082788619,0.29403631096716276,-0.3646741131182232,-0.7215463172911458,0.21828005786665003
noinfo,Lena,stefan,ftt,resid_centered,1.0,2958,20,21.623974469334783,22.32720817932871,21.535557706057553,-0.08841676327723036,-1.4800429824671628,0.8146033109859183,-0.791650473271158,-1.3953940832207712,0.3162538488574607
noinfo,Lena,stefan,ftt,direct_structure,1.0,2958,20,21.623974469334783,20.63643705648956,21.388831518877822,-0.23514295045696088,-2.338059859979894,0.9065585820062759,0.7523944623882635,,
noinfo,Lena,stefan,tabm,resid_centered,0.25,2958,20,21.623974469334783,21.36132104233591,21.560312017705574,-0.06366245162920947,-0.4197651370922605,0.1718875590360172,0.19899097536966437,-0.1403488406511707,0.4359117152666986
noinfo,Lena,stefan,tabm,resid_centered,0.5,2958,20,21.623974469334783,21.2383405741514,21.606398794907122,-0.01757567442766117,-0.8504092045053007,0.4840760961231859,0.3680582207557208,-0.3160731524008646,0.7561266774415375
noinfo,Lena,stefan,tabm,resid_centered,1.0,2958,20,21.623974469334783,21.418290880069282,22.02342376771052,0.3994492983757354,-1.2116026798142188,1.322596051224665,0.6051328876412363,-0.7744482877323202,1.3311629083663297
noinfo,Lena,stefan,tabm,direct_structure,1.0,2958,20,21.623974469334783,22.1335371301474,22.291523146709,0.6675486773742172,-1.3964913285268798,1.7011699483172669,0.15798601656160116,,
noinfo,Lena,stefan,cfm,resid_centered,0.25,2958,20,21.623974469334783,21.859171909168158,21.4625414858749,-0.161432983459882,-0.5345859617253489,0.02839472871326796,-0.3966304232932565,-0.7512411383851668,0.3616052184685537
noinfo,Lena,stefan,cfm,resid_centered,0.5,2958,20,21.623974469334783,22.695379703461736,21.841628617430008,0.21765414809522454,-0.7285210061960722,0.6563328894075173,-0.8537510860317283,-1.4844487993460362,0.6462047609454216
noinfo,Lena,stefan,cfm,resid_centered,1.0,2958,20,21.623974469334783,25.897552054598044,24.08326728786071,2.4592928185259275,-0.2534828958750754,4.063050699697927,-1.8142847667373339,-2.9222812424928053,1.374478900179373
noinfo,Lena,stefan,cfm,direct_structure,1.0,2958,20,21.623974469334783,31.40210442366835,25.930810180788484,4.306835711453701,-0.1402579943977732,6.768958807408908,-5.471294242879868,,
noinfo,Lena,stefan,ddpm,resid_centered,0.25,2958,20,21.623974469334783,21.829576337632147,21.62275987820316,-0.0012145911316245872,-0.4082639445844822,0.1706697346807301,-0.20681645942898896,-0.3940657333114934,0.13188671540094776
noinfo,Lena,stefan,ddpm,resid_centered,0.5,2958,20,21.623974469334783,22.306771156841272,21.874979495809388,0.2510050264746049,-0.7114937982891751,0.6819828812020035,-0.43179166103188393,-0.7954535107132399,0.38051308070153417
noinfo,Lena,stefan,ddpm,resid_centered,1.0,2958,20,21.623974469334783,24.00203798783275,23.098208268182976,1.4742337988481928,-0.6275951946511782,2.6396630721711447,-0.9038297196497744,-1.5869025557729126,0.49564985035581943
noinfo,Lena,stefan,ddpm,direct_structure,1.0,2958,20,21.623974469334783,22.60902453767846,22.663767294836862,1.0397928255020794,-0.04539892053632428,2.723900467066556,0.054742757158400934,,
noinfo,Lena,stefan,nflow,resid_centered,0.25,2958,20,21.623974469334783,22.37541905148388,21.37928813010006,-0.24468633923472183,-1.3163454264982422,0.4812318606214513,-0.9961309213838199,-1.6734401900055433,0.6395416626588244
noinfo,Lena,stefan,nflow,resid_centered,0.5,2958,20,21.623974469334783,24.017658815656112,21.709703731751883,0.08572926241710022,-2.288595116028382,1.5946138453870846,-2.307955083904229,-3.6431556028190766,0.4963714597064219
noinfo,Lena,stefan,nflow,resid_centered,1.0,2958,20,21.623974469334783,29.30190102411187,23.959644084904074,2.335669615569291,-3.1122638753669314,5.433661037428321,-5.342256939207797,-7.776242066446722,1.1867856568067947
noinfo,Lena,stefan,nflow,direct_structure,1.0,2958,20,21.623974469334783,22.46226143340614,22.402198171055808,0.778223701721025,-0.09569711163788683,1.6864575905293284,-0.06006326235033299,,
noinfo,Lena,stefan_cci,ridge,resid_centered,0.25,2958,20,20.760940506871332,21.46708858633916,21.292684445499003,0.5317439386276703,0.2739298766909989,0.9868617338813847,-0.17440414084015643,-0.7045945054534045,0.17697191228741413
noinfo,Lena,stefan_cci,ridge,resid_centered,0.5,2958,20,20.760940506871332,22.503379476579465,22.056860023386072,1.29591951651474,0.7829502693767163,2.272687269132242,-0.4465194531933925,-1.5804116289685675,0.4855260360063837
noinfo,Lena,stefan_cci,ridge,resid_centered,1.0,2958,20,20.760940506871332,25.392426831662156,24.187871125261772,3.4269306183904398,2.2285875388403946,5.518596852464159,-1.2045557064003845,-3.1383019819787097,1.1052031810559224
noinfo,Lena,stefan_cci,ridge,direct_structure,1.0,2958,20,20.760940506871332,26.18988121878257,24.307616563624258,3.5466760567529256,2.232922042622221,5.474953675523442,-1.8822646551583126,,
noinfo,Lena,stefan_cci,catboost_lo,resid_centered,0.25,2958,20,20.760940506871332,20.786035534220122,20.75225585091203,-0.008684655959303456,-0.16093466335355763,0.09831123429785789,-0.033779683308093666,-0.6907386714924605,1.349656749825388
noinfo,Lena,stefan_cci,catboost_lo,resid_centered,0.5,2958,20,20.760940506871332,21.444181221887956,20.78326471572797,0.022324208856637995,-0.3800004657786855,0.3005624282608096,-0.6609165061599853,-2.149416613541932,2.0413763757210455
noinfo,Lena,stefan_cci,catboost_lo,resid_centered,1.0,2958,20,20.760940506871332,24.406827241853723,20.96343298317314,0.20249247630180633,-0.5140508683793941,0.8104687487075098,-3.443394258680584,-6.452490490784827,4.576908825242549
noinfo,Lena,stefan_cci,catboost_lo,direct_structure,1.0,2958,20,20.760940506871332,24.10332518100045,21.105304996865726,0.34436448999439406,-0.3802873640868359,0.8536091050765339,-2.998020184134724,,
noinfo,Lena,stefan_cci,catboost,resid_centered,0.25,2958,20,20.760940506871332,20.85069632326588,20.76349004665145,0.002549539780119403,-0.057836908516189604,0.05653337042927004,-0.08720627661442748,-1.0148569558015457,1.1865756939219685
noinfo,Lena,stefan_cci,catboost,resid_centered,0.5,2958,20,20.760940506871332,21.7395223373075,20.799990638321187,0.03905013144985503,-0.08253034505062544,0.15992111044254093,-0.9395316989863112,-2.930665454898674,1.9076919556358531
noinfo,Lena,stefan_cci,catboost,resid_centered,1.0,2958,20,20.760940506871332,25.508403391723224,20.97397111125823,0.2130306043868977,-0.09000324127493506,0.4859199289801033,-4.534432280464994,-7.902736100997374,3.1223329616460136
noinfo,Lena,stefan_cci,catboost,direct_structure,1.0,2958,20,20.760940506871332,25.49919456771272,21.19293405139674,0.43199354452540817,-0.33406308242029226,0.8454146294603884,-4.30626051631598,,
noinfo,Lena,stefan_cci,mlp,resid_centered,0.25,2958,20,20.760940506871332,20.56994766221573,20.619788173442895,-0.1411523334284368,-0.3776876150442204,-0.03444843444383165,0.04984051122716693,-0.3953562792578048,0.9198280322024857
noinfo,Lena,stefan_cci,mlp,resid_centered,0.5,2958,20,20.760940506871332,20.74076094091866,20.600924777405552,-0.1600157294657798,-0.6302307312324453,0.09803804458945412,-0.13983616351310602,-1.0465125340438264,1.6440950162809782
noinfo,Lena,stefan_cci,mlp,resid_centered,1.0,2958,20,20.760940506871332,22.11657667970385,20.929243840957103,0.16830333408577047,-1.1688986868091014,0.8414931216289152,-1.187332838746748,-3.1164814905470895,2.690886060597702
