H,label,cond,target,split,delta_rmse,delta_per_seed,delta_ensemble,delta_blockeq,delta_cap100,n_cells,n_blocks,block_majority,n_splits,delta_split_mean,delta_split_sd,family,family_tag
X-pseudo,"covonly: 유사라벨 tddlin − stefan (직접 catboost_lo, r=10)",covonly,Russia_C,1,0.5123702113076428,0.5123702113076428,0.4975419343332348,0.13260056366825523,0.5123702113076428,3,2,0.5,3,0.2832755386739407,0.9604064796014139,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 tddlin − stefan (직접 catboost_lo, r=10)",covonly,Russia_C,2,-0.9906714838248215,-0.9906714838248215,-0.9895008480490475,-1.2106149333586795,-0.9906714838248215,4,3,1.0,3,0.2832755386739407,0.9604064796014139,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 tddlin − stefan (직접 catboost_lo, r=10)",covonly,Russia_E,0,0.6304554111993426,0.6304554111993426,0.6388835806090256,0.2138263852725378,0.6304554111993426,12,9,0.5555555555555556,3,0.8667949388436478,0.18211636454867575,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 tddlin − stefan (직접 catboost_lo, r=10)",covonly,Russia_E,1,0.8963234249827181,0.8963234249827181,0.8988678278676332,0.5256904497721914,0.8963234249827181,14,10,0.4,3,0.8667949388436478,0.18211636454867575,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 tddlin − stefan (직접 catboost_lo, r=10)",covonly,Russia_E,2,1.0736059803488824,1.0736059803488824,1.074471739966583,0.6145992083028613,1.0736059803488824,11,8,0.375,3,0.8667949388436478,0.18211636454867575,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 tddlin − stefan (직접 catboost_lo, r=10)",covonly,Greenland,0,-2.0711453755696616,-2.0711453755696616,-2.0711453755696567,-2.0711453755696616,-2.0711453755696616,1,1,1.0,2,-2.0711453755696616,0.0,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 tddlin − stefan (직접 catboost_lo, r=10)",covonly,Greenland,2,-2.0711453755696616,-2.0711453755696616,-2.0711453755696567,-2.0711453755696616,-2.0711453755696616,1,1,1.0,2,-2.0711453755696616,0.0,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 const − stefan (직접 catboost_lo, r=10)",covonly,Lena,0,1.7058439904393694,1.7058439904393694,1.7060867593669222,-0.15630345451305772,0.9976772490002878,1496,11,0.45454545454545453,3,1.680349224253619,0.28466341509641213,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 const − stefan (직접 catboost_lo, r=10)",covonly,Lena,1,2.0155420695252992,2.0155420695252992,2.0159908499502706,0.5987967559924362,1.4833847841625871,1478,11,0.36363636363636365,3,1.680349224253619,0.28466341509641213,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 const − stefan (직접 catboost_lo, r=10)",covonly,Lena,2,1.3196616127961889,1.3196616127961889,1.319706924509493,1.0997821022309928,1.4247398845535646,1687,5,0.2,3,1.680349224253619,0.28466341509641213,exploratory,augment_direct
