cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
labels,Alaska,alaska,x25,stefan_med,none,0.0,ridge,0,0.25,14.141666666666666,4.404451369542711,14.141622741803765,0.5133333333333333,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_med,none,0.0,ridge,0,0.5,13.730333333333334,4.485963961810957,13.730491576030017,0.5159999999999999,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_med,none,0.0,ridge,0,0.75,13.610999999999999,4.525563301954796,13.610741860276145,0.5183333333333334,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_med,none,0.0,ridge,0,1.0,13.7945,4.506775332762883,13.794608601960467,0.5211666666666668,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x34,none,none,0.0,catboost,0,1.0,15.183833333333332,4.491125198037173,15.136043095094545,-0.3661111111111109,4716,1,6,3,1.4444444444444444,alaska
labels,Alaska,alaska,x34,none,none,0.0,mlp,0,1.0,14.852666666666666,4.885877535191491,14.652493456431174,0.9568333333333333,4716,1,6,3,0.9888888888888889,alaska
noinfo,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,26.504,,26.50381072868332,2.307,747,36,1,3,0.3,main
noinfo,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.25,26.542,,26.54033778299871,0.9089999999999999,747,36,1,3,0.3,main
noinfo,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.5,26.682666666666666,,26.676789153120744,-0.48933333333333334,747,36,1,3,0.3,main
noinfo,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.75,26.925,,26.911644929194576,-1.8876666666666668,747,36,1,3,0.3,main
noinfo,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,1.0,27.266000000000002,,27.24236020356202,-3.286,747,36,1,3,0.3,main
noinfo,Canada,alaska,x25,none,none,0.0,catboost,0,1.0,26.674666666666667,,26.62470431681297,-4.782,747,36,1,3,1.1666666666666667,main
noinfo,Canada,alaska,x25,none,none,0.0,catboost_lo,0,1.0,28.557,,28.518664978199865,-7.034,747,36,1,3,0.3,main
noinfo,Canada,alaska,x25,none,none,0.0,ridge,0,1.0,47.626,,47.62598956364149,-24.165000000000003,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.0,26.504,,26.50381072868332,2.307,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.25,27.745,,27.745249507448328,-4.239,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.5,32.567,,32.56653104990148,-10.785000000000002,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan,none,0.0,ridge,0,0.75,39.684,,39.68365162535796,-17.332,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan,none,0.0,ridge,0,1.0,48.088,,48.08782231840299,-23.878,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.0,25.719000000000005,,25.719263613745216,6.336000000000001,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.25,25.931,,25.930523730306575,-1.233,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.5,30.791,,30.791117209029434,-8.802,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,0.75,38.582,,38.582159542849695,-16.371,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_cci,none,0.0,ridge,0,1.0,47.894,,47.8942843036322,-23.941,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.0,26.51,,26.510002420010245,2.442,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.25,27.727,,27.72678255420087,-4.138,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.5,32.543,,32.54328865264694,-10.717999999999998,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,0.75,39.669,,39.669304567557454,-17.297,747,36,1,3,0.0,main
noinfo,Canada,alaska,x25,stefan_med,none,0.0,ridge,0,1.0,48.089,,48.088862914819934,-23.877,747,36,1,3,0.0,main
noinfo,Lena,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,21.624,,21.623974469334783,5.675999999999999,2958,20,1,3,0.3,main
