cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
noinfo,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,28,18,13606,13606,0.5,44.451,-33.301,35.779,-1.4891,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,28,18,13606,13606,0.75,46.178,-35.194,36.899,-1.6864,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,28,18,13606,13606,1.0,48.034,-37.088,38.175,-1.9066,148.3
labels,Russia_W,0,0,alaska,x25,none,none,0.0,realmlp,0,12,8,13622,13622,1.0,28.098,-7.39,22.029,-0.3598,148.8
labels,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13622,13622,0.0,32.681,-21.691,26.469,-0.8396,148.4
labels,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13622,13622,0.25,31.759,-16.875,25.737,-0.7373,148.4
labels,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13622,13622,0.5,32.366,-12.059,26.719,-0.8043,148.4
labels,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13622,13622,0.75,34.421,-7.243,28.727,-1.0408,148.4
labels,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13622,13622,1.0,37.688,-2.427,31.133,-1.4465,148.4
labels,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13622,13622,0.0,32.337,-16.497,25.409,-0.8011,148.6
labels,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13622,13622,0.25,31.291,-14.08,25.317,-0.6865,148.6
labels,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13622,13622,0.5,30.729,-11.662,25.225,-0.6265,148.6
labels,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13622,13622,0.75,30.679,-9.245,25.134,-0.6212,148.6
labels,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13622,13622,1.0,31.143,-6.827,25.312,-0.6705,148.6
covonly,Russia_C,0,0,alaska,x25,none,none,0.0,realmlp,0,3,3,13606,13606,1.0,84.026,-46.536,50.443,-0.2189,149.0
covonly,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13606,13606,0.0,74.497,-40.876,45.091,0.0419,149.0
covonly,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13606,13606,0.25,74.299,-39.295,46.346,0.047,149.0
covonly,Russia_C,0,0,alaska,x25,stefan,none,0.0,realmlp,0,3,3,13606,13606,0.5,74.176,-37.714,47.602,0.0501,149.0
