Event,macro,lat,lon,n_years,year_min,year_max,alt_mean,alt_sd,alt_min,alt_max,alt_sd_detr,se_multiyear,cv
CALM_M12,Mongolia_CAsia,51.02,100.7583,7,2003,2009,137.71428571428572,4.151878519188058,133.0,145.0,4.1507314329611145,1.5692625765032449,0.030148495471282576
CALM_M12A,Mongolia_CAsia,50.9703,100.7272,5,2003,2009,186.2,3.6331804249169872,182.0,192.0,3.7867694201667588,1.6248076809271907,0.019512247180005302
CALM_M12B,Mongolia_CAsia,50.9744,100.7286,6,2004,2009,255.83333333333334,26.347042844817835,220.0,295.0,22.656860623955613,10.756135200175036,0.10298518375824561
CALM_M12C,Mongolia_CAsia,50.2544,100.8447,6,2003,2009,385.0,32.710854467592256,355.0,425.0,16.13943513446504,13.354150416006755,0.08496325835738248
CALM_M12D,Mongolia_CAsia,51.2858,100.8272,7,2003,2009,475.0,6.164414002968976,470.0,488.0,6.35553751801189,2.3299294900428698,0.012977713690461003
CALM_M12E,Mongolia_CAsia,51.2097,100.7703,5,2005,2009,372.8,10.568822072492283,355.0,381.0,12.066482503198715,4.726520919238591,0.028349844615054406
CALM_M12F,Mongolia_CAsia,50.0444,100.7328,3,2002,2009,221.66666666666666,10.40832999733066,210.0,230.0,0.5661385170720918,6.0092521257733145,0.046954872168409
CALM_M12G,Mongolia_CAsia,50.0442,100.7544,4,2003,2009,112.25,27.47574688096152,82.0,137.0,11.26467297096865,13.73787344048076,0.24477280072126076
CALM_M12H,Mongolia_CAsia,51.0311,100.7225,4,2003,2009,137.75,7.365459931328117,130.0,145.0,8.008278848821394,3.6827299656640586,0.05346976356681029
CALM_M13,Mongolia_CAsia,51.3556,99.3592,3,2005,2008,147.0,2.6457513110645907,145.0,150.0,3.474396144861578,1.5275252316519468,0.01799830823853463
CALM_M13A,Mongolia_CAsia,51.1872,99.4975,4,2004,2007,154.0,5.887840577551898,148.0,160.0,3.4641016151377544,2.943920288775949,0.03823273102306427
CALM_M13B,Mongolia_CAsia,51.1147,99.6369,3,2005,2008,338.3333333333333,7.637626158259735,330.0,345.0,6.681531047810367,4.409585518440986,0.02257426450717163
CALM_M13C,Mongolia_CAsia,51.3586,99.4797,2,2005,2006,177.5,3.5355339059327378,175.0,180.0,,2.5,0.019918500878494297
CALM_M14,Mongolia_CAsia,47.9803,100.4253,7,2003,2009,414.2857142857143,30.445110640376427,368.0,440.0,32.306125027395716,11.507170198897493,0.07348819809746034
CALM_M14A,Mongolia_CAsia,47.9794,100.4256,7,2003,2009,269.57142857142856,34.32131088627561,235.0,325.0,22.545192708994815,12.972236182117014,0.12731805840165836
CALM_M15,Mongolia_CAsia,48.2753,106.1947,3,2007,2009,225.0,8.660254037844387,220.0,235.0,6.123724356957945,5.000000000000001,0.03849001794597506
CALM_M16,Mongolia_CAsia,49.3472,99.2422,1,2009,2009,115.0,,115.0,115.0,,,
CALM_M16A,Mongolia_CAsia,49.2969,98.19,1,2009,2009,275.0,,275.0,275.0,,,
CALM_M1A,Mongolia_CAsia,47.6944,108.2944,11,1996,2007,569.5454545454545,179.00355506881064,390.0,820.0,79.8734779470121,53.97160257299685,0.31429195622616396
CALM_M2A,Mongolia_CAsia,47.7544,107.25,14,1996,2009,340.0,4.803844614152601,335.0,350.0,4.991751437880544,1.2838814775327352,0.014128954747507649
CALM_M2B,Mongolia_CAsia,47.7764,107.3,9,1998,2008,135.0,3.5355339059327364,130.0,140.0,3.779644730092272,1.1785113019775788,0.026189140043946197
CALM_M2C,Mongolia_CAsia,47.7728,107.2917,10,2000,2009,378.5,42.29854213405784,330.0,435.0,13.704124572661152,13.375973484822202,0.11175308357743155
