scheme,model,seed,n_folds,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,rmse_fold_mean_cm,rmse_fold_sd_cm,nnd_median_km,W_km,max_fold_share
block_1.0,stefan_ridge_l075,2,6,13606,13.532,9.952,0.529,0.3939,17.382,0.2215,13.999,4.769,31.154,60.376,0.3466
block_2.0,stefan,0,6,13606,14.44,10.72,-0.908,0.3099,17.382,0.1693,17.002,5.955,98.573,29.144,0.3468
block_2.0,ridge,0,6,13606,14.045,10.363,2.575,0.3471,17.382,0.192,15.941,5.425,98.573,29.144,0.3468
block_2.0,catboost_lo,0,6,13606,16.179,12.407,4.072,0.1336,17.382,0.0692,17.143,3.976,98.573,29.144,0.3468
block_2.0,stefan_ridge_l075,0,6,13606,13.648,10.05,1.529,0.3835,17.382,0.2148,15.72,5.595,98.573,29.144,0.3468
block_2.0,stefan,1,6,13606,14.431,10.715,-0.901,0.3107,17.382,0.1698,17.153,5.576,86.962,30.741,0.3468
block_2.0,ridge,1,6,13606,14.036,10.357,2.684,0.3479,17.382,0.1925,16.168,4.953,86.962,30.741,0.3468
block_2.0,catboost_lo,1,6,13606,15.868,12.045,3.252,0.1666,17.382,0.0871,17.638,4.232,86.962,30.741,0.3468
block_2.0,stefan_ridge_l075,1,6,13606,13.635,10.028,1.623,0.3846,17.382,0.2156,15.924,5.119,86.962,30.741,0.3468
block_2.0,stefan,2,6,13606,14.441,10.726,-0.896,0.3098,17.382,0.1692,17.199,5.573,86.965,30.939,0.3468
block_2.0,ridge,2,6,13606,14.148,10.41,2.566,0.3375,17.382,0.1861,16.479,4.972,86.965,30.939,0.3468
block_2.0,catboost_lo,2,6,13606,16.548,12.747,1.434,0.0937,17.382,0.048,18.329,3.552,86.965,30.939,0.3468
block_2.0,stefan_ridge_l075,2,6,13606,13.725,10.086,1.536,0.3765,17.382,0.2104,16.171,5.129,86.965,30.939,0.3468
knndm,stefan,0,6,13606,14.448,10.705,-1.039,0.3091,17.382,0.1688,16.69,6.291,58.711,31.68,0.3471
knndm,ridge,0,6,13606,13.925,10.364,2.027,0.3582,17.382,0.1989,15.973,6.311,58.711,31.68,0.3471
knndm,catboost_lo,0,6,13606,17.523,13.59,4.283,-0.0163,17.382,-0.0081,18.174,5.306,58.711,31.68,0.3471
knndm,stefan_ridge_l075,0,6,13606,13.603,10.031,0.937,0.3876,17.382,0.2174,15.793,6.471,58.711,31.68,0.3471
knndm,stefan,1,6,13606,14.477,10.74,-1.09,0.3063,17.382,0.1671,15.056,3.362,43.055,32.093,0.3471
knndm,ridge,1,6,13606,14.252,10.539,1.078,0.3277,17.382,0.18,14.494,3.656,43.055,32.093,0.3471
knndm,catboost_lo,1,6,13606,17.879,13.819,4.675,-0.058,17.382,-0.0286,16.362,3.703,43.055,32.093,0.3471
knndm,stefan_ridge_l075,1,6,13606,13.756,10.097,0.288,0.3737,17.382,0.2086,14.16,3.787,43.055,32.093,0.3471
knndm,stefan,2,6,13606,14.426,10.689,-1.127,0.3112,17.382,0.1701,15.344,4.879,58.731,30.266,0.3471
knndm,ridge,2,6,13606,14.141,10.588,2.857,0.3382,17.382,0.1865,14.807,4.367,58.731,30.266,0.3471
knndm,catboost_lo,2,6,13606,18.332,14.237,5.383,-0.1123,17.382,-0.0546,16.901,4.357,58.731,30.266,0.3471
knndm,stefan_ridge_l075,2,6,13606,13.735,10.183,1.574,0.3756,17.382,0.2098,14.536,4.743,58.731,30.266,0.3471
