region,cond,method,n_splits,n_seeds,n_cells,n_blocks,coverage,coverage_sd_seed,width_mean,interval_score,is_under,is_over,frac_inf,Q_mean,cov_ci_lo,cov_ci_hi,is_ci_lo,is_ci_hi,ci_flag
Canada,covonly,anchor_real,3,3,384,29,0.7867372594808607,0.0007237246209201298,67.36733736517529,134.9830248748296,31.000540710143785,36.61514679951052,0.0,33.68366868258764,0.6900158487713751,0.8727260120129977,83.77773594582327,184.69014602554336,
Canada,noinfo,raw,1,3,747,36,0.21285140562248991,0.010426882146852234,13.616149609239809,321.52018374961574,88.52749698475345,219.37653715562251,0.0,,0.14173816435508726,0.30253896373918826,191.1980076744794,469.7667872612517,
Canada,noinfo,cqr_ak,1,3,747,36,0.5952699687639447,0.12422339402600863,41.94684051385818,190.94037908070348,17.197822734181646,131.79571583266366,0.0,14.165345452309182,0.4328933001936804,0.7444220453720295,95.72593533383983,316.92127276450395,
Canada,noinfo,cqr_iw,1,3,747,36,0.5211958946898705,0.11179092012316634,36.219599307654164,208.55578483275718,25.08602388782438,147.25016163727864,0.0,,0.37553354675203415,0.6818779711813859,105.6486036389292,342.2681876294874,
Canada,noinfo,anchor_ak,1,3,747,36,0.7706381079875055,0.16198064372464008,64.95782941421443,129.45609805266008,36.916348092001776,27.581920546443843,0.0,32.478914707107215,0.6781573840049607,0.8676086146508681,93.11819122346444,173.29690498990618,
Canada,noinfo,anchor_iw,1,3,747,36,0.8759482373940204,0.04996174922723217,76.62763483322395,112.2064422532506,16.98343289122646,18.595374528800193,0.0,,0.7897235310700336,0.944532174444859,85.57433835275799,145.88536608319203,
Greenland,noinfo,raw,1,3,1,1,0.3333333333333333,0.4714045207910317,9.504218961264122,175.70838743054367,0.0,166.20416846927952,0.0,,,,,,blocks<8
Greenland,noinfo,cqr_ak,1,3,1,1,1.0,0.0,37.83490986588249,37.83490986588249,0.0,0.0,0.0,14.165345452309182,,,,,blocks<8
Greenland,noinfo,cqr_iw,1,3,1,1,1.0,0.0,34.26589478306132,34.26589478306132,0.0,0.0,0.0,,,,,,blocks<8
Greenland,noinfo,anchor_ak,1,3,1,1,0.6666666666666666,0.4714045207910317,64.95782941421443,67.4218683527197,0.0,2.4640389385052686,0.0,32.478914707107215,,,,,blocks<8
Greenland,noinfo,anchor_iw,1,3,1,1,1.0,0.0,74.71659768140749,74.71659768140749,0.0,0.0,0.0,,,,,,blocks<8
Lena,covonly,raw,3,3,1554,15,0.12470844786158179,0.023946799210211773,13.119053465708332,282.9372294873665,244.98177728493525,24.836398736722924,0.0,,0.056437936451681964,0.17569017057962968,241.26250056833646,357.31336726483477,
Lena,covonly,cqr_ak,3,3,1554,15,0.5748426136007166,0.18885275270031476,41.44974437032669,128.13739769389488,75.01319097716458,11.674462346403613,0.0,14.165345452309182,0.45716774893170325,0.641896059060836,107.76561992322239,179.84161373753648,
Lena,covonly,cqr_iw,3,3,1554,15,0.33442161570172324,0.14750308516108945,28.552748801426958,183.93512899652578,137.8670230679964,17.515357127102405,0.0,,0.20919188151888743,0.4036880599011771,151.37840021346597,242.89393765145482,
Lena,covonly,anchor_ak,3,3,1554,15,0.9476484731916445,0.038678578222308475,64.95782941421442,80.93734912533317,0.7816490336118395,15.197870677506907,0.0,32.478914707107215,0.8477156593160994,0.9758695864177886,69.82234735859845,167.41783854438933,
Lena,covonly,anchor_iw,3,3,1554,15,0.9598538375598258,0.004932493763614332,59.64242650020234,74.6664618045255,0.10758622092100073,14.916449083402155,0.0,,0.8464953099185826,0.9844880775635205,63.80971234600337,161.1136846285153,
Lena,covonly,cqr_pseudo,3,3,1554,15,0.29627351282764014,0.036453816910150455,26.83226439378842,187.89337573827754,144.05266494877947,17.008446395709644,0.0,6.856605464040044,0.16572111121015992,0.37174311169005714,154.7487621305169,250.12827822194205,
Lena,covonly,cqr_real,3,3,1554,15,0.9160862987438044,0.03000565778907571,70.9458084354985,84.7852502749599,7.361113982431184,6.4783278570302105,0.0,28.913377484895094,0.8723204153175331,0.9398676467079367,78.34288787246086,131.45587121530795,
Lena,covonly,anchor_pseudo,3,3,1554,15,0.5369128282361355,0.011615031835097007,18.609700397107023,98.99799402491298,30.86914626517744,49.519147362628516,0.0,9.304850198553511,0.4087950790209858,0.569901232876487,70.7978207604536,268.0715602167442,
Lena,covonly,anchor_real,3,3,1554,15,0.9562674464325743,0.00037678129001700365,57.77650277209481,73.79077801396097,0.16644786767067876,15.847827374195475,0.0,28.888251386047404,0.8374952145459204,0.9846276502496372,62.095204333734756,165.30473015824546,
Lena,noinfo,raw,1,3,2958,20,0.13849447825107053,0.022139827253085977,13.903254641954225,297.03936121011964,230.50933598287645,52.626770585288995,0.0,,0.08849345317663658,0.1722023475631378,237.79751593762984,417.33644705098106,
Lena,noinfo,cqr_ak,1,3,2958,20,0.5699797160243407,0.17151946479573757,42.23394554657259,144.68860958445768,71.24491523133506,31.20974880655005,0.0,14.165345452309182,0.47737533999929693,0.6636642747935609,100.77226899947702,252.39497644364042,
Lena,noinfo,cqr_iw,1,3,2958,20,0.34640522875816987,0.1495212034821999,29.336949977672848,200.96375013441892,130.77298544874375,40.85381470800234,0.0,,0.2586300361397404,0.41469313842546246,147.2197568592523,311.9003257440786,
Lena,noinfo,anchor_ak,1,3,2958,20,0.916723011043498,0.05028015098546243,64.95782941421442,103.10149914296876,1.1736445248201928,36.97002520393415,0.0,32.478914707107215,0.792581816510388,0.9549002408634754,74.5933764765999,244.88107343410587,
