cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,2,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,18.641,11.292,16.058,-0.6842,0.4,
covonly,Lena,0,2,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,20.424,13.717,18.025,-1.0218,0.4,
covonly,Lena,0,2,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,22.374,16.143,20.081,-1.4263,0.4,
covonly,Lena,0,0,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,14.387,-0.518,9.914,-0.0032,0.4,
covonly,Lena,0,0,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,14.758,2.754,11.003,-0.0556,0.4,
covonly,Lena,0,0,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,15.861,6.025,12.648,-0.2193,0.4,
covonly,Lena,0,0,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,17.559,9.296,14.787,-0.4943,0.4,
covonly,Lena,0,0,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.698,12.567,17.249,-0.8806,0.4,
covonly,Lena,0,1,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,14.387,-0.518,9.914,-0.0032,0.3,
covonly,Lena,0,1,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,14.802,2.681,11.002,-0.0619,0.3,
covonly,Lena,0,1,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,15.893,5.88,12.623,-0.2243,0.3,
covonly,Lena,0,1,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,17.535,9.079,14.662,-0.4903,0.3,
covonly,Lena,0,1,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.59,12.278,16.999,-0.8601,0.3,
covonly,Lena,0,2,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,14.387,-0.518,9.914,-0.0032,0.4,
covonly,Lena,0,2,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,14.873,3.278,11.202,-0.0722,0.4,
covonly,Lena,0,2,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,16.309,7.073,13.23,-0.2891,0.4,
covonly,Lena,0,2,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.473,10.868,15.805,-0.6541,0.4,
covonly,Lena,0,2,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,21.145,14.663,18.701,-1.1671,0.4,
covonly,Lena,0,0,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,17.389,8.977,14.616,-0.4655,0.3,
covonly,Lena,0,0,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,18.347,10.77,15.742,-0.6315,0.3,
covonly,Lena,0,0,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,19.437,12.562,16.954,-0.831,0.3,
covonly,Lena,0,0,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,20.637,14.355,18.242,-1.0641,0.3,
covonly,Lena,0,0,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,21.929,16.148,19.59,-1.3308,0.3,
covonly,Lena,0,1,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,17.389,8.977,14.616,-0.4655,0.4,
covonly,Lena,0,1,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,17.726,9.866,15.025,-0.5229,0.4,
covonly,Lena,0,1,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,18.127,10.756,15.482,-0.5926,0.4,
covonly,Lena,0,1,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.588,11.645,15.997,-0.6747,0.4,
covonly,Lena,0,1,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.105,12.534,16.552,-0.7691,0.4,
covonly,Lena,0,2,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,17.389,8.977,14.616,-0.4655,0.4,
covonly,Lena,0,2,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,17.846,9.964,15.151,-0.5436,0.4,
covonly,Lena,0,2,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,18.365,10.95,15.729,-0.6347,0.4,
covonly,Lena,0,2,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.94,11.936,16.343,-0.7387,0.4,
covonly,Lena,0,2,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.567,12.923,17.002,-0.8557,0.4,
covonly,Lena,0,0,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.373,5.179,12.872,-0.2992,0.4,
covonly,Lena,0,0,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.441,5.398,12.939,-0.3102,0.4,
covonly,Lena,0,0,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,16.529,5.617,13.022,-0.3241,0.4,
covonly,Lena,0,0,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,16.634,5.836,13.122,-0.3411,0.4,
covonly,Lena,0,0,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,16.758,6.055,13.243,-0.3612,0.4,
covonly,Lena,0,1,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.373,5.179,12.872,-0.2992,0.3,
covonly,Lena,0,1,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.362,5.319,12.851,-0.2975,0.3,
covonly,Lena,0,1,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,16.37,5.46,12.85,-0.2988,0.3,
covonly,Lena,0,1,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,16.396,5.601,12.861,-0.303,0.3,
covonly,Lena,0,1,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,16.441,5.742,12.88,-0.3102,0.3,
covonly,Lena,0,2,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.373,5.179,12.872,-0.2992,0.3,
covonly,Lena,0,2,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.484,5.718,13.07,-0.3169,0.3,
covonly,Lena,0,2,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,16.63,6.258,13.308,-0.3404,0.4,
covonly,Lena,0,2,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,16.81,6.798,13.579,-0.3696,0.4,
covonly,Lena,0,2,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,17.024,7.338,13.87,-0.4046,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.069,7.218,16.335,-0.1075,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.639,8.759,17.265,-0.1655,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.324,10.301,18.278,-0.237,0.4,
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.114,11.842,19.351,-0.3223,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.031,7.031,16.242,-0.1037,0.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.529,8.386,17.048,-0.1541,0.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.112,9.742,17.922,-0.2147,0.3,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,23.774,11.097,18.849,-0.2853,0.3,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.152,7.352,16.413,-0.1159,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.811,9.027,17.43,-0.1833,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.591,10.703,18.532,-0.2655,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.479,12.378,19.699,-0.3626,0.4,
noinfo,Lena,0,0,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,22.043,7.059,16.245,-0.1049,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.617,8.609,17.184,-0.1632,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,23.306,10.159,18.208,-0.2351,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,24.1,11.709,19.293,-0.3207,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.989,13.258,20.431,-0.4199,0.3,
noinfo,Lena,0,1,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,22.043,7.059,16.245,-0.1049,0.4,
noinfo,Lena,0,1,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.297,7.952,16.71,-0.1305,0.4,
noinfo,Lena,0,1,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.602,8.844,17.22,-0.1616,0.4,
noinfo,Lena,0,1,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,22.954,9.737,17.767,-0.1981,0.4,
noinfo,Lena,0,1,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,23.353,10.63,18.337,-0.2401,0.4,
noinfo,Lena,0,2,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,22.043,7.059,16.245,-0.1049,0.3,
noinfo,Lena,0,2,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.585,8.619,17.17,-0.1599,0.3,
noinfo,Lena,0,2,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,23.237,10.178,18.177,-0.2278,0.3,
noinfo,Lena,0,2,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.991,11.738,19.255,-0.3088,0.3,
noinfo,Lena,0,2,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.837,13.298,20.378,-0.4028,0.3,
noinfo,Lena,0,0,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,22.448,-8.823,13.273,-0.1459,0.3,
noinfo,Lena,0,0,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,20.954,-3.443,12.799,0.0016,0.3,
noinfo,Lena,0,0,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,20.825,1.938,14.126,0.0139,0.3,
noinfo,Lena,0,0,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,22.083,7.318,16.619,-0.1089,0.3,
noinfo,Lena,0,0,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.517,12.698,19.996,-0.3669,0.3,
noinfo,Lena,0,1,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,22.448,-8.823,13.273,-0.1459,0.4,
noinfo,Lena,0,1,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,20.828,-3.113,12.777,0.0136,0.4,
noinfo,Lena,0,1,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,20.739,2.598,14.263,0.022,0.4,
noinfo,Lena,0,1,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,22.2,8.308,17.014,-0.1207,0.4,
noinfo,Lena,0,1,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.94,14.019,20.718,-0.4144,0.4,
noinfo,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,22.448,-8.823,13.273,-0.1459,0.4,
noinfo,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,20.771,-2.547,12.85,0.0189,0.4,
noinfo,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,20.966,3.73,14.72,0.0004,0.4,
noinfo,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,22.984,10.006,18.071,-0.2013,0.4,
noinfo,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,26.412,16.283,22.393,-0.5863,0.4,
noinfo,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.283,4.491,14.935,-0.0301,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,21.803,6.635,16.041,-0.081,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.567,8.779,17.366,-0.1581,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.551,10.923,18.832,-0.2613,0.3,
noinfo,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.729,13.067,20.399,-0.3906,0.3,
noinfo,Lena,0,1,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.283,4.491,14.935,-0.0301,0.3,
