target,anchor,method,lam,scope,n,rmse_mean,rmse_sd,rmse_med,rmse_p10,rmse_p90,rmse_beq_mean,bias_mean,delta_mean,win_frac,n_runs,n_splits,E_mean,E_sd
Canada,stefan_cci,resid,0.25,n,20,24.620215357821145,3.1340247839437745,24.182156435885172,21.0106021458423,28.717774504645575,23.782056593670678,4.326108372183267,-0.38855097579688774,0.6966666666666667,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.25,n,40,24.69656117452261,3.2153324373854804,24.53149356033544,21.06516631408075,28.696006368070584,23.845099407173088,4.308149452676573,-0.3122051590954226,0.66,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.25,n,80,24.885956923951277,3.032031529975584,24.678363060314478,21.213528869766787,28.7307180814655,23.902316065285593,4.547155899216569,-0.12280940966675705,0.5533333333333333,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,319,24.600309624007803,0.5107784099567277,24.434676597344836,24.241257609271,25.025614849409788,22.244255897679636,13.367904838828025,0.6473979526865522,0.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,325,25.738536645705874,0.1821043963143404,25.65266581596507,25.622728619506713,25.888693003801354,22.646084940353564,-5.488532598339667,1.042467346485979,0.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,355,25.62624834147776,0.07848303577637745,25.66555678541418,25.56181402846342,25.674959276917523,21.141409401104706,-5.145241325955951,1.3413594048193833,0.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,360,20.63278201719626,0.3073022922597641,20.54935137227437,20.41051818396221,20.888418108399065,23.935458936762064,9.317721189474984,-1.576019250509077,1.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,363,33.05404591914688,0.4901328222827097,32.97729905829106,32.68091095609479,33.4578796265413,24.439057993349824,7.640677401650316,2.0481342732992993,0.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,375,28.50237136979133,0.23201366599492396,28.424119175769057,28.340505095140074,28.69553852205149,18.65730041872168,-3.052471401455051,-0.017934102992856065,0.6666666666666666,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,396,23.707683722908104,0.2217347042509601,23.81582562754611,23.525266734592623,23.846843949368388,23.45634277711009,10.42123614421804,0.8496312493384354,0.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,404,22.984572828450283,0.44821872112224814,22.956303116273393,22.63218709532371,23.34826644644761,18.6377711895546,14.232903848708455,1.8845491878586753,0.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,406,27.94923859019784,0.39989545353033135,27.97448671082982,27.624751186907975,28.26362674523492,20.245470230517096,-6.13348704053417,0.6776337573739314,0.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,allA,420,22.868880002685174,0.08727395744166298,22.897783493233394,22.79621344443454,22.929985164716523,26.33855663018259,6.3192834004372616,-1.3202140929733506,1.0,3,1,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,n,0,24.15718465996328,3.8106150323341716,23.6407102797459,20.190310561009788,28.986497328961516,21.368403543503877,2.4434913328352477,-0.8515816736547498,0.6333333333333333,30,10,1.6166886671406269,0.0
Canada,stefan_cci,resid,0.5,n,3,24.29770632530607,3.694759584543392,24.487218512946022,19.843489985515202,29.744955675719186,21.710739941915232,2.7948938655980284,-0.7110600083119629,0.61,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,n,5,24.219370401274738,3.698000103157778,24.117720819826378,19.829130558135585,29.277788615932653,21.669986136543006,2.7160961750286803,-0.7893959323432969,0.6133333333333333,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,n,10,24.373876085488206,3.668796583598442,24.829489516782363,19.961671877079308,29.456632343045143,21.79345569033038,2.8392130965881623,-0.6348902481298263,0.61,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,n,20,24.498610824893827,3.5828208783004443,24.554205240473276,20.069732603171417,29.58257241667205,21.942201113983245,2.8820289416181044,-0.5101555087242063,0.6466666666666666,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,n,40,24.67546355987355,3.7687888474050073,24.87869972879497,20.223622549257318,29.685405204127413,22.1067644256055,2.846111102604717,-0.3333027737444843,0.5766666666666667,300,10,1.616688667140627,0.0
Canada,stefan_cci,resid,0.5,n,80,25.07106128576039,3.410596400284208,25.369675655671188,20.414772384947707,29.690762866176147,22.306626641757063,3.3241239956847086,0.062294952142358063,0.47,300,10,1.616688667140627,0.0
Canada,stefan_cci,shrink,0.0,allA,319,27.069587115385172,,27.069587115385172,27.069587115385172,27.069587115385172,27.54568857209792,17.636391987015067,3.1166754440639224,0.0,1,1,1.8860046320495023,
Canada,stefan_cci,shrink,0.0,allA,325,25.740326865308308,,25.740326865308308,25.740326865308308,25.740326865308308,26.20554656795791,-6.8755486757058115,1.0442575660884152,0.0,1,1,1.2978429886087222,
Canada,stefan_cci,shrink,0.0,allA,355,25.31917414420777,,25.31917414420777,25.31917414420777,25.31917414420777,25.578200477790563,-6.688165341468239,1.0342852075493987,0.0,1,1,1.3361356206680728,
