target,covariate,smd,mean_target,mean_alaska,sd_alaska,frac_out_of_range
Lena,sg_soc_5_15,-4.1677,67.82437452615618,251.40138174330676,44.04752716178568,0.7333
Lena,sg_soc_15_30,-2.7115,49.39082638362396,154.47353373512777,38.75503132975286,0.0314
Lena,cci_alt,-0.5766,33.15348208248817,45.384409819195696,21.213805096647707,0.0
Lena,cci_valid,0.0,1.0,1.0,1e-09,0.0
Canada,dem_elev,0.1124,212.74436865593376,181.84215300820202,274.8946117111606,0.0
Canada,dem_slope,0.0725,1.5134619743958455,1.399505900963838,1.572642073879445,0.0
Canada,dem_aspect_sin,0.0578,-0.022945608349935896,-0.06264024185136277,0.6870525248719316,0.0
Canada,dem_aspect_cos,0.0668,-0.009510428040120701,-0.05768227067336716,0.7216008500482517,0.0
Canada,dem_tpi,-0.3423,-0.9362128660222453,0.3322139534199569,3.705335767769674,0.0
Canada,dem_rough,0.3113,6.4100070138133995,4.604529477617556,5.800575893471224,0.0
Canada,e5_maat,0.1916,-4.479146623308241,-5.218376572696868,3.8589574458878384,0.008
Canada,e5_tdd,1.1329,1637.8531293958386,1012.6724253705928,551.8497866823501,0.0027
Canada,e5_fdd,0.3731,3235.654500488935,2893.492136062427,917.0311714112186,0.008
Canada,e5_sqrt_tdd,1.1149,40.20979450210921,30.643929961919227,8.580325278019894,0.0027
Canada,e5_twarm,1.4271,15.60557296732503,10.372708037024681,3.6668200134168116,0.0013
Canada,e5_tcold,-0.9061,-23.576616851520665,-19.876627891638094,4.083319849518482,0.2624
Canada,e5_stl1,0.8783,2.291806293365644,0.44564474153580336,2.101854007035509,0.2878
Canada,e5_swe,-0.6331,0.039588587937086105,0.05161559994971947,0.018995700845967762,0.0013
Canada,sg_clay_5_15,1.7449,25.202949061662196,18.191628693222906,4.0182277671951185,0.2718
Canada,sg_sand_5_15,-0.4463,33.34879356568365,36.78630016169372,7.702784395513122,0.008
Canada,sg_silt_5_15,-0.4013,41.457104557640754,45.04264295163955,8.934304706476668,0.0241
Canada,sg_bdod_5_15,2.7467,1.068378016085791,0.643704983095651,0.15461396499699573,0.573
Canada,sg_cfvo_5_15,1.5297,10.490482573726542,5.171666911656869,3.4770637952541827,0.0
Canada,sg_phh2o_5_15,1.6687,6.227613941018766,5.563236807291503,0.39815197289552556,0.0469
Canada,sg_soc_0_5,-3.9113,114.26983914209116,336.8058430104586,56.89505731772616,0.3507
Canada,sg_soc_5_15,-3.5004,97.21541554959786,251.40138174330676,44.04752716178568,0.1432
Canada,sg_soc_15_30,-1.2593,105.66742627345843,154.47353373512777,38.75503132975286,0.0187
Canada,cci_alt,1.3048,73.06425702811245,45.384409819195696,21.213805096647707,0.0522
Canada,cci_valid,0.0,1.0,1.0,1e-09,0.0
Russia_W,dem_elev,-0.4918,46.64132392832211,181.84215300820202,274.8946117111606,0.0
Russia_W,dem_slope,0.034,1.4529748976762806,1.399505900963838,1.572642073879445,0.0
Russia_W,dem_aspect_sin,-0.0208,-0.07695695564949087,-0.06264024185136277,0.6870525248719316,0.0
Russia_W,dem_aspect_cos,0.2904,0.15189713745244912,-0.05768227067336716,0.7216008500482517,0.0
Russia_W,dem_tpi,0.6061,2.578141416822161,0.3322139534199569,3.705335767769674,0.0
Russia_W,dem_rough,-0.0233,4.469450354576111,4.604529477617556,5.800575893471224,0.0
Russia_W,e5_maat,0.0512,-5.020726323127747,-5.218376572696868,3.8589574458878384,0.0
Russia_W,e5_tdd,0.2983,1177.3033850533623,1012.6724253705928,551.8497866823501,0.0
Russia_W,e5_fdd,0.095,2980.625529697963,2893.492136062427,917.0311714112186,0.0
Russia_W,e5_sqrt_tdd,0.407,34.13650735502195,30.643929961919227,8.580325278019894,0.0
Russia_W,e5_twarm,0.9852,13.985263279506139,10.372708037024681,3.6668200134168116,0.0
Russia_W,e5_tcold,-0.3398,-21.26411328996931,-19.876627891638094,4.083319849518482,0.0
Russia_W,e5_stl1,0.451,1.393659589013883,0.44564474153580336,2.101854007035509,0.0
Russia_W,e5_swe,2.1247,0.09197550080716607,0.05161559994971947,0.018995700845967762,0.1786
Russia_W,sg_clay_5_15,0.4474,19.989285714285717,18.191628693222906,4.0182277671951185,0.0
Russia_W,sg_sand_5_15,1.7145,49.99285714285713,36.78630016169372,7.702784395513122,0.25
Russia_W,sg_silt_5_15,-1.6801,30.03214285714285,45.04264295163955,8.934304706476668,0.6071
Russia_W,sg_bdod_5_15,1.6946,0.9057142857142858,0.643704983095651,0.15461396499699573,0.0
Russia_W,sg_cfvo_5_15,1.0846,8.942857142857145,5.171666911656869,3.4770637952541827,0.0
Russia_W,sg_phh2o_5_15,-0.0512,5.5428571428571445,5.563236807291503,0.39815197289552556,0.0
