cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,seed,n_splits,n_cells,n_blocks,coverage,cov_ci_lo,cov_ci_hi,width_mean,width_median,interval_score,is_ci_lo,is_ci_hi,is_width_part,is_under_part,is_over_part,rmse_point,n_seed,family_tag,note
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,0,1,7.0,6.0,0.2857142857142857,,,4.397043062107904,4.785288840532303,691.929823487997,,,4.397043062107904,139.98335429600306,547.5494261298861,57.35631304897885,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,1,1,7.0,6.0,0.0,,,8.210489658372742,3.7652156949043274,617.839798779005,,,8.210489658372742,172.6613899072011,436.96791921343123,55.124831327329005,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,2,1,7.0,6.0,0.2857142857142857,,,4.464383727737835,4.603857159614563,707.9238059754882,,,4.464383727737835,152.422673361642,551.0367488861084,56.89512325747016,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.25,mean,1,7.0,6.0,0.19047619047619047,,,5.690638816072827,4.384787231683731,672.5644760808301,,,5.690638816072827,155.02247252161538,511.8513647431419,56.458755877926,3.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,0,1,7.0,6.0,0.14285714285714285,,,8.794086124215807,9.570577681064606,691.5666233670144,,,8.794086124215807,102.04210190545943,580.7304353373391,61.48811111983245,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,1,1,7.0,6.0,0.0,,,16.420979316745484,7.530431389808655,548.2445927333264,,,16.420979316745484,172.2561919121515,359.56742150442943,57.320394470612285,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,2,1,7.0,6.0,0.2857142857142857,,,8.92876745547567,9.207714319229126,720.1118767389229,,,8.92876745547567,123.47802843366351,587.7050808497837,60.335991765546794,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.5,mean,1,7.0,6.0,0.14285714285714285,,,11.381277632145654,8.769574463367462,653.3076976130878,,,11.381277632145654,132.59210741709148,509.33431256385074,59.714832451997175,3.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,0,1,7.0,6.0,0.14285714285714285,,,13.19112918632371,14.355866521596909,694.7352125715641,,,13.19112918632371,67.63263884044828,613.9114445447922,66.25014489917157,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,1,1,7.0,6.0,0.14285714285714285,,,24.631468975118228,11.295647084712982,502.8146956640215,,,24.631468975118228,171.8509939171019,306.3322327718014,60.469827119187315,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,2,1,7.0,6.0,0.2857142857142857,,,13.393151183213506,13.811571478843689,732.2999475023577,,,13.393151183213506,94.533383505685,624.3734128134591,64.23463837504072,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,0.75,mean,1,7.0,6.0,0.19047619047619047,,,17.07191644821848,13.154361695051193,643.2832852459811,,,17.07191644821848,111.3390054210784,514.8723633766842,63.65153679779987,3.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,0,1,7.0,6.0,0.2857142857142857,,,17.588172248431615,19.14115536212921,737.369166504769,,,17.588172248431615,63.38724045526413,656.3937538010733,71.51662965214148,1.0,residual,
noinfo,Russia_C,alaska,x25,stefan_cci,none,0.0,nflow,0,1.0,1,1,7.0,6.0,0.42857142857142855,,,32.84195863349097,15.06086277961731,525.1977044272155,,,32.84195863349097,199.86087640126544,292.4948693924591,64.43340855130883,1.0,residual,
