target,anchor,method,lam,physics_rmse,n0,n3,n3_win,n5,n5_win,n10,n10_win,n20,n20_win,n40,n40_win,n80,n80_win,rmse_allA,n_allA,n_min_mean,n_min_win90,beats_physics_all_larger_n
Lena,stefan,refit,0.0,20.441711354161676,20.441711354161676,23.392221010329973,0.375,21.951910709958756,0.455,21.226051236188113,0.495,20.817935393716,0.505,20.49052978470026,0.545,20.30739961683465,0.565,24.575521209414735,1483.3333333333333,80,-1,True
Lena,stefan,resid,0.25,20.441711354161676,20.948807260138004,20.82354050682048,0.31,20.791315681530033,0.37333333333333335,20.747543980041865,0.52,20.886607050678496,0.57,20.48629269998894,0.68,20.263878103255763,0.73,24.846796301045302,1483.3333333333333,80,-1,True
Lena,stefan,resid,0.5,20.441711354161676,21.5597735977487,21.311874278639596,0.26666666666666666,21.263652102580995,0.36666666666666664,21.279006694104535,0.49333333333333335,21.633818874291197,0.5233333333333333,20.764686732592022,0.6333333333333333,20.310629193575974,0.6966666666666667,24.593064152743523,1483.3333333333333,80,-1,True
Lena,stefan,shrink,0.0,20.441711354161676,20.441711354161676,21.725210772421143,0.47,21.243041485450618,0.5,20.927123291176986,0.51,20.7111425414455,0.51,20.45371611446325,0.545,20.294876264319846,0.565,24.575432245298817,1483.3333333333333,80,-1,True
Lena,stefan,shrink_k10,0.0,20.441711354161676,20.441711354161676,20.514746768099407,0.535,20.457864278889435,0.535,20.37923029151631,0.535,20.407613926487887,0.515,20.316331120301143,0.545,20.238988099628614,0.565,24.574970186239117,1483.3333333333333,10,-1,True
Lena,stefan_cci,both,0.25,19.391146952196344,19.550376743538656,20.093567276250578,0.20333333333333334,20.057381117549735,0.18666666666666668,20.129107290363628,0.19,20.201072750206922,0.17,19.833216230853324,0.23,19.58484039517915,0.33666666666666667,24.60200139165663,1483.3333333333333,-1,-1,False
Lena,stefan_cci,both,0.5,19.391146952196344,20.358182804125857,20.625878071712005,0.2733333333333333,20.589371080161783,0.26,20.703308023617346,0.24333333333333335,20.991260954362964,0.23333333333333334,20.17878068695214,0.27,19.68391269676267,0.41333333333333333,24.608212059851933,1483.3333333333333,-1,-1,False
Lena,stefan_cci,both_ls,0.25,19.391146952196344,19.550376743538656,20.664925803063245,0.13,20.33001227215407,0.16,20.269166445624094,0.16666666666666666,20.25705510357852,0.15333333333333332,19.85539207036243,0.21333333333333335,19.593967583357674,0.33666666666666667,24.602623731663204,1483.3333333333333,-1,-1,False
Lena,stefan_cci,both_ls,0.5,19.391146952196344,20.358182804125857,21.05887000902084,0.16333333333333333,20.786192398057253,0.21666666666666667,20.806267843279013,0.23,21.032733149182995,0.21333333333333335,20.193928959674146,0.2633333333333333,19.689265969400513,0.4066666666666667,24.608683930057808,1483.3333333333333,-1,-1,False
Lena,stefan_cci,locscale,0.0,19.391146952196344,19.391146952196344,,,46.85023208189211,0.06,34.453407195117265,0.075,22.48326187698722,0.035,21.092298187032938,0.09,20.399143361302652,0.13,24.725299603294673,1483.3333333333333,-1,-1,False
Lena,stefan_cci,refit,0.0,19.391146952196344,19.391146952196344,20.96081743130706,0.12,20.422914812624107,0.18,20.237520224057743,0.135,20.079987239738706,0.125,19.969092126544737,0.17,19.911085932175332,0.19,24.6950834854189,1483.3333333333333,-1,-1,False
Lena,stefan_cci,resid,0.25,19.391146952196344,19.550376743538656,19.572472419960114,0.38666666666666666,19.599204199116055,0.37,19.64799686976783,0.41333333333333333,19.781321698349313,0.44,19.502951001761357,0.5066666666666667,19.326700703261032,0.6,24.3013371025235,1483.3333333333333,80,-1,True
Lena,stefan_cci,resid,0.5,19.391146952196344,20.358182804125857,20.33795116271693,0.30333333333333334,20.349370700346515,0.3,20.45790464607936,0.31666666666666665,20.75067002588561,0.35333333333333333,20.00855965897419,0.4033333333333333,19.59363721965757,0.4533333333333333,24.36855690187615,1483.3333333333333,-1,-1,False
Lena,stefan_cci,shrink,0.0,19.391146952196344,19.391146952196344,20.214500707389945,0.14,20.076422086859676,0.195,20.074549219005675,0.17,20.011958468673853,0.13,19.93970779486268,0.175,19.89803708147866,0.195,24.694313675028003,1483.3333333333333,-1,-1,False
Lena,stefan_cci,shrink_k10,0.0,19.391146952196344,19.391146952196344,19.55267752068625,0.245,19.583044864493182,0.31,19.689128940335085,0.22,19.777198656219667,0.155,19.811983224894625,0.185,19.83303237185606,0.195,24.68991575737771,1483.3333333333333,-1,-1,False
Russia_E,none,direct_pseudo,1.0,25.065862372515394,25.149309872241883,24.826857766597858,0.44,24.794362149583137,0.5,24.981002197608213,0.5333333333333333,,,,,,,22.38652538846576,16.0,3,-1,True
Russia_E,stefan,both,0.25,25.065862372515394,25.326203965576713,28.183536625116787,0.16333333333333333,26.935066238107662,0.36,26.35830345596805,0.35333333333333333,,,,,,,21.380899675169506,16.0,-1,-1,False
