cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
covonly,Russia_W,alaska,x25,none,const,10.0,catboost_lo,0,1.0,43.53888888888889,6.450767347406846,43.53818410658138,-34.309444444444445,12,8,3,3,1.0222222222222224,main
covonly,Russia_W,alaska,x25,none,const_t,10.0,catboost_lo,0,1.0,39.72155555555556,6.298095164706842,39.720256805922865,-29.217111111111112,12,8,3,3,1.0333333333333334,main
covonly,Russia_W,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,1.0,35.824222222222225,6.043260942141651,35.8170476295946,-24.13966666666667,12,8,3,3,1.3,main
covonly,Russia_W,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1.0,29.443,3.7977293800960137,29.42405961405889,-6.757888888888889,12,8,3,3,1.288888888888889,main
covonly,Russia_W,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1.0,35.111111111111114,5.762998412606388,35.1065068323151,-22.861222222222224,12,8,3,3,1.3222222222222222,main
covonly,Russia_W,alaska,x25,none,none,0.0,catboost_lo,0,1.0,42.528444444444446,6.458909026671211,42.51790217522141,-33.504,12,8,3,3,0.35555555555555557,main
covonly,Russia_W,alaska,x25,none,shuffle,10.0,catboost_lo,0,1.0,39.76544444444445,6.279023608928499,39.763812061008245,-29.275555555555552,12,8,3,3,1.222222222222222,main
covonly,Russia_W,alaska,x25,none,stefan,10.0,catboost_lo,0,1.0,39.186,6.2220271169808,39.181675394044,-28.853222222222218,12,8,3,3,1.2333333333333334,main
covonly,Russia_W,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1.0,39.391444444444446,6.303794636154865,39.38858348812343,-29.186666666666664,12,8,3,3,1.211111111111111,main
covonly,Russia_W,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1.0,41.04655555555555,6.550332725504469,41.03951680528552,-31.483111111111114,12,8,3,3,1.2,main
covonly,Russia_W,alaska,x25,none,tddlin,10.0,catboost_lo,0,1.0,40.33122222222222,6.214676860584267,40.325836103957094,-30.47,12,8,3,3,1.2555555555555555,main
covonly,Russia_W,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.0,39.727666666666664,6.714296264935985,39.72770195042759,-29.231666666666666,12,8,3,3,1.188888888888889,main
covonly,Russia_W,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.25,39.67111111111111,6.7890044625550665,39.6708252704918,-29.202222222222222,12,8,3,3,1.188888888888889,main
covonly,Russia_W,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.5,39.683,6.925440884481249,39.68176169289192,-29.17311111111111,12,8,3,3,1.188888888888889,main
covonly,Russia_W,alaska,x25,stefan,cci,10.0,catboost_lo,0,0.75,39.76111111111111,7.138146167157389,39.75829546375242,-29.143777777777782,12,8,3,3,1.188888888888889,main
covonly,Russia_W,alaska,x25,stefan,cci,10.0,catboost_lo,0,1.0,39.90288888888889,7.437985915654956,39.89792654601552,-29.114333333333335,12,8,3,3,1.188888888888889,main
covonly,Russia_W,alaska,x25,stefan,const,10.0,catboost_lo,0,0.0,39.727666666666664,6.714296264935985,39.72770195042759,-29.231666666666666,12,8,3,3,1.1666666666666667,main
covonly,Russia_W,alaska,x25,stefan,const,10.0,catboost_lo,0,0.25,40.64588888888889,6.748366438820034,40.64572521351425,-30.544,12,8,3,3,1.1666666666666667,main
covonly,Russia_W,alaska,x25,stefan,const,10.0,catboost_lo,0,0.5,41.642999999999994,6.782476121103072,41.642131680041985,-31.856111111111108,12,8,3,3,1.1666666666666667,main
covonly,Russia_W,alaska,x25,stefan,const,10.0,catboost_lo,0,0.75,42.71344444444444,6.817924548434673,42.71131381876426,-33.16833333333333,12,8,3,3,1.1666666666666667,main
covonly,Russia_W,alaska,x25,stefan,const,10.0,catboost_lo,0,1.0,43.85177777777778,6.855666304706018,43.84782906860556,-34.48077777777778,12,8,3,3,1.1666666666666667,main
covonly,Russia_W,alaska,x25,stefan,const_t,10.0,catboost_lo,0,0.0,39.727666666666664,6.714296264935985,39.72770195042759,-29.231666666666666,12,8,3,3,1.1555555555555557,main
covonly,Russia_W,alaska,x25,stefan,const_t,10.0,catboost_lo,0,0.25,40.025666666666666,6.70631529066281,40.02519167769946,-29.707111111111114,12,8,3,3,1.1555555555555557,main
covonly,Russia_W,alaska,x25,stefan,const_t,10.0,catboost_lo,0,0.5,40.36611111111111,6.70462409529865,40.364579556707724,-30.182666666666666,12,8,3,3,1.1555555555555557,main
