cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,rmse_cc,n_cc,regime,family_tag
covonly,Canada,alaska,x25,stefan,none,0.0,catboost_lo,0,0.75,30.003333333333334,1.5189606461144556,29.984292111897478,-6.397444444444445,374,19,3,3,0.4140740740740741,30.02861178156418,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,catboost_lo,0,1.0,30.176999999999996,1.3477871988312295,30.14363220069409,-6.875222222222223,374,19,3,3,0.4140740740740741,30.202551913988927,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,catboost_lo,1,0.0,29.462,,29.461947647028015,-7.303,374,19,1,3,0.4666666666666666,29.501372903659888,373,main,analytic
covonly,Canada,alaska,x25,stefan,none,0.0,catboost_lo,1,0.25,28.44966666666667,,28.443880077610157,-6.817666666666667,374,19,1,3,0.4666666666666666,28.487557469148488,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,catboost_lo,1,0.5,27.576333333333334,,27.55240387024807,-6.332000000000001,374,19,1,3,0.4666666666666666,27.61244742953319,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,catboost_lo,1,0.75,26.857333333333333,,26.800154750217352,-5.846,374,19,1,3,0.4666666666666666,26.89031079163139,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,catboost_lo,1,1.0,26.304999999999996,,26.199128242910653,-5.360666666666667,374,19,1,3,0.4666666666666666,26.33429874251725,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,cfm,0,0.0,29.462,,29.461947647028015,-7.303,374,19,1,3,1.3,29.501372903659888,373,main,analytic
covonly,Canada,alaska,x25,stefan,none,0.0,cfm,0,0.25,30.80666666666667,,30.751661773426353,-8.198666666666666,374,19,1,3,1.3,30.846481536910797,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,cfm,0,0.5,32.49,,32.28626495340084,-9.094333333333333,374,19,1,3,1.3,32.528873848698474,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,cfm,0,0.75,34.45466666666667,,34.03264561561711,-9.99,374,19,1,3,1.3,34.491565826016185,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,cfm,0,1.0,36.64933333333334,,35.95996232893135,-10.885666666666665,374,19,1,3,1.3,36.68340726766139,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ddpm,0,0.0,29.462,,29.461947647028015,-7.303,374,19,1,3,1.5666666666666667,29.501372903659888,373,main,analytic
covonly,Canada,alaska,x25,stefan,none,0.0,ddpm,0,0.25,30.861,,30.809162307310753,-8.986333333333333,374,19,1,3,1.5666666666666667,30.901639369932422,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ddpm,0,0.5,32.518,,32.32439302643137,-10.669333333333334,374,19,1,3,1.5666666666666667,32.55877142501324,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ddpm,0,0.75,34.39,,33.98517421616642,-12.352666666666666,374,19,1,3,1.5666666666666667,34.430719610028895,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ddpm,0,1.0,36.441,,35.77123883801273,-14.035666666666666,374,19,1,3,1.5666666666666667,36.481262244870095,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,0,0.0,29.461947647028015,,29.461947647028015,-7.302989988181313,374,19,1,3,1.4333333333333333,29.501372903659888,373,main,analytic
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,0,0.25,29.792860380194753,,29.77081786684862,-8.514977280729434,374,19,1,3,1.4333333333333333,29.832253543072266,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,0,0.5,30.242517071159984,,30.15410919367195,-9.726964573277556,374,19,1,3,1.4333333333333333,30.281526528184262,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,0,0.75,30.807348608549557,,30.609026014636164,-10.938951865825677,374,19,1,3,1.4333333333333333,30.84565146941304,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,0,1.0,31.482031755243625,,31.13242864544012,-12.150939158373797,374,19,1,3,1.4333333333333333,31.51933875647859,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,1,0.0,29.461947647028015,,29.461947647028015,-7.302989988181313,374,19,1,3,0.8666666666666667,29.501372903659888,373,main,analytic
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,1,0.25,28.346618235919212,,28.30412608078528,-6.122733401053093,374,19,1,3,0.8666666666666667,28.384552573848467,373,main,residual
covonly,Canada,alaska,x25,stefan,none,0.0,ens_cb_mlp,1,0.5,27.541918214259212,,27.3570753306134,-4.942476813924873,374,19,1,3,0.8666666666666667,27.57871666228208,373,main,residual
