axis,region,method,bin,n,coverage,width_mean,pred_lo,pred_hi,y_mean
pred_quintile,Canada,cqr_ak,P5,149,0.378076062639821,40.32569363279377,60.65482783827375,70.04202439838303,87.55678593225574
aoa_di,pooled_main6,cqr_iw,inside,2271,0.3320123293703214,31.37964797003082,,,
aoa_di,pooled_main6,cqr_iw,outside,1497,0.46158984635938544,30.01311746840593,,,
pred_quintile,pooled_main6,cqr_iw,P1,754,0.4535809018567639,28.18107620849582,43.1458941087562,49.38946379874554,42.024436079024674
pred_quintile,pooled_main6,cqr_iw,P2,753,0.4316069057104914,30.371684117747353,49.39294669409739,51.3344934266835,42.32011937108344
pred_quintile,pooled_main6,cqr_iw,P3,754,0.4133510167992926,31.16630156645729,51.33461837644429,53.403783821114736,42.65380589901301
pred_quintile,pooled_main6,cqr_iw,P4,753,0.3386454183266932,31.85908764143624,53.40628611925657,57.7332932145481,46.21633630629574
pred_quintile,pooled_main6,cqr_iw,P5,754,0.28028293545534927,32.60626447369201,57.73647553829466,70.04202439838303,59.9957952410759
pred_quintile,Lena,cqr_iw,P1,593,0.45643620011242264,27.268691248533564,44.07636265022261,49.0784659687287,40.622490163012934
pred_quintile,Lena,cqr_iw,P2,594,0.3821548821548821,28.032424859868176,49.089549493180094,51.01774189341453,41.371877104377106
pred_quintile,Lena,cqr_iw,P3,588,0.3543083900226757,29.413039431734983,51.01957347532965,52.961361149246706,39.94942743764173
pred_quintile,Lena,cqr_iw,P4,591,0.29441624365482233,30.633294113414905,52.96590386896148,56.85206769759255,43.125595036661025
pred_quintile,Lena,cqr_iw,P5,592,0.24436936936936934,31.347904982982797,56.86683540948925,65.79086854828428,44.80591216216216
pred_quintile,Canada,cqr_iw,P1,150,0.6133333333333333,37.875831718635915,46.67389865909931,50.82491587518937,42.220757671957664
pred_quintile,Canada,cqr_iw,P2,152,0.6929824561403509,37.5329556766313,50.82929142096972,52.47493294685908,49.902167672813334
pred_quintile,Canada,cqr_iw,P3,147,0.5873015873015873,36.661753933467445,52.54322678287782,57.24821088897739,52.445707855696526
pred_quintile,Canada,cqr_iw,P4,149,0.38478747203579416,34.39737867377669,57.30047961004009,60.63549421762057,81.62940839560889
pred_quintile,Canada,cqr_iw,P5,149,0.32438478747203575,34.59845242658976,60.65482783827375,70.04202439838303,87.55678593225574
aoa_di,pooled_main6,anchor_ak,inside,2271,0.866872156172024,64.95782941421443,,,
aoa_di,pooled_main6,anchor_ak,outside,1497,0.9098196392785571,64.95782941421443,,,
pred_quintile,pooled_main6,anchor_ak,P1,754,0.9244031830238727,64.95782941421442,43.1458941087562,49.38946379874554,42.024436079024674
pred_quintile,pooled_main6,anchor_ak,P2,753,0.897742363877822,64.95782941421443,49.39294669409739,51.3344934266835,42.32011937108344
pred_quintile,pooled_main6,anchor_ak,P3,754,0.916445623342175,64.95782941421442,51.33461837644429,53.403783821114736,42.65380589901301
pred_quintile,pooled_main6,anchor_ak,P4,753,0.8618857901726428,64.95782941421443,53.40628611925657,57.7332932145481,46.21633630629574
pred_quintile,pooled_main6,anchor_ak,P5,754,0.8191865605658709,64.95782941421442,57.73647553829466,70.04202439838303,59.9957952410759
pred_quintile,Lena,anchor_ak,P1,593,0.9449128724002249,64.95782941421443,44.07636265022261,49.0784659687287,40.622490163012934
pred_quintile,Lena,anchor_ak,P2,594,0.9287317620650953,64.95782941421443,49.089549493180094,51.01774189341453,41.371877104377106
pred_quintile,Lena,anchor_ak,P3,588,0.9246031746031748,64.95782941421443,51.01957347532965,52.961361149246706,39.94942743764173
pred_quintile,Lena,anchor_ak,P4,591,0.8945290468133107,64.95782941421443,52.96590386896148,56.85206769759255,43.125595036661025
pred_quintile,Lena,anchor_ak,P5,592,0.8907657657657656,64.95782941421443,56.86683540948925,65.79086854828428,44.80591216216216
pred_quintile,Canada,anchor_ak,P1,150,0.7866666666666666,64.95782941421444,46.67389865909931,50.82491587518937,42.220757671957664
pred_quintile,Canada,anchor_ak,P2,152,0.8881578947368421,64.95782941421442,50.82929142096972,52.47493294685908,49.902167672813334
pred_quintile,Canada,anchor_ak,P3,147,0.8140589569160998,64.95782941421443,52.54322678287782,57.24821088897739,52.445707855696526
pred_quintile,Canada,anchor_ak,P4,149,0.6554809843400446,64.95782941421444,57.30047961004009,60.63549421762057,81.62940839560889
pred_quintile,Canada,anchor_ak,P5,149,0.7069351230425056,64.95782941421444,60.65482783827375,70.04202439838303,87.55678593225574
aoa_di,pooled_main6,anchor_iw,inside,2271,0.9026860413914575,62.459697929157095,,,
aoa_di,pooled_main6,anchor_iw,outside,1497,0.9385437541750167,64.22598693747707,,,
pred_quintile,pooled_main6,anchor_iw,P1,754,0.9389920424403183,60.633326741254,43.1458941087562,49.38946379874554,42.024436079024674
pred_quintile,pooled_main6,anchor_iw,P2,753,0.9260734838424081,63.32571423939712,49.39294669409739,51.3344934266835,42.32011937108344
pred_quintile,pooled_main6,anchor_iw,P3,754,0.9496021220159151,62.86346932257053,51.33461837644429,53.403783821114736,42.65380589901301
pred_quintile,pooled_main6,anchor_iw,P4,753,0.8986277113767153,63.04018036490388,53.40628611925657,57.7332932145481,46.21633630629574
pred_quintile,pooled_main6,anchor_iw,P5,754,0.8713527851458885,65.94452728561883,57.73647553829466,70.04202439838303,59.9957952410759
pred_quintile,Lena,anchor_iw,P1,593,0.9505340078695897,59.64242650020234,44.07636265022261,49.0784659687287,40.622490163012934
pred_quintile,Lena,anchor_iw,P2,594,0.9365881032547698,59.64242650020235,49.089549493180094,51.01774189341453,41.371877104377106
pred_quintile,Lena,anchor_iw,P3,588,0.9501133786848074,59.64242650020235,51.01957347532965,52.961361149246706,39.94942743764173
pred_quintile,Lena,anchor_iw,P4,591,0.9120135363790186,59.64242650020235,52.96590386896148,56.85206769759255,43.125595036661025
pred_quintile,Lena,anchor_iw,P5,592,0.9121621621621622,59.64242650020235,56.86683540948925,65.79086854828428,44.80591216216216
pred_quintile,Canada,anchor_iw,P1,150,0.9155555555555555,76.62763483322395,46.67389865909931,50.82491587518937,42.220757671957664
pred_quintile,Canada,anchor_iw,P2,152,0.9539473684210527,76.62763483322395,50.82929142096972,52.47493294685908,49.902167672813334
pred_quintile,Canada,anchor_iw,P3,147,0.9183673469387755,76.62763483322394,52.54322678287782,57.24821088897739,52.445707855696526
pred_quintile,Canada,anchor_iw,P4,149,0.7628635346756152,76.62763483322394,57.30047961004009,60.63549421762057,81.62940839560889
pred_quintile,Canada,anchor_iw,P5,149,0.8277404921700223,76.62763483322395,60.65482783827375,70.04202439838303,87.55678593225574
